"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",66,"Bill Bergey*",32,"LILB",14,14,243,"6-4","Arkansas St.","2/9/1945","8",13,"Cincinnati Bengals / 2nd / 31st pick / 1969"
"2",34,"James Betterson",23,"rb",14,2,210,"6-0","North Carolina","8/20/1954","Rook",3,"Denver Broncos / 8th / 224th pick / 1976"
"3",95,"John Bunting",27,"LLB",14,14,220,"6-1","North Carolina","7/15/1950","5",8,"Philadelphia Eagles / 10th / 248th pick / 1972"
"4",67,"Lem Burnham",30,"",14,0,236,"6-4","U.S. International","8/30/1947","Rook",4,"Kansas City Chiefs / 15th / 378th pick / 1974"
"5",17,"Harold Carmichael",28,"WR",14,14,225,"6-8","Southern","9/22/1949","6",8,"Philadelphia Eagles / 7th / 161st pick / 1971"
"6",46,"Herm Edwards",23,"RCB",14,14,194,"6-0","California,San Diego St.","4/27/1954","Rook",9,""
"7",59,"Tom Ehlers",25,"lb",14,3,218,"6-2","Kentucky","7/14/1952","2",3,"Philadelphia Eagles / 13th / 324th pick / 1975"
"8",30,"Cleveland Franklin",22,"",14,0,216,"6-2","Baylor","4/24/1955","Rook",0,"Philadelphia Eagles / 8th / 202nd pick / 1977"
"9",53,"Dennis Franks",24,"c",14,1,241,"6-1","Michigan","5/29/1953","1",1,""
"10",18,"Roman Gabriel",37,"",13,0,220,"6-5","North Carolina St.","8/5/1940","15",0,"Oakland Raiders / 1st / 1st pick / 1962, Los Angeles Rams / 1st / 2nd pick / 1962"
"11",64,"Ed George",31,"RT",14,13,270,"6-4","Ferrum,Wake Forest","8/10/1946","2",6,"Pittsburgh Steelers / 4th / 80th pick / 1970"
"12",74,"Donnie Green",29,"",10,0,272,"6-7","Purdue","7/12/1948","6",3,"Buffalo Bills / 5th / 107th pick / 1971"
"13",78,"Carl Hairston",25,"RDE",14,14,260,"6-3","Md-Eastern Shore","12/15/1952","1",8,"Philadelphia Eagles / 7th / 191st pick / 1976"
"14",89,"Wally Henry",23,"",10,0,175,"5-8","UCLA","10/30/1954","Rook",0,""
"15",35,"Mike Hogan",23,"FB",12,12,213,"6-2","Tenn-Chattanooga","11/1/1954","1",6,"Philadelphia Eagles / 9th / 247th pick / 1976"
"16",62,"Johnny Jackson",24,"",2,0,250,"6-3","Tennessee St.,Southern","7/1/1953","Rook",3,"St. Louis Cardinals / 9th / 243rd pick / 1977"
"17",7,"Ron Jaworski",26,"QB",14,14,196,"6-2","Youngstown St.","3/23/1951","3",10,"Los Angeles Rams / 2nd / 37th pick / 1973"
"18",10,"Ove Johansson",29,"",2,0,175,"5-10","Davis & Elkins,Abilene Christian","3/31/1948","Rook",-1,"Houston Oilers / 12th / 316th pick / 1977"
"19",65,"Charlie Johnson",25,"NT",12,9,266,"6-3","Colorado","2/17/1952","Rook",6,"Philadelphia Eagles / 7th / 175th pick / 1977"
"20",49,"Eric Johnson",25,"db",14,2,192,"6-1","Washington St.","7/23/1952","Rook",3,""
"21",6,"Spike Jones",30,"P",14,0,197,"6-2","Georgia","7/9/1947","7",1,"Houston Oilers / 4th / 92nd pick / 1970"
"22",72,"Wade Key",31,"LG",14,14,245,"6-5","Texas,Texas St.","10/14/1946","7",6,"Philadelphia Eagles / 13th / 314th pick / 1969"
"23",84,"Keith Krepfle",25,"TE",14,14,227,"6-3","Iowa St.","2/4/1952","2",6,"Philadelphia Eagles / 5th / 115th pick / 1974"
"24",73,"Pete Lazetich",27,"",14,3,245,"6-3","Stanford","2/4/1950","5",3,"San Diego Chargers / 2nd / 36th pick / 1972"
"25",55,"Frank LeMaster",25,"RILB",14,14,232,"6-2","Kentucky","3/12/1952","3",9,"Philadelphia Eagles / 4th / 89th pick / 1974"
"26",41,"Randy Logan",26,"SS",14,14,195,"6-1","Michigan","5/1/1951","4",9,"Philadelphia Eagles / 3rd / 55th pick / 1973"
"27",63,"Tom Luken",27,"",14,0,253,"6-3","Purdue","6/15/1950","5",3,"Philadelphia Eagles / 3rd / 68th pick / 1972"
"28",32,"Herb Lusk",24,"",11,0,190,"6-0","Long Beach St.","2/19/1953","1",3,"Philadelphia Eagles / 10th / 273rd pick / 1976"
"29",54,"Drew Mahalic",24,"RLB",14,9,225,"6-4","Notre Dame","5/22/1953","2",6,"Denver Broncos / 3rd / 69th pick / 1975"
"30",22,"Larry Marshall",27,"PR",14,0,195,"5-10","Maryland","3/2/1950","5",0,"Kansas City Chiefs / 15th / 387th pick / 1972"
"31",1,"Nick Mike-Mayer",27,"",3,0,186,"5-8","Temple","3/1/1950","4",2,"Atlanta Falcons / 10th / 248th pick / 1973"
"32",48,"Mark Mitchell",23,"",14,0,180,"6-1","Tulane","1/10/1954","Rook",4,"Philadelphia Eagles / 6th / 158th pick / 1977"
"33",31,"Wilbert Montgomery",23,"KR",14,1,196,"5-10","Jackson St.,Abilene Christian","9/16/1954","Rook",3,"Philadelphia Eagles / 6th / 154th pick / 1977"
"34",50,"Guy Morriss",26,"C",13,13,255,"6-4","TCU","5/13/1951","4",6,"Philadelphia Eagles / 2nd / 28th pick / 1973"
"35",16,"Horst Muhlmann",37,"K",9,0,215,"6-1","none","1/2/1940","8",0,""
"36",77,"Dennis Nelson",31,"",2,1,260,"6-5","Illinois St.","2/2/1946","7",1,"Baltimore Colts / 3rd / 77th pick / 1969"
"37",86,"Richard Osborne",24,"te",14,0,230,"6-3","Texas A&M","10/31/1953","1",0,"Philadelphia Eagles / 9th / 248th pick / 1976"
"38",20,"John Outlaw",32,"LCB",14,14,180,"5-10","Jackson St.","1/8/1945","8",7,"Boston Patriots / 10th / 249th pick / 1968"
"39",83,"Vince Papale",31,"",14,0,195,"6-2","St. Joseph's (PA)","2/9/1946","1",0,""
"40",57,"James Reed",22,"",4,0,230,"6-2","California","10/10/1955","Rook",3,""
"41",26,"John Sanders",27,"FS",14,12,175,"6-1","South Dakota","1/11/1950","3",8,""
"42",76,"Jerry Sisemore",26,"RG",14,14,265,"6-4","Texas","7/16/1951","4",6,"Philadelphia Eagles / 1st / 3rd pick / 1973"
"43",79,"Manny Sistrunk",30,"LDE",14,14,269,"6-5","Ark-Pine Bluff","6/16/1947","7",8,"Washington Redskins / 5th / 114th pick / 1970"
"44",85,"Charlie Smith",27,"WR",14,14,185,"6-1","Grambling St.","7/26/1950","3",6,""
"45",25,"Tom Sullivan",27,"RB",14,13,190,"6-0","Miami (FL)","3/5/1950","5",6,"Philadelphia Eagles / 15th / 378th pick / 1972"
"46",58,"Terry Tautolo",23,"lb",14,2,232,"6-2","UCLA","8/30/1954","1",2,"Philadelphia Eagles / 13th / 353rd pick / 1976"
"47",80,"Art Thoms",31,"",12,2,260,"6-5","Syracuse","10/20/1946","8",2,"Oakland Raiders / 1st / 22nd pick / 1969"
"48",75,"Stan Walters",29,"LT",14,14,275,"6-6","Syracuse","5/27/1948","5",6,"Cincinnati Bengals / 9th / 210th pick / 1972"
"49",NA,"Team Total",26.9,"",14,NA,222.4,"6-2.1","","","3.3",NA,""
