"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",95,"Victor Abiamiri",22,"",10,0,267,"6-4","Notre Dame","1/14/1986","1",1,"Philadelphia Eagles / 2nd / 57th pick / 2007"
"2",2,"David Akers",34,"",16,0,200,"5-10","Louisville","12/9/1974","10",3,""
"3",73,"Shawn Andrews",26,"rg",2,2,340,"6-4","Arkansas","12/25/1982","4",1,"Philadelphia Eagles / 1st / 16th pick / 2004"
"4",81,"Jason Avant",25,"wr",15,6,210,"6-0","Michigan","4/20/1983","2",3,"Philadelphia Eagles / 4th / 109th pick / 2006"
"5",84,"Hank Baskett",26,"wr",15,6,220,"6-2","New Mexico","9/4/1982","2",4,""
"6",25,"Lorenzo Booker",24,"rb",10,1,191,"5-11","Florida St.","6/14/1984","1",0,"Miami Dolphins / 3rd / 71st pick / 2007"
"7",55,"Stewart Bradley",25,"MLB",16,16,254,"6-4","Nebraska","11/2/1983","1",10,"Philadelphia Eagles / 3rd / 87th pick / 2007"
"8",86,"Reggie Brown",27,"wr",10,3,197,"6-1","Georgia","1/13/1981","3",2,"Philadelphia Eagles / 2nd / 35th pick / 2005"
"9",24,"Sheldon Brown",29,"RCB",16,15,196,"5-10","South Carolina","3/19/1979","6",7,"Philadelphia Eagles / 2nd / 59th pick / 2002"
"10",28,"Correll Buckhalter",30,"rb",14,2,222,"6-0","Nebraska","10/6/1978","7",5,"Philadelphia Eagles / 4th / 121st pick / 2001"
"11",97,"Brodrick Bunkley",25,"RDT",16,16,295,"6-2","Florida St.","11/23/1983","2",10,"Philadelphia Eagles / 1st / 14th pick / 2006"
"12",87,"Brent Celek",23,"te",16,7,261,"6-4","Cincinnati","1/25/1985","1",3,"Philadelphia Eagles / 5th / 162nd pick / 2007"
"13",91,"Chris Clemons",27,"",16,0,234,"6-3","Georgia","10/30/1981","4",3,""
"14",59,"Nick Cole",24,"rg",16,5,350,"6-0","New Mexico St.","7/28/1984","2",4,""
"15",58,"Trent Cole",26,"DE",16,16,270,"6-3","Cincinnati","10/5/1982","3",11,"Philadelphia Eagles / 5th / 146th pick / 2005"
"16",37,"Sean Considine",27,"",16,0,206,"6-1","Iowa","10/28/1981","3",1,"Philadelphia Eagles / 4th / 102nd pick / 2005"
"17",80,"Kevin Curtis",30,"WR",9,8,186,"5-11","Utah St.","7/17/1978","5",3,"St. Louis Rams / 3rd / 74th pick / 2003"
