"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",17,"Nelson Agholor",22,"WR",13,12,190,"6-1","USC","5/24/1993","Rook",2,"Philadelphia Eagles / 1st / 20th pick / 2015","$1,704,977"
"2",16,"Seyi Ajirotutu",28,"",13,0,211,"6-3","Fresno St.","6/12/1987","5",0,"","$665,000"
"3",94,"Beau Allen",24,"nt",16,2,333,"6-3","Wisconsin","11/14/1991","1",2,"Philadelphia Eagles / 7th / 224th pick / 2014","$525,562"
"4",50,"Kiko Alonso",25,"lb",11,1,238,"6-3","Oregon","8/14/1990","2",2,"Buffalo Bills / 2nd / 46th pick / 2013","$795,946"
"5",68,"Josh Andrews",24,"",13,0,304,"6-3","Oregon St.","6/21/1991","1",1,"","$435,000"
"6",19,"Miles Austin",31,"wr",11,1,215,"6-3","Monmouth","6/30/1984","9",2,"","$2,225,000"
"7",93,"Brandon Bair",31,"de",5,2,272,"6-7","Oregon","11/24/1984","4",1,"","$585,000"
"8",76,"Allen Barbre",31,"LG",16,16,303,"6-4","Missouri Southern","6/22/1984","8",7,"Green Bay Packers / 4th / 119th pick / 2007","$1,450,000"
"9",34,"Kenjon Barner",26,"",11,0,196,"5-9","Oregon","4/28/1989","2",1,"Carolina Panthers / 6th / 182nd pick / 2013","$510,000"
"10",98,"Connor Barwin",29,"LB",16,16,253,"6-3","Cincinnati","10/15/1986","6",7,"Houston Texans / 2nd / 46th pick / 2009","$7,000,000"
"11",38,"E.J. Biggers",28,"cb",16,3,180,"6-0","West. Michigan","6/13/1987","6",2,"Tampa Bay Buccaneers / 7th / 217th pick / 2009","$585,000"
"12",7,"Sam Bradford",28,"QB",14,14,236,"6-4","Oklahoma","11/8/1987","5",9,"St. Louis Rams / 1st / 1st pick / 2010","$12,985,000"
"13",56,"Bryan Braman",28,"",16,0,230,"6-5","West Texas A&M","5/4/1987","4",1,"","$1,120,000"
"14",47,"Trey Burton",24,"",16,0,228,"6-3","Florida","10/29/1991","1",0,"","$512,500"
"15",23,"Nolan Carroll",28,"CB",11,11,202,"6-1","Maryland","1/18/1987","5",4,"Miami Dolphins / 5th / 145th pick / 2010","$2,900,000"
"16",87,"Brent Celek",30,"TE",16,13,261,"6-4","Cincinnati","1/25/1985","8",3,"Philadelphia Eagles / 5th / 162nd pick / 2007","$4,800,000"
"17",14,"Riley Cooper",28,"WR",16,13,214,"6-3","Florida","9/9/1987","5",2,"Philadelphia Eagles / 5th / 159th pick / 2010","$4,800,000"
"18",21,"Jerome Couplin",24,"",8,0,215,"6-2","William & Mary","8/31/1991","1",0,"","$526,666"
