"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",36,"Jerome Bettis",27,"RB",16,16,252,"5-11","Notre Dame","2/16/1972","6",9,"Los Angeles Rams / 1st / 10th pick / 1993"
"2",89,"Will Blackwell",24,"",11,1,190,"6-0","San Diego St.","7/9/1975","2",2,"Pittsburgh Steelers / 2nd / 53rd pick / 1997"
"3",60,"Anthony Brown",27,"RT",16,11,315,"6-5","Utah","11/6/1972","4",7,""
"4",98,"Ernie Brown",28,"",3,0,295,"6-3","Syracuse","3/14/1971","Rook",0,""
"5",3,"Kris Brown",23,"",16,0,206,"5-11","Nebraska","12/23/1976","Rook",4,"Pittsburgh Steelers / 7th / 228th pick / 1999"
"6",29,"Lance Brown",27,"",16,0,200,"6-2","Indiana","2/2/1972","4",0,"Pittsburgh Steelers / 5th / 161st pick / 1995"
"7",87,"Mark Bruener",27,"TE",14,14,260,"6-4","Washington","9/16/1972","4",2,"Pittsburgh Steelers / 1st / 27th pick / 1995"
"8",48,"Tony Cline",28,"",2,0,247,"6-4","Stanford","11/24/1971","4",0,"Buffalo Bills / 4th / 131st pick / 1995"
"9",78,"Chris Conrad",24,"rt",11,3,301,"6-6","Fresno St.","5/27/1975","1",0,"Pittsburgh Steelers / 3rd / 66th pick / 1998"
"10",80,"Matt Cushing",24,"te",7,1,255,"6-4","Illinois","7/2/1975","Rook",0,""
"11",27,"Travis Davis",26,"SS",16,16,203,"6-0","Notre Dame","1/10/1973","4",11,"New Orleans Saints / 7th / 242nd pick / 1995"
"12",63,"Dermontti Dawson",34,"c",7,7,288,"6-2","Kentucky","6/17/1965","11",4,"Pittsburgh Steelers / 2nd / 44th pick / 1988"
"13",62,"Roger Duffy",32,"C",16,11,300,"6-3","Penn St.","7/16/1967","9",7,"New York Jets / 8th / 196th pick / 1990"
"14",81,"Troy Edwards",22,"se",16,6,191,"5-10","Louisiana Tech","4/7/1977","Rook",7,"Pittsburgh Steelers / 1st / 13th pick / 1999"
"15",51,"Carlos Emmons",26,"ROLB",16,16,250,"6-5","Arkansas St.","9/3/1973","3",11,"Pittsburgh Steelers / 7th / 242nd pick / 1996"
"16",65,"Alan Faneca",23,"LG",15,14,312,"6-5","LSU","12/7/1976","1",8,"Pittsburgh Steelers / 1st / 26th pick / 1998"
"17",57,"John Fiala",26,"",16,0,237,"6-2","Washington","11/25/1973","1",0,"Miami Dolphins / 6th / 166th pick / 1997"
"18",41,"Lee Flowers",26,"FS",15,15,213,"6-0","Georgia Tech","1/14/1973","4",10,"Pittsburgh Steelers / 5th / 151st pick / 1995"
"19",45,"Chris Fuamatu-Ma'afala",22,"",10,0,252,"6-0","Utah","3/4/1977","1",0,"Pittsburgh Steelers / 6th / 178th pick / 1998"
"20",72,"Wayne Gandy",28,"LT",16,16,308,"6-4","Auburn","2/10/1971","5",10,"Los Angeles Rams / 1st / 15th pick / 1994"
"21",92,"Jason Gildon",27,"LOLB",16,16,255,"6-4","Oklahoma St.","7/31/1972","5",10,"Pittsburgh Steelers / 3rd / 88th pick / 1994"
"22",7,"Pete Gonzalez",25,"",1,0,216,"6-1","Pittsburgh","7/24/1974","Rook",0,""
"23",74,"Nolan Harrison",30,"de",5,3,280,"6-5","Indiana","1/25/1969","8",0,"Los Angeles Raiders / 6th / 146th pick / 1991"
"24",88,"Courtney Hawkins",30,"WR",11,11,183,"5-9","Michigan St.","12/12/1969","7",3,"Tampa Bay Buccaneers / 2nd / 44th pick / 1992"
"25",76,"Kevin Henry",31,"DE",16,13,282,"6-4","Mississippi St.","10/23/1968","6",8,"Pittsburgh Steelers / 4th / 108th pick / 1993"
"26",50,"Earl Holmes",26,"RILB",16,16,242,"6-2","Florida A&M","4/28/1973","3",11,"Pittsburgh Steelers / 4th / 126th pick / 1996"
"27",33,"Richard Huntley",27,"fb",16,2,224,"5-11","Winston-Salem St.","9/18/1972","3",7,"Atlanta Falcons / 4th / 117th pick / 1996"
"28",83,"Malcolm Johnson",22,"",6,0,215,"6-5","Notre Dame","8/27/1977","Rook",0,"Pittsburgh Steelers / 5th / 166th pick / 1999"
"29",97,"Chad Kelsay",22,"",6,0,252,"6-2","Nebraska","4/9/1977","Rook",0,"Pittsburgh Steelers / 7th / 219th pick / 1999"
