"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",55,"Patrick Bailey",24,"",16,0,235,"6-4","Duke","11/19/1985","1",1,""
"2",16,"Charlie Batch",35,"",1,0,220,"6-2","East. Michigan","12/5/1974","11",0,"Detroit Lions / 2nd / 60th pick / 1998"
"3",50,"Rocky Boiman",29,"",6,0,236,"6-4","Notre Dame","1/24/1980","7",0,"Tennessee Titans / 4th / 133rd pick / 2002"
"4",27,"Joe Burnett",23,"",15,0,185,"5-11","Central Florida","11/28/1986","Rook",1,"Pittsburgh Steelers / 5th / 168th pick / 2009"
"5",23,"Tyrone Carter",33,"SS",16,12,190,"5-8","Minnesota","3/31/1976","9",6,"Minnesota Vikings / 4th / 118th pick / 2000"
"6",25,"Ryan Clark",30,"FS",15,15,200,"5-11","LSU","10/12/1979","7",7,""
"7",NA,"Willie Colon",26,"RT",16,16,320,"6-3","Hofstra","4/9/1983","3",9,"Pittsburgh Steelers / 4th / 131st pick / 2006"
"8",38,"Carey Davis",28,"",6,0,225,"5-10","Illinois","3/27/1981","2",0,""
"9",2,"Dennis Dixon",24,"qb",1,1,195,"6-3","Oregon","1/11/1985","1",1,"Pittsburgh Steelers / 5th / 156th pick / 2008"
"10",93,"Nick Eason",29,"de",8,5,301,"6-3","Clemson","5/29/1980","5",3,"Denver Broncos / 4th / 114th pick / 2003"
"11",NA,"Trai Essex",27,"RG",16,16,324,"6-4","Northwestern","12/5/1982","4",9,"Pittsburgh Steelers / 3rd / 93rd pick / 2005"
"12",51,"James Farrior",34,"LILB",16,16,242,"6-2","Virginia","1/6/1975","12",8,"New York Jets / 1st / 8th pick / 1997"
"13",NA,"Ramon Foster",23,"lg",14,4,338,"6-5","Tennessee","1/7/1986","Rook",4,""
"14",57,"Keyaron Fox",27,"rilb",16,3,220,"6-3","Georgia Tech","1/24/1982","5",4,"Kansas City Chiefs / 3rd / 93rd pick / 2004"
"15",54,"Andre Frazier",27,"",14,0,234,"6-5","Cincinnati","6/29/1982","4",1,""
"16",22,"William Gay",24,"RCB",16,14,183,"5-10","Louisville","1/1/1985","2",6,"Pittsburgh Steelers / 5th / 170th pick / 2007"
"17",19,"Tyler Grisham",22,"",4,0,180,"5-11","Clemson","6/11/1987","Rook",0,""
"18",98,"Casey Hampton*",32,"NT",16,16,320,"6-1","Texas","9/3/1977","8",10,"Pittsburgh Steelers / 1st / 19th pick / 2001"
"19",97,"Arnold Harrison",27,"",8,0,236,"6-3","Georgia","9/20/1982","3",1,""
"20",92,"James Harrison*",31,"ROLB",16,16,242,"6-0","Kent St.","5/4/1978","7",14,""
"21",62,"Justin Hartwig",31,"C",16,16,305,"6-4","Kansas","11/21/1978","7",9,"Tennessee Titans / 6th / 187th pick / 2002"
"22",76,"Chris Hoke",33,"",16,0,296,"6-3","BYU","4/6/1976","5",1,""
"23",10,"Santonio Holmes",25,"WR",16,16,185,"5-10","Ohio St.","3/3/1984","3",11,"Pittsburgh Steelers / 1st / 25th pick / 2006"
"24",96,"Evander Hood",22,"",16,0,298,"6-3","Missouri","2/16/1987","Rook",2,"Pittsburgh Steelers / 1st / 32nd pick / 2009"
"25",NA,"Corey Ivy",32,"",1,0,188,"5-8","Oklahoma","3/29/1977","8",0,""
"26",85,"David Johnson",22,"fb",15,3,270,"6-2","Arkansas St.","8/26/1987","Rook",0,"Pittsburgh Steelers / 7th / 241st pick / 2009"
"27",99,"Brett Keisel",31,"DE",15,15,285,"6-5","BYU","9/19/1978","7",8,"Pittsburgh Steelers / 7th / 242nd pick / 2002"
"28",NA,"Chris Kemoeatu",26,"LG",12,12,344,"6-3","Utah","1/4/1983","3",7,"Pittsburgh Steelers / 6th / 204th pick / 2005"
"29",90,"Travis Kirschke",35,"de",12,7,298,"6-3","UCLA","9/6/1974","12",4,""
"30",64,"Doug Legursky",23,"",8,0,323,"6-1","Marshall","6/9/1986","Rook",1,""
"31",20,"Keenan Lewis",23,"",4,0,198,"6-0","Oregon St.","5/17/1986","Rook",0,"Pittsburgh Steelers / 3rd / 96th pick / 2009"
"32",11,"Stefan Logan",28,"wr",16,1,177,"5-7","South Dakota","6/2/1981","Rook",0,""
"33",37,"Anthony Madison",28,"",5,0,180,"5-9","Alabama","10/8/1981","3",0,""
"34",NA,"Shaun McDonald",28,"",4,0,183,"5-10","Arizona St.","6/13/1981","6",0,"St. Louis Rams / 4th / 106th pick / 2003"
"35",34,"Rashard Mendenhall",22,"RB",16,12,210,"5-11","Illinois","6/19/1987","1",10,"Pittsburgh Steelers / 1st / 23rd pick / 2008"
"36",83,"Heath Miller*",27,"TE",16,16,256,"6-5","Virginia","10/22/1982","4",7,"Pittsburgh Steelers / 1st / 30th pick / 2005"
"37",21,"Mewelde Moore",27,"",16,0,210,"5-11","Tulane","7/24/1982","5",2,"Minnesota Vikings / 4th / 119th pick / 2004"
"38",29,"Ryan Mundy",24,"",16,0,215,"6-1","West Virginia","2/11/1985","Rook",1,"Pittsburgh Steelers / 6th / 194th pick / 2008"
"39",39,"Willie Parker",29,"rb",14,3,209,"5-10","North Carolina","11/11/1980","5",3,""
"40",43,"Troy Polamalu",28,"ss",5,5,213,"5-10","USC","4/19/1981","6",3,"Pittsburgh Steelers / 1st / 16th pick / 2003"
"41",31,"Keiwan Ratliff",28,"",8,0,185,"5-11","Florida","4/19/1981","5",1,"Cincinnati Bengals / 2nd / 49th pick / 2004"
"42",NA,"Isaac Redman",25,"",1,0,230,"6-0","Bowie St.","11/10/1984","Rook",0,""
"43",3,"Jeff Reed",30,"",16,0,226,"5-11","North Carolina","4/9/1979","7",4,""
"44",NA,"Jared Retkofsky",26,"",2,0,260,"6-5","TCU","3/16/1983","1",0,""
"45",7,"Ben Roethlisberger",27,"QB",15,15,240,"6-5","Miami (OH)","3/2/1982","5",14,"Pittsburgh Steelers / 1st / 11th pick / 2004"
"46",9,"Daniel Sepulveda",25,"",16,0,229,"6-3","Baylor","1/12/1984","2",2,"Pittsburgh Steelers / 4th / 112th pick / 2007"
"47",91,"Aaron Smith",33,"de",5,5,300,"6-5","Northern Colorado","4/9/1976","10",2,"Pittsburgh Steelers / 4th / 109th pick / 1999"
"48",89,"Matt Spaeth",26,"te",16,8,270,"6-7","Minnesota","11/24/1983","2",0,"Pittsburgh Steelers / 3rd / 77th pick / 2007"
"49",78,"Max Starks",27,"LT",16,16,337,"6-7","Florida","1/10/1982","5",9,"Pittsburgh Steelers / 3rd / 75th pick / 2004"
"50",NA,"Frank Summers",24,"fb",2,1,240,"5-10","UNLV","9/6/1985","Rook",0,"Pittsburgh Steelers / 5th / 169th pick / 2009"
"51",14,"Limas Sweed",25,"",9,0,220,"6-5","Texas","12/25/1984","1",0,"Pittsburgh Steelers / 2nd / 53rd pick / 2008"
"52",24,"Ike Taylor",29,"LCB",16,16,191,"6-1","La-Lafayette","5/5/1980","6",7,"Pittsburgh Steelers / 4th / 125th pick / 2003"
"53",94,"Lawrence Timmons",23,"RILB",14,13,234,"6-1","Florida St.","5/14/1986","2",7,"Pittsburgh Steelers / 1st / 15th pick / 2007"
"54",26,"Deshea Townsend",34,"rcb",16,2,191,"5-10","Alabama","9/8/1975","11",2,"Pittsburgh Steelers / 4th / 117th pick / 1998"
"55",17,"Mike Wallace",23,"wr",16,4,180,"6-0","Mississippi","8/1/1986","Rook",7,"Pittsburgh Steelers / 3rd / 84th pick / 2009"
"56",86,"Hines Ward",33,"WR",16,16,205,"6-0","Georgia","3/8/1976","11",10,"Pittsburgh Steelers / 3rd / 92nd pick / 1998"
"57",NA,"Greg Warren",28,"",14,0,252,"6-3","North Carolina","10/18/1981","4",1,""
"58",56,"LaMarr Woodley*",25,"LOLB",16,16,266,"6-2","Michigan","11/3/1984","2",14,"Pittsburgh Steelers / 2nd / 46th pick / 2007"
"59",95,"Donovan Woods",24,"",1,0,230,"6-2","Oklahoma St.","7/27/1985","1",0,""
"60",NA,"Team Total",27.4,"",16,NA,239.9,"6-1.3","","","4.1",NA,""
