"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",28,"Cortez Allen",27,"",1,0,196,"6-1","The Citadel","10/29/1988","4",0,"Pittsburgh Steelers / 4th / 128th pick / 2011","$6,981,000"
"2",20,"Will Allen",33,"SS",13,13,202,"6-1","Ohio St.","6/17/1982","11",5,"Tampa Bay Buccaneers / 4th / 111th pick / 2004","$665,000"
"3",13,"Dri Archer",24,"",8,0,173,"5-8","Kent St.","8/9/1991","1",0,"Pittsburgh Steelers / 3rd / 97th pick / 2014","$644,504"
"4",68,"Kelvin Beachum",26,"lt",6,6,303,"6-2","SMU","6/8/1989","3",3,"Pittsburgh Steelers / 7th / 248th pick / 2012","$1,553,474"
"5",26,"Le'Veon Bell",23,"rb",6,6,230,"6-2","Michigan St.","2/18/1992","2",5,"Pittsburgh Steelers / 2nd / 48th pick / 2013","$1,032,082"
"6",4,"Jordan Berry",24,"",16,1,195,"6-5","Eastern Kentucky","3/18/1991","Rook",1,"","$435,000"
"7",41,"Antwon Blake",25,"RCB",16,16,198,"5-9","Texas-El Paso","8/8/1990","3",7,"","$1,542,000"
"8",9,"Chris Boswell",24,"",12,0,185,"6-2","Rice","3/16/1991","Rook",3,"",""
"9",25,"Brandon Boykin",25,"db",16,1,183,"5-9","Georgia","7/13/1990","3",2,"Philadelphia Eagles / 4th / 123rd pick / 2012","$1,542,000"
"10",84,"Antonio Brown*+",27,"WR",16,16,180,"5-10","Central Michigan","7/10/1988","5",17,"Pittsburgh Steelers / 6th / 195th pick / 2010","$7,120,833"
"11",10,"Martavis Bryant",24,"wr",11,5,211,"6-4","Clemson","12/20/1991","1",7,"Pittsburgh Steelers / 4th / 118th pick / 2014","$499,805"
"12",40,"Anthony Chickillo",23,"",7,0,271,"6-3","Miami (FL)","12/10/1992","Rook",1,"Pittsburgh Steelers / 6th / 212th pick / 2015",""
"13",14,"Sammie Coates",22,"",7,0,213,"6-2","Auburn","3/31/1993","Rook",0,"Pittsburgh Steelers / 3rd / 87th pick / 2015","$592,878"
"14",31,"Ross Cockrell",24,"cb",15,7,191,"6-0","Duke","8/6/1991","1",4,"Buffalo Bills / 4th / 109th pick / 2014","$435,000"
"15",66,"David DeCastro*+",25,"RG",16,16,316,"6-5","Stanford","1/11/1990","3",14,"Pittsburgh Steelers / 1st / 24th pick / 2012","$2,486,240"
"16",48,"Bud Dupree",22,"lolb",16,5,267,"6-4","Kentucky","2/12/1993","Rook",3,"Pittsburgh Steelers / 1st / 22nd pick / 2015","$1,676,778"
"17",73,"Ramon Foster",29,"LG",16,16,338,"6-5","Tennessee","1/7/1986","6",8,"","$2,150,000"
"18",57,"Terence Garvin",24,"",12,0,221,"6-3","West Virginia","1/1/1991","2",1,"","$585,000"
"19",22,"William Gay",30,"LCB",16,16,183,"5-10","Louisville","1/1/1985","8",7,"Pittsburgh Steelers / 5th / 170th pick / 2007","$1,666,668"
"20",77,"Marcus Gilbert",27,"RT",16,16,329,"6-6","Florida","2/15/1988","4",9,"Pittsburgh Steelers / 2nd / 63rd pick / 2011","$3,256,000"
"21",21,"Robert Golden",25,"ss",16,3,202,"5-11","Arizona","9/13/1990","3",2,"","$1,542,000"
"22",24,"Doran Grant",23,"",3,0,199,"5-10","Ohio St.","11/30/1992","Rook",0,"Pittsburgh Steelers / 4th / 121st pick / 2015",""
"23",92,"James Harrison",37,"rolb",15,1,242,"6-0","Kent St.","5/4/1978","13",3,"","$1,250,000"
"24",97,"Cameron Heyward",26,"DE",16,16,280,"6-5","Ohio St.","5/6/1989","4",9,"Pittsburgh Steelers / 1st / 31st pick / 2011","$6,400,000"
"25",88,"Darrius Heyward-Bey",28,"wr",16,4,205,"6-2","Maryland","2/26/1987","6",3,"Oakland Raiders / 1st / 7th pick / 2009","$665,000"
"26",74,"Chris Hubbard",24,"",8,0,286,"6-4","Ala-Birmingham","4/23/1991","2",1,"","$510,000"
"27",81,"Jesse James",21,"te",8,2,254,"6-7","Penn St.","6/4/1994","Rook",0,"Pittsburgh Steelers / 5th / 160th pick / 2015","$487,228"
"28",46,"Will Johnson",26,"fb",16,4,238,"6-2","West Virginia","11/14/1989","3",0,"","$1,542,000"
"29",13,"Jacoby Jones",31,"",4,0,192,"6-3","Lane","7/11/1984","8",0,"Houston Texans / 3rd / 73rd pick / 2007",""
"30",95,"Jarvis Jones",26,"ROLB",15,15,245,"6-2","Georgia","10/13/1989","2",8,"Pittsburgh Steelers / 1st / 17th pick / 2013","$2,374,228"
"31",3,"Landry Jones",26,"qb",7,2,225,"6-4","Oklahoma","4/4/1989","2",1,"Pittsburgh Steelers / 4th / 115th pick / 2013","$694,805"
"32",64,"Doug Legursky",29,"",11,0,323,"6-1","Marshall","6/9/1986","6",1,"","$585,000"
"33",62,"Daniel McCullers",23,"",12,0,352,"6-7","Tennessee","8/11/1992","1",1,"Pittsburgh Steelers / 6th / 215th pick / 2014","$529,670"
