"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",40,"Pete Banaszak",34,"",16,0,210,"5-11","Miami (FL)","5/21/1944","12",2,"Oakland Raiders / 5th / 59th pick / 1966"
"2",46,"Warren Bankston",31,"",8,0,235,"6-4","Tulane","7/22/1947","9",0,"Pittsburgh Steelers / 2nd / 42nd pick / 1969"
"3",56,"Jeff Barnes",23,"",16,0,223,"6-2","California","3/1/1955","1",3,"Oakland Raiders / 5th / 139th pick / 1977"
"4",25,"Fred Biletnikoff",35,"wr",16,2,190,"6-1","Florida St.","2/23/1943","13",3,"Oakland Raiders / 2nd / 11th pick / 1965, Detroit Lions / 3rd / 39th pick / 1965"
"5",81,"Morris Bradshaw",26,"WR",16,14,195,"6-1","Ohio St.","10/19/1952","4",6,"Oakland Raiders / 4th / 93rd pick / 1974"
"6",21,"Cliff Branch",30,"WR",16,16,170,"5-11","Colorado","8/1/1948","6",7,"Oakland Raiders / 4th / 98th pick / 1972"
"7",24,"Willie Brown",38,"db",13,2,195,"6-1","Grambling St.","12/2/1940","15",2,""
"8",73,"Dave Browning",22,"RDE",12,7,245,"6-5","Washington","8/18/1956","Rook",3,"Oakland Raiders / 2nd / 54th pick / 1978"
"9",82,"Larry Brunson",29,"",2,0,180,"5-11","Mesa,Colorado","8/11/1949","4",0,"Denver Broncos / 11th / 263rd pick / 1972"
"10",64,"George Buehler",31,"",1,0,260,"6-2","Stanford","8/10/1947","9",2,"Oakland Raiders / 2nd / 50th pick / 1969"
"11",87,"Dave Casper*+",27,"TE",16,16,240,"6-4","Notre Dame","9/26/1951","4",9,"Oakland Raiders / 2nd / 45th pick / 1974"
"12",88,"Raymond Chester",30,"",16,0,232,"6-3","Morgan St.","6/28/1948","8",1,"Oakland Raiders / 1st / 24th pick / 1970"
"13",20,"Neal Colzie",24,"PR",16,0,200,"6-2","Ohio St.","2/28/1954","3",0,"Oakland Raiders / 1st / 24th pick / 1975"
"14",50,"Dave Dalby",28,"C",16,16,247,"6-3","UCLA","10/19/1950","6",7,"Oakland Raiders / 4th / 100th pick / 1972"
"15",28,"Clarence Davis",29,"rb",2,2,195,"5-10","USC","6/28/1949","7",0,"Oakland Raiders / 4th / 97th pick / 1971"
"16",36,"Mike Davis",22,"db",16,1,203,"6-3","Colorado","4/15/1956","Rook",2,"Oakland Raiders / 2nd / 35th pick / 1977"
"17",29,"Hubert Ginn",31,"",1,0,185,"5-10","Florida A&M","1/4/1947","8",0,"Miami Dolphins / 9th / 211th pick / 1970"
"18",8,"Ray Guy*+",29,"P",16,0,195,"6-3","Southern Miss","12/22/1949","5",3,"Oakland Raiders / 1st / 23rd pick / 1973"
"19",39,"Willie Hall",29,"RILB",11,11,223,"6-2","USC","9/30/1949","6",5,"New Orleans Saints / 2nd / 31st pick / 1972"
"20",23,"Harold Hart",26,"",7,0,206,"6-0","Texas Southern","7/13/1952","4",0,"Oakland Raiders / 11th / 279th pick / 1974"
"21",37,"Lester Hayes",23,"LCB",16,16,200,"6-0","Texas A&M","1/22/1955","1",7,"Oakland Raiders / 5th / 126th pick / 1977"
"22",83,"Ted Hendricks",31,"LOLB",16,16,220,"6-7","Miami (FL)","11/1/1947","9",8,"Baltimore Colts / 2nd / 33rd pick / 1969"
"23",57,"John Huddleston",24,"",11,0,231,"6-3","Utah","4/10/1954","Rook",3,"Denver Broncos / 16th / 446th pick / 1976"
"24",11,"David Humm",26,"",16,0,188,"6-2","Nebraska","4/2/1952","3",0,"Oakland Raiders / 5th / 128th pick / 1975"
"25",42,"Monte Jackson",25,"RCB",16,14,193,"5-11","San Diego St.","7/14/1953","3",6,"Los Angeles Rams / 2nd / 28th pick / 1975"
"26",58,"Monte Johnson",27,"LILB",14,13,239,"6-4","Nebraska","10/26/1951","5",6,"Oakland Raiders / 2nd / 49th pick / 1973"
"27",70,"Henry Lawrence",27,"RT",16,16,272,"6-4","Florida A&M","9/26/1951","4",7,"Oakland Raiders / 1st / 19th pick / 1974"
"28",14,"Errol Mann",37,"K",16,0,200,"6-0","North Dakota","6/27/1941","10",2,""
"29",53,"Rod Martin",24,"RILB",15,8,218,"6-2","USC","4/7/1954","1",4,"Oakland Raiders / 12th / 317th pick / 1977"
"30",65,"Mickey Marvin",23,"RG",14,14,270,"6-4","Tennessee","10/5/1955","1",6,"Oakland Raiders / 4th / 112th pick / 1977"
"31",71,"Lindsey Mason",23,"",16,0,265,"6-5","Kansas","8/1/1955","Rook",4,"Oakland Raiders / 3rd / 82nd pick / 1978"
"32",72,"John Matuszak",28,"LDE",16,16,272,"6-8","Missouri,Tampa","10/25/1950","5",7,"Houston Oilers / 1st / 1st pick / 1973"
"33",76,"Mike McCoy",30,"dt",15,3,284,"6-5","Notre Dame","9/6/1948","8",2,"Green Bay Packers / 1st / 2nd pick / 1970"
"34",47,"Charlie Phillips",26,"SS",16,16,215,"6-2","USC","12/22/1952","3",10,"Oakland Raiders / 2nd / 45th pick / 1975"
"35",77,"Charles Philyaw",24,"de",15,3,276,"6-9","Texas Southern","2/25/1954","2",2,"Oakland Raiders / 2nd / 34th pick / 1976"
