"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",88,"James Adkisson",26,"",2,0,230,"6-5","South Carolina","1/11/1980","Rook",0,""
"2",83,"Courtney Anderson",26,"TE",16,11,270,"6-7","San Jose St.","11/19/1980","2",1,"Oakland Raiders / 7th / 245th pick / 2004"
"3",21,"Nnamdi Asomugha",25,"CB",15,15,215,"6-3","California","7/6/1981","3",12,"Oakland Raiders / 1st / 31st pick / 2003"
"4",70,"Brad Badger",31,"",7,0,320,"6-4","Stanford","1/11/1975","9",0,"Washington Redskins / 5th / 162nd pick / 1997"
"5",67,"Kevin Boothe",23,"RG",16,14,300,"6-5","Cornell","7/5/1983","Rook",3,"Oakland Raiders / 6th / 176th pick / 2006"
"6",91,"Tyler Brayton",27,"DE",16,13,280,"6-6","Colorado","11/20/1979","3",6,"Oakland Raiders / 1st / 32nd pick / 2003"
"7",2,"Aaron Brooks",30,"QB",8,8,220,"6-4","Virginia","3/24/1976","6",0,"Green Bay Packers / 4th / 131st pick / 1999"
"8",57,"Ricky Brown",23,"",13,0,235,"6-2","Boston Col.","12/27/1983","Rook",1,""
"9",13,"Will Buchanon",23,"",1,0,185,"6-3","USC","4/5/1983","Rook",0,""
"10",56,"Derrick Burgess*",28,"DE",16,16,266,"6-2","Mississippi","8/12/1978","5",10,"Philadelphia Eagles / 3rd / 63rd pick / 2001"
"11",23,"Chris Carr",23,"lb",16,2,180,"5-10","Boise St.","4/30/1983","1",2,""
"12",40,"Jarrod Cooper",28,"",16,0,210,"6-0","Kansas St.","3/31/1978","5",1,"Carolina Panthers / 5th / 143rd pick / 2001"
"13",32,"Zack Crockett",34,"fb",16,9,240,"6-2","Florida St.","12/2/1972","11",1,"Indianapolis Colts / 3rd / 79th pick / 1995"
"14",89,"Ronald Curry",27,"wr",16,4,220,"6-2","North Carolina","5/28/1979","4",4,"Oakland Raiders / 7th / 235th pick / 2002"
"15",20,"Adimchinobe Echemandu",26,"",4,0,225,"5-10","California","11/21/1980","2",0,"Cleveland Browns / 7th / 208th pick / 2004"
"16",50,"Isaiah Ekejiuba",25,"",12,0,219,"6-4","Virginia","10/5/1981","1",1,""
"17",25,"Justin Fargas",26,"rb",16,6,220,"6-1","Michigan,USC","1/25/1980","3",3,"Oakland Raiders / 3rd / 96th pick / 2003"
"18",49,"John Paul Foschi",24,"",1,0,270,"6-4","Georgia Tech","5/19/1982","1",0,""
"19",80,"Doug Gabriel",26,"",3,0,215,"6-2","Central Florida","8/27/1980","3",0,"Oakland Raiders / 5th / 167th pick / 2003"
"20",76,"Robert Gallery",26,"LT",10,10,325,"6-7","Iowa","7/26/1980","2",2,"Oakland Raiders / 1st / 2nd pick / 2004"
"21",36,"Derrick Gibson",27,"s",16,1,215,"6-2","Florida St.","3/22/1979","5",1,"Oakland Raiders / 1st / 28th pick / 2001"
"22",64,"Jake Grove",26,"C",16,16,300,"6-4","Virginia Tech","1/22/1980","2",4,"Oakland Raiders / 2nd / 45th pick / 2004"
"23",77,"Anttaj Hawthorne",25,"",16,0,310,"6-3","Wisconsin","11/15/1981","1",1,"Oakland Raiders / 6th / 175th pick / 2005"
