"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",44,"Tyrell Adams",24,"LB",4,0,228,"6-2","","4/11/1992","Rook",NA,"","$158,820"
"2",74,"Vadal Alexander",22,"OG",7,4,336,"6-5","LSU","3/23/1994","Rook",NA,"Oakland Raiders / 7th / 234th pick / 2016","$469,211"
"3",20,"Nate Allen",29,"DB",12,2,205,"6-1","South Florida","11/30/1987","6",NA,"Philadelphia Eagles / 2nd / 37th pick / 2010","$3,000,000"
"4",29,"David Amerson",25,"CB",13,13,205,"6-1","North Carolina St.","12/8/1991","3",NA,"Washington Redskins / 2nd / 51st pick / 2013","$4,050,000"
"5",96,"Denico Autry",26,"DE",14,5,273,"6-5","Mississippi St.","7/15/1990","2",NA,"","$600,000"
"6",58,"Neiron Ball",24,"OLB",NA,NA,230,"6-2","Florida","8/21/1992","1",NA,"Oakland Raiders / 5th / 161st pick / 2015","$399,331"
"7",56,"Daren Bates",26,"LB",14,0,212,"5-11","Auburn","11/27/1990","3",NA,"","$850,000"
"8",91,"Shilique Calhoun",24,"DE",10,0,252,"6-5","Michigan St.","3/20/1992","Rook",NA,"Oakland Raiders / 3rd / 75th pick / 2016","$647,533"
"9",4,"Derek Carr",25,"QB",14,14,214,"6-2","Fresno St.","3/28/1991","2",NA,"Oakland Raiders / 2nd / 36th pick / 2014","$1,465,037"
"10",38,"TJ Carrie",26,"CB",14,3,206,"6-0","Ohio","7/28/1990","2",NA,"Oakland Raiders / 7th / 219th pick / 2014","$616,741"
"11",59,"Jon Condo",35,"LB",14,0,244,"6-3","Maryland","8/26/1981","11",NA,"","$1,177,500"
"12",8,"Connor Cook",23,"QB",NA,NA,220,"6-4","Michigan St.","1/29/1993","Rook",NA,"Oakland Raiders / 4th / 100th pick / 2016","$604,972"
"13",89,"Amari Cooper",22,"WR",14,13,210,"6-1","Alabama","6/17/1994","1",NA,"Oakland Raiders / 1st / 4th pick / 2015","$5,150,708"
"14",47,"James Cowser",26,"LB",4,0,244,"6-3","","9/13/1990","Rook",NA,"","$450,000"
"15",15,"Michael Crabtree",29,"WR",14,14,215,"6-2","Texas Tech","9/14/1987","7",NA,"San Francisco 49ers / 1st / 10th pick / 2009","$11,000,000"
"16",97,"Mario Edwards",22,"DE",NA,NA,294,"6-3","Florida St.","1/25/1994","1",NA,"Oakland Raiders / 2nd / 35th pick / 2015","$1,367,537"
"17",30,"SaQwan Edwards",24,"CB",NA,NA,200,"6-0","","5/13/1992","Rook",NA,"","$450,000"
"18",78,"Justin Ellis",26,"DT",14,4,334,"6-2","Louisiana Tech","12/27/1990","2",NA,"Oakland Raiders / 4th / 107th pick / 2014","$718,172"
"19",76,"Jon Feliciano",24,"OG",14,0,335,"6-4","Miami (FL)","2/10/1992","1",NA,"Oakland Raiders / 4th / 128th pick / 2015","$640,163"
"20",32,"Antonio Hamilton",23,"CB",4,0,185,"6-0","","1/24/1993","Rook",NA,"","$450,000"
"21",25,"D.J. Hayden",26,"CB",11,2,191,"5-11","Houston","6/27/1990","3",NA,"Oakland Raiders / 1st / 12th pick / 2013","$3,284,813"
"22",50,"Ben Heeney",24,"ILB",4,2,226,"6-0","Kansas","12/10/1992","1",NA,"Oakland Raiders / 5th / 140th pick / 2015","$585,681"
"23",18,"Andre Holmes",28,"WR",14,2,208,"6-5","Hillsdale","6/16/1988","5",NA,"","$2,000,000"
"24",82,"Gabe Holmes",25,"TE",NA,NA,256,"6-5","Purdue","3/29/1991","Rook",NA,"","$525,000"
"25",16,"Johnny Holton",25,"WR",13,0,190,"6-0","","8/22/1991","Rook",NA,"","$450,000"
"26",77,"Austin Howard",29,"T",11,10,333,"6-7","Northern Iowa","3/22/1987","6",NA,"","$5,900,000"
"27",61,"Rodney Hudson",27,"OL",14,14,291,"6-2","Florida St.","7/12/1989","5",NA,"Kansas City Chiefs / 2nd / 55th pick / 2011","$7,700,000"
"28",51,"Bruce Irvin",29,"DE",14,14,245,"6-3","West Virginia","11/1/1987","4",NA,"Seattle Seahawks / 1st / 15th pick / 2012","$12,500,000"
"29",63,"Branden Jackson",24,"DE",3,0,268,"6-4","","11/11/1992","Rook",NA,"","$132,350"
"30",66,"Gabe Jackson",25,"OG",14,14,336,"6-3","Mississippi St.","7/12/1991","2",NA,"Oakland Raiders / 3rd / 81st pick / 2014","$762,844"
"31",57,"Cory James",23,"OLB",14,5,229,"6-0","Colorado St.","5/22/1993","Rook",NA,"Oakland Raiders / 6th / 194th pick / 2016","$483,119"
"32",11,"Sebastian Janikowski",38,"K",14,0,250,"6-2","Florida St.","3/2/1978","16",NA,"Oakland Raiders / 1st / 17th pick / 2000","$3,960,000"
"33",22,"Taiwan Jones",28,"RB",11,0,202,"5-11","East. Washington","7/26/1988","5",NA,"Oakland Raiders / 4th / 125th pick / 2011","$1,150,000"
"34",42,"Karl Joseph",23,"SS",12,9,205,"5-10","West Virginia","9/8/1993","Rook",NA,"Oakland Raiders / 1st / 14th pick / 2016","$2,160,785"
"35",7,"Marquette King",28,"P",14,0,192,"6-0","Fort Valley St.","10/26/1988","4",NA,"","$5,050,000"
"36",79,"Denver Kirkland",22,"G",8,4,340,"6-5","","3/6/1994","Rook",NA,"","$370,580"
"37",75,"Darius Latham",22,"DT",12,0,305,"6-5","","11/9/1994","Rook",NA,"","$450,000"
"38",52,"Khalil Mack",25,"OLB",14,14,251,"6-3","Buffalo","2/22/1991","2",NA,"Oakland Raiders / 1st / 5th pick / 2014","$5,093,727"
"39",23,"Dexter McDonald",25,"CB",4,0,200,"6-1","Kansas","11/30/1991","1",NA,"Oakland Raiders / 7th / 242nd pick / 2015","$539,212"
"40",92,"Stacy McGee",26,"DT",9,9,308,"6-3","Oklahoma","1/17/1990","3",NA,"Oakland Raiders / 6th / 205th pick / 2013","$694,670"
"41",39,"Keith McGill",27,"CB",14,2,211,"6-3","Utah","3/9/1989","2",NA,"Oakland Raiders / 4th / 116th pick / 2014","$711,300"
"42",14,"Matt McGloin",27,"QB",2,0,203,"6-1","Penn St.","12/2/1989","3",NA,"","$2,553,000"
"43",28,"Latavius Murray",26,"RB",12,10,225,"6-3","Central Florida","1/18/1990","3",NA,"Oakland Raiders / 6th / 181st pick / 2013","$701,550"
"44",27,"Reggie Nelson",33,"DB",14,14,198,"6-0","Florida","9/21/1983","9",NA,"Jacksonville Jaguars / 1st / 21st pick / 2007","$6,000,000"
"45",49,"Jamize Olawale",27,"FB",14,6,235,"6-0","North Texas","4/17/1989","4",NA,"","$2,190,000"
"46",70,"Kelechi Osemele",27,"T",13,13,333,"6-5","Iowa St.","6/24/1989","4",NA,"Baltimore Ravens / 2nd / 60th pick / 2012","$13,200,000"
"47",72,"Donald Penn",33,"T",14,14,305,"6-5","Utah St.","4/27/1983","9",NA,"","$6,100,000"
"48",46,"Jalen Richard",23,"RB",14,0,207,"5-8","","10/15/1993","Rook",NA,"","$450,000"
"49",56,"Perry Riley",28,"LB",9,9,238,"6-1","LSU","5/3/1988","6",NA,"Washington Redskins / 4th / 103rd pick / 2010","$581,176"
