"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",83,"Flipper Anderson",25,"WR",16,11,175,"6-0","UCLA","3/7/1965","2",10,"Los Angeles Rams / 2nd / 46th pick / 1988"
"2",87,"Richard Ashe",23,"",1,0,260,"6-4","Humboldt St.","3/14/1967","Rook",0,""
"3",42,"Latin Berry",23,"",16,0,196,"5-10","Oregon","1/13/1967","Rook",1,"Los Angeles Rams / 3rd / 78th pick / 1990"
"4",57,"George Bethune",23,"",16,0,238,"6-4","Alabama","3/30/1967","1",1,"Los Angeles Rams / 7th / 188th pick / 1989"
"5",61,"Bern Brostek",24,"c",16,2,300,"6-3","Washington","9/11/1966","Rook",2,"Los Angeles Rams / 1st / 23rd pick / 1990"
"6",59,"Paul Butcher",27,"lb",16,1,230,"6-0","Wayne State (MI)","11/8/1963","4",1,""
"7",18,"John Carney",26,"",1,0,180,"5-11","Notre Dame","4/20/1964","2",0,""
"8",88,"Pat Carter",24,"te",16,4,256,"6-4","Florida St.","8/1/1966","2",1,"Detroit Lions / 2nd / 32nd pick / 1988"
"9",92,"Greg Clark",25,"",11,0,228,"6-0","Arizona St.","3/5/1965","2",1,"Chicago Bears / 12th / 329th pick / 1988"
"10",84,"Aaron Cox",25,"wr",14,1,174,"5-9","Arizona St.","3/13/1965","2",2,"Los Angeles Rams / 1st / 20th pick / 1988"
"11",39,"Robert Delpino",25,"rb",15,3,205,"6-0","Missouri","11/2/1965","2",2,"Los Angeles Rams / 5th / 117th pick / 1988"
"12",34,"Marcus Dupree",26,"rb",7,1,225,"6-2","Oklahoma,Southern Miss","5/22/1964","Rook",0,"Los Angeles Rams / 12th / 327th pick / 1986"
"13",80,"Henry Ellard",29,"WR",15,15,180,"5-11","Fresno St.","7/21/1961","7",12,"Los Angeles Rams / 2nd / 32nd pick / 1983"
"14",8,"Keith English",24,"P",16,0,220,"6-3","Colorado","3/10/1966","Rook",1,""
"15",11,"Jim Everett*",27,"QB",16,16,212,"6-5","Purdue","1/3/1963","4",13,"Houston Oilers / 1st / 3rd pick / 1986"
"16",89,"Derrick Faison",23,"",15,0,200,"6-4","Howard","8/24/1967","Rook",0,""
"17",51,"Brett Faryniarz",25,"lb",16,3,230,"6-3","San Diego St.","7/23/1965","2",2,""
"18",43,"Cleveland Gary",24,"RB",15,7,226,"6-0","Georgia,Miami (FL)","5/4/1966","1",7,"Los Angeles Rams / 1st / 26th pick / 1989"
"19",25,"Jerry Gray",28,"LCB",12,12,183,"6-0","Texas","12/16/1962","5",4,"Los Angeles Rams / 1st / 21st pick / 1985"
"20",44,"Gaston Green",24,"KR",15,2,189,"5-10","UCLA","8/1/1966","2",3,"Los Angeles Rams / 1st / 14th pick / 1988"
"21",91,"Kevin Greene",28,"LOLB",15,15,247,"6-3","Auburn","7/31/1962","5",7,"Los Angeles Rams / 5th / 113th pick / 1985"
"22",70,"Bill Hawkins",24,"",15,0,269,"6-6","Miami (FL)","5/9/1966","1",1,"Los Angeles Rams / 1st / 21st pick / 1989"
"23",20,"Darryl Henley",24,"PR",9,6,172,"5-9","UCLA","10/30/1966","1",2,"Los Angeles Rams / 2nd / 53rd pick / 1989"
"24",28,"Cliff Hicks",26,"",1,0,190,"5-9","Oregon","8/18/1964","3",0,"Los Angeles Rams / 3rd / 74th pick / 1987"
"25",81,"Pete Holohan",31,"TE",16,10,237,"6-4","Notre Dame","7/25/1959","9",4,"San Diego Chargers / 7th / 189th pick / 1981"
"26",48,"Bobby Humphery",29,"RCB",16,10,178,"5-10","New Mexico St.","8/23/1961","6",5,"New York Jets / 9th / 247th pick / 1983"
"27",31,"Alfred Jackson",23,"",5,0,183,"6-0","San Diego St.","7/10/1967","1",0,"Los Angeles Rams / 5th / 135th pick / 1989"
"28",72,"Robert Jenkins",27,"",11,0,258,"6-5","UCLA","12/30/1963","3",1,"Los Angeles Rams / 6th / 144th pick / 1986"
