"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",34,"David Allen",27,"",4,0,195,"5-9","Kansas St.","2/9/1978","2",0,""
"2",20,"Dwight Anderson",24,"",3,0,180,"5-10","South Dakota","7/5/1981","1",0,""
"3",31,"Adam Archuleta",28,"SS",14,14,223,"6-0","Arizona St.","11/27/1977","4",5,"St. Louis Rams / 1st / 20th pick / 2001"
"4",21,"O.J. Atogwe",24,"",12,0,203,"5-11","Stanford","6/23/1981","Rook",1,"St. Louis Rams / 3rd / 66th pick / 2005"
"5",4,"Bryan Barker",41,"",11,0,202,"6-1","Santa Clara","6/28/1964","15",2,""
"6",70,"Alex Barron",23,"RT",12,11,320,"6-7","Florida St.","9/28/1982","Rook",6,"St. Louis Rams / 1st / 19th pick / 2005"
"7",32,"Ronald Bartell",23,"rcb",10,7,208,"6-1","Howard","2/22/1982","Rook",2,"St. Louis Rams / 2nd / 50th pick / 2005"
"8",80,"Isaac Bruce",33,"WR",11,10,188,"6-0","Memphis","11/10/1972","11",4,"Los Angeles Rams / 2nd / 33rd pick / 1994"
"9",10,"Marc Bulger",28,"QB",8,8,215,"6-3","West Virginia","4/5/1977","3",7,"New Orleans Saints / 6th / 168th pick / 2000"
"10",90,"Jeremy Calahan",22,"",1,0,295,"6-3","Rice","7/7/1983","Rook",0,""
"11",27,"Dwaine Carpenter",29,"",1,0,203,"6-1","North Carolina A&T","11/4/1976","2",0,""
"12",42,"Jerome Carter",23,"ss",14,2,219,"5-11","Florida St.","10/25/1982","Rook",1,"St. Louis Rams / 4th / 117th pick / 2005"
"13",26,"Aveion Cason",26,"",2,0,204,"5-10","Illinois St.","7/12/1979","4",1,""
"14",54,"Brandon Chillar",23,"lb",16,7,253,"6-3","UCLA","10/21/1982","1",3,"St. Louis Rams / 4th / 130th pick / 2004"
"15",55,"Chris Claiborne",27,"mlb",14,7,259,"6-3","USC","7/26/1978","6",3,"Detroit Lions / 1st / 9th pick / 1999"
"16",82,"Cam Cleeland",30,"te",9,3,272,"6-5","Washington","8/15/1975","7",0,"New Orleans Saints / 2nd / 40th pick / 1998"
"17",52,"Dexter Coakley",33,"LB",12,9,236,"5-10","Appalachian St.","10/20/1972","8",3,"Dallas Cowboys / 3rd / 65th pick / 1997"
"18",48,"Jerome Collins",23,"",3,0,267,"6-4","Notre Dame","8/18/1982","Rook",0,"St. Louis Rams / 5th / 144th pick / 2005"
"19",83,"Kevin Curtis",27,"WR",16,9,186,"5-11","Utah St.","7/17/1978","2",7,"St. Louis Rams / 3rd / 74th pick / 2003"
"20",30,"Terry Fair",29,"",5,0,185,"5-9","Tennessee","7/20/1976","7",0,"Detroit Lions / 1st / 20th pick / 1998"
"21",28,"Marshall Faulk",32,"rb",16,1,211,"5-10","San Diego St.","2/26/1973","11",4,"Indianapolis Colts / 1st / 2nd pick / 1994"
"22",57,"Trev Faulk",24,"mlb",16,5,254,"6-3","LSU","8/6/1981","1",2,""
"23",22,"Travis Fisher",26,"RCB",8,8,189,"5-10","Central Florida","9/12/1979","3",2,"St. Louis Rams / 2nd / 64th pick / 2002"
