"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",31,"Maurice Alexander",25,"SS",13,13,220,"6-1","Utah St.","2/16/1991","2",NA,"St. Louis Rams / 4th / 110th pick / 2014","$600,000"
"2",66,"David Arkin",29,"OL",1,0,300,"6-5","Missouri State","10/7/1987","5",NA,"Dallas Cowboys / 4th / 110th pick / 2011",""
"3",11,"Tavon Austin",25,"WR",13,13,174,"5-9","West Virginia","3/15/1991","3",NA,"St. Louis Rams / 1st / 8th pick / 2013","$1,111,111"
"4",61,"Tim Barnes",28,"C",14,14,297,"6-4","Missouri","5/14/1988","5",NA,"","$1,250,000"
"5",26,"Mark Barron",27,"SS",14,14,213,"6-1","Alabama","10/27/1989","4",NA,"Tampa Bay Buccaneers / 1st / 7th pick / 2012","$5,000,000"
"6",18,"Kenny Britt",28,"WR",14,14,215,"6-3","Rutgers","9/19/1988","7",NA,"Tennessee Titans / 1st / 30th pick / 2009","$3,600,000"
"7",90,"Michael Brockers",26,"DT",12,12,322,"6-5","LSU","12/21/1990","4",NA,"St. Louis Rams / 1st / 14th pick / 2012","$6,146,000"
"8",68,"Jamon Brown",23,"OT",9,3,330,"6-4","Louisville","3/15/1993","1",NA,"St. Louis Rams / 3rd / 72nd pick / 2015","$575,575"
"9",39,"Malcolm Brown",NA,"RB",14,0,224,"5-11","Texas","","1",NA,"","$450,000"
"10",25,"Marqui Christian",22,"SS",11,0,196,"5-10","Midwestern St.","10/27/1994","Rook",NA,"Arizona Cardinals / 5th / 167th pick / 2016","$450,000"
"11",10,"Pharoh Cooper",21,"WR",8,2,208,"5-11","South Carolina","3/7/1995","Rook",NA,"Los Angeles Rams / 4th / 117th pick / 2016","$450,000"
"12",24,"Blake Countess",23,"CB",3,0,184,"5-9","Auburn,Michigan","8/8/1993","Rook",NA,"Philadelphia Eagles / 6th / 196th pick / 2016","$450,000"
"13",23,"Benny Cunningham",26,"RB",11,0,210,"5-10","Middle Tenessee","7/7/1990","3",NA,"","$1,671,000"
"14",38,"Cody Davis",27,"S",14,2,202,"6-2","Texas Tech","6/6/1989","3",NA,"","$750,000"
"15",99,"Aaron Donald",25,"DT",14,14,285,"6-1","Pittsburgh","5/23/1991","2",NA,"St. Louis Rams / 1st / 13th pick / 2014","$1,341,500"
"16",64,"Andrew Donnal",24,"OT",14,2,305,"6-6","Iowa","3/3/1992","1",NA,"St. Louis Rams / 4th / 119th pick / 2015","$525,000"
