"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",82,"Derrick Alexander",26,"WR",15,13,195,"6-2","Michigan","11/6/1971","3",8,"Cleveland Browns / 1st / 29th pick / 1994"
"2",69,"Jeff Blackshear",28,"RG",16,16,323,"6-6","La-Monroe","3/29/1969","4",7,"Seattle Seahawks / 8th / 197th pick / 1993"
"3",58,"Peter Boulware",23,"LLB",16,16,255,"6-4","Florida St.","12/18/1974","Rook",7,"Baltimore Ravens / 1st / 4th pick / 1997"
"4",24,"Donny Brady",24,"rcb",16,5,195,"6-2","Wisconsin","11/24/1973","2",3,""
"5",22,"Dorian Brew",23,"",3,0,182,"5-10","Kansas","7/19/1974","1",0,"Miami Dolphins / 3rd / 79th pick / 1996"
"6",51,"Cornell Brown",22,"lb",16,1,240,"6-0","Virginia Tech","3/15/1975","Rook",2,"Baltimore Ravens / 6th / 194th pick / 1997"
"7",77,"Orlando Brown",27,"RT",16,16,360,"6-7","Central State (OH),South Carolina St.","12/12/1970","3",7,""
"8",90,"Rob Burnett",30,"LDE",15,15,265,"6-4","Syracuse","8/27/1967","7",7,"Cleveland Browns / 5th / 129th pick / 1990"
"9",21,"Earnest Byner",35,"rb",16,5,215,"5-10","East Carolina","9/15/1962","13",3,"Cleveland Browns / 10th / 280th pick / 1984"
"10",65,"Ben Cavil",25,"LG",15,8,310,"6-2","Oklahoma","1/31/1972","Rook",4,""
"11",40,"Kenyon Cotton",23,"",15,0,255,"6-0","La-Lafayette","2/23/1974","Rook",0,""
"12",72,"Bernard Dafney",29,"",1,0,324,"6-5","Tennessee","11/1/1968","5",0,"Houston Oilers / 9th / 247th pick / 1992"
"13",30,"Eugene Daniel",36,"rcb",9,6,178,"5-11","LSU","5/4/1961","13",3,"Indianapolis Colts / 8th / 205th pick / 1984"
"14",85,"Ray Ethridge",29,"",2,0,180,"5-10","Pasadena CC","12/12/1968","1",0,"San Diego Chargers / 3rd / 63rd pick / 1992"
"15",71,"Spencer Folau",24,"",10,0,315,"6-5","Idaho","4/5/1973","Rook",1,""
"16",94,"Mike Frederick",25,"de",16,1,280,"6-5","Virginia","8/6/1972","2",2,"Cleveland Browns / 3rd / 94th pick / 1995"
"17",62,"Leo Goeas",31,"lg",11,7,300,"6-4","Hawaii","8/15/1966","7",3,"San Diego Chargers / 3rd / 60th pick / 1990"
"18",34,"Jay Graham",22,"rb",13,3,220,"6-0","Tennessee","7/14/1975","Rook",2,"Baltimore Ravens / 3rd / 64th pick / 1997"
"19",86,"Eric Green",30,"TE",16,15,280,"6-5","Liberty","6/22/1967","7",5,"Pittsburgh Steelers / 1st / 21st pick / 1990"
"20",20,"Kim Herring",22,"db",15,4,212,"6-0","Penn St.","9/10/1975","Rook",2,"Baltimore Ravens / 2nd / 58th pick / 1997"
"21",26,"Priest Holmes",24,"",7,0,213,"5-9","Texas","10/7/1973","Rook",0,""
"22",81,"Michael Jackson",28,"WR",16,15,195,"6-4","Southern Miss","4/12/1969","6",7,"Cleveland Browns / 6th / 141st pick / 1991"
"23",25,"DeRon Jenkins",24,"RCB",16,6,190,"5-11","Tennessee","11/14/1973","1",3,"Baltimore Ravens / 2nd / 55th pick / 1996"
"24",97,"James Jones",28,"LDT",16,16,290,"6-2","Northern Iowa","2/6/1969","6",8,"Cleveland Browns / 3rd / 57th pick / 1991"
"25",31,"Rondell Jones",26,"FS",14,12,210,"6-2","North Carolina","5/7/1971","4",5,"Denver Broncos / 3rd / 69th pick / 1993"
"26",88,"Brian Kinchen",32,"te",16,7,240,"6-2","LSU","8/6/1965","9",1,"Miami Dolphins / 12th / 320th pick / 1988"
"27",38,"Antonio Langham",25,"LCB",16,15,181,"6-0","Alabama","7/31/1972","3",7,"Cleveland Browns / 1st / 9th pick / 1994"
"28",84,"Jermaine Lewis",23,"KR",14,7,183,"5-7","Maryland","10/16/1974","1",7,"Baltimore Ravens / 5th / 153rd pick / 1996"
"29",52,"Ray Lewis*",22,"MLB",16,16,245,"6-1","Miami (FL)","5/15/1975","1",13,"Baltimore Ravens / 1st / 26th pick / 1996"
"30",29,"Lamar Lyons",24,"",1,0,210,"6-3","Washington","3/25/1973","1",0,""
"31",54,"Tyrus McCloud",23,"",16,0,250,"6-1","Louisville","11/23/1974","Rook",1,"Baltimore Ravens / 4th / 118th pick / 1997"
"32",99,"Michael McCrary",27,"RDE",15,15,266,"6-4","Wake Forest","7/7/1970","4",8,"Seattle Seahawks / 7th / 170th pick / 1993"
"33",9,"Greg Montgomery",33,"P",16,0,215,"6-4","Penn St.,Michigan St.","10/29/1964","9",2,"Houston Oilers / 3rd / 72nd pick / 1988"
"34",27,"Stevon Moore",30,"SS",13,13,210,"5-11","Mississippi","2/9/1967","7",6,"New York Jets / 7th / 181st pick / 1989"
"35",33,"Bam Morris",25,"RB",11,8,244,"6-0","Texas Tech","1/13/1972","3",6,"Pittsburgh Steelers / 3rd / 91st pick / 1994"
"36",67,"Quentin Neujahr",26,"c",9,7,297,"6-4","Kansas St.","1/30/1971","1",3,""
"37",89,"A.J. Ofodile",24,"",12,0,260,"6-6","Missouri","10/9/1973","Rook",0,"Buffalo Bills / 5th / 158th pick / 1994"
"38",75,"Jonathan Ogden*+",23,"LT",16,16,340,"6-9","UCLA","7/31/1974","1",14,"Baltimore Ravens / 1st / 4th pick / 1996"
"39",53,"Tyrell Peters",23,"",4,0,230,"6-0","Oklahoma","8/4/1974","Rook",0,""
"40",83,"James Roe",24,"wr",12,4,187,"6-1","Norfolk St.","8/23/1973","1",1,"Baltimore Ravens / 6th / 186th pick / 1996"
"41",55,"Jamie Sharper",23,"RLB",16,15,240,"6-3","Virginia","11/23/1974","Rook",6,"Baltimore Ravens / 2nd / 34th pick / 1997"
"42",87,"Nate Singleton",29,"",4,0,190,"5-11","Grambling St.","7/5/1968","4",0,"New York Giants / 11th / 292nd pick / 1992"
"43",98,"Tony Siragusa",30,"RDT",14,13,330,"6-3","Pittsburgh","5/14/1967","7",5,""
"44",41,"Ralph Staten",23,"db",10,3,205,"6-3","Alabama","12/3/1974","Rook",2,"Baltimore Ravens / 7th / 236th pick / 1997"
"45",3,"Matt Stover",29,"K",16,0,178,"5-11","Louisiana Tech","1/27/1968","6",3,"New York Giants / 12th / 329th pick / 1990"
"46",92,"Leland Taylor",25,"",1,0,305,"6-3","Tennessee,Louisville","10/25/1972","Rook",0,"Baltimore Ravens / 7th / 238th pick / 1997"
"47",12,"Vinny Testaverde",34,"QB",13,13,235,"6-5","Miami (FL)","11/13/1963","10",9,"Tampa Bay Buccaneers / 1st / 1st pick / 1987"
"48",37,"Bennie Thompson",34,"",16,0,210,"6-0","Grambling St.","2/10/1963","8",1,""
"49",44,"Tony Vinson",26,"",13,0,229,"6-1","Purdue,Towson","3/13/1971","Rook",0,"San Diego Chargers / 5th / 160th pick / 1994"
"50",95,"Chris Ward",23,"",5,0,271,"6-3","Kentucky","2/4/1974","Rook",0,"Baltimore Ravens / 7th / 205th pick / 1997"
"51",93,"Keith Washington",25,"de",10,1,285,"6-4","UNLV","12/18/1972","1",1,""
"52",79,"Larry Webster",28,"dt",16,3,310,"6-5","Maryland","1/18/1969","5",2,"Miami Dolphins / 3rd / 70th pick / 1992"
"53",36,"John Williams",23,"",4,0,180,"5-7","Southern","7/26/1974","Rook",0,""
"54",63,"Wally Williams",26,"C",10,10,305,"6-2","Florida A&M","2/20/1971","4",5,""
"55",80,"Ryan Yarborough",26,"wr",16,3,195,"6-2","Wyoming","4/26/1971","3",1,"New York Jets / 2nd / 41st pick / 1994"
"56",10,"Eric Zeier",25,"qb",5,3,214,"6-1","Georgia","9/6/1972","2",3,"Cleveland Browns / 3rd / 84th pick / 1995"
"57",NA,"Team Total",26.4,"",16,NA,243.3,"6-1.9","","","3.1",NA,""
