"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",95,"Sam Adams*",27,"LDT",16,16,350,"6-3","Texas A&M","6/13/1973","6",17,"Seattle Seahawks / 1st / 8th pick / 1994"
"2",30,"Obafemi Ayanbadejo",25,"fb",8,4,235,"6-2","San Diego St.","3/5/1975","2",2,""
"3",35,"Robert Bailey",32,"",16,0,176,"5-9","Miami (FL)","9/3/1968","9",2,"Los Angeles Rams / 4th / 107th pick / 1991"
"4",12,"Tony Banks",27,"qb",11,8,230,"6-4","Michigan St.","4/5/1973","4",4,"St. Louis Rams / 2nd / 42nd pick / 1996"
"5",74,"Orlando Bobo",26,"",7,0,320,"6-3","La-Monroe","2/9/1974","3",1,""
"6",58,"Peter Boulware",26,"LB",16,15,255,"6-4","Florida St.","12/18/1974","3",10,"Baltimore Ravens / 1st / 4th pick / 1997"
"7",57,"O.J. Brigance",31,"",16,0,236,"6-0","Rice","9/29/1969","4",2,""
"8",51,"Cornell Brown",25,"",16,1,240,"6-0","Virginia Tech","3/15/1975","3",2,"Baltimore Ravens / 6th / 194th pick / 1997"
"9",90,"Rob Burnett",33,"DE",16,16,265,"6-4","Syracuse","8/27/1967","10",21,"Cleveland Browns / 5th / 129th pick / 1990"
"10",81,"Ben Coates",31,"te",16,9,245,"6-5","Livingstone","8/16/1969","9",1,"New England Patriots / 5th / 124th pick / 1991"
"11",91,"Lional Dalton",25,"rdt",16,1,315,"6-1","East. Michigan","2/21/1975","2",2,""
"12",56,"Anthony Davis",31,"",14,0,235,"6-0","Utah","3/7/1969","7",1,"Houston Oilers / 11th / 301st pick / 1992"
"13",86,"Billy Davis",28,"wr",16,1,205,"6-1","Pittsburgh","7/6/1972","5",1,""
"14",8,"Trent Dilfer",28,"qb",11,8,225,"6-4","Fresno St.","3/13/1972","6",5,"Tampa Bay Buccaneers / 1st / 6th pick / 1994"
"15",29,"Charles Evans",33,"",1,0,240,"6-1","Clark (GA)","4/16/1967","7",0,"Minnesota Vikings / 11th / 295th pick / 1992"
"16",62,"Mike Flynn",26,"RG",16,16,305,"6-3","Maine","6/15/1974","2",7,""
"17",71,"Spencer Folau",27,"rt",11,4,315,"6-5","Idaho","4/5/1973","3",2,""
"18",32,"Sam Gash",31,"fb",15,4,242,"6-0","Penn St.","3/7/1969","8",0,"New England Patriots / 8th / 205th pick / 1992"
"19",45,"Corey Harris",31,"",16,0,213,"5-11","Vanderbilt","10/25/1969","8",2,"Houston Oilers / 3rd / 77th pick / 1992"
"20",20,"Kim Herring",25,"SS",16,16,212,"6-0","Penn St.","9/10/1975","3",10,"Baltimore Ravens / 2nd / 58th pick / 1997"
"21",33,"Priest Holmes",27,"rb",16,2,213,"5-9","Texas","10/7/1973","3",6,""
"22",66,"John Hudson",32,"",8,0,270,"6-2","Auburn","1/29/1968","9",1,"Philadelphia Eagles / 11th / 294th pick / 1990"
"23",87,"Qadry Ismail",30,"WR",15,13,196,"6-0","Syracuse","11/8/1970","7",6,"Minnesota Vikings / 2nd / 52nd pick / 1993"
"24",50,"Brad Jackson",25,"",10,0,230,"6-0","Cincinnati","1/11/1975","1",2,"Miami Dolphins / 3rd / 79th pick / 1998"
"25",83,"Patrick Johnson",24,"wr",12,9,186,"5-10","Oregon","8/10/1976","2",2,"Baltimore Ravens / 2nd / 42nd pick / 1998"
"26",85,"John Jones",25,"",8,0,255,"6-4","Pittsburgh,Indiana (PA)","4/4/1975","Rook",0,""
"27",31,"Jamal Lewis",21,"RB",16,13,240,"5-11","Tennessee","8/29/1979","Rook",12,"Baltimore Ravens / 1st / 5th pick / 2000"
"28",84,"Jermaine Lewis",26,"wr",15,1,183,"5-7","Maryland","10/16/1974","4",4,"Baltimore Ravens / 5th / 153rd pick / 1996"
"29",52,"Ray Lewis*+",25,"MLB",16,16,245,"6-1","Miami (FL)","5/15/1975","4",23,"Baltimore Ravens / 1st / 26th pick / 1996"
"30",25,"Clarence Love",24,"",1,0,180,"5-10","Toledo","6/16/1976","2",0,"Philadelphia Eagles / 4th / 116th pick / 1998"
"31",21,"Chris McAlister",23,"RCB",16,16,206,"6-1","Arizona","6/14/1977","1",11,"Baltimore Ravens / 1st / 10th pick / 1999"
"32",99,"Michael McCrary",30,"DE",16,16,266,"6-4","Wake Forest","7/7/1970","7",12,"Seattle Seahawks / 7th / 170th pick / 1993"
"33",42,"Anthony Mitchell",26,"",16,0,198,"6-1","Tuskegee","12/13/1974","Rook",2,""
"34",60,"Jeff Mitchell",26,"C",14,14,300,"6-4","Florida","1/29/1974","2",6,"Baltimore Ravens / 5th / 134th pick / 1997"
"35",64,"Edwin Mulitalo",26,"LG",16,16,345,"6-3","Arizona","9/1/1974","1",7,"Baltimore Ravens / 4th / 129th pick / 1999"
"36",75,"Jonathan Ogden*+",26,"LT",15,15,340,"6-9","UCLA","7/31/1974","4",13,"Baltimore Ravens / 1st / 4th pick / 1996"
"37",43,"Anthony Poindexter",24,"",10,0,210,"6-0","Virginia","7/28/1976","Rook",1,"Baltimore Ravens / 7th / 216th pick / 1999"
"38",76,"Carl Powell",26,"",2,0,285,"6-2","Louisville","1/4/1974","3",0,"Indianapolis Colts / 5th / 156th pick / 1997"
"39",7,"Chris Redman",23,"",2,0,223,"6-3","Louisville","7/7/1977","Rook",0,"Baltimore Ravens / 3rd / 75th pick / 2000"
"40",5,"Kyle Richardson",27,"",16,0,210,"6-2","Arkansas St.","3/2/1973","3",2,""
"41",82,"Shannon Sharpe",32,"TE",16,15,228,"6-2","Savannah St.","6/26/1968","10",7,"Denver Broncos / 7th / 192nd pick / 1990"
"42",55,"Jamie Sharper",26,"LB",16,16,240,"6-3","Virginia","11/23/1974","3",11,"Baltimore Ravens / 2nd / 34th pick / 1997"
"43",98,"Tony Siragusa",33,"RDT",15,15,330,"6-3","Pittsburgh","5/14/1967","10",9,""
"44",22,"Duane Starks",26,"LCB",15,15,170,"5-10","Miami (FL)","5/23/1974","2",11,"Baltimore Ravens / 1st / 10th pick / 1998"
"45",80,"Brandon Stokley",24,"",7,1,197,"5-11","La-Lafayette","6/23/1976","1",2,"Baltimore Ravens / 4th / 105th pick / 1999"
"46",3,"Matt Stover*+",32,"",16,0,178,"5-11","Louisiana Tech","1/27/1968","9",6,"New York Giants / 12th / 329th pick / 1990"
"47",70,"Harry Swayne",35,"RT",13,13,290,"6-5","Rutgers","2/2/1965","13",6,"Tampa Bay Buccaneers / 7th / 190th pick / 1987"
"48",89,"Travis Taylor",21,"wr",9,8,210,"6-1","Florida","3/30/1979","Rook",3,"Baltimore Ravens / 1st / 10th pick / 2000"
"49",96,"Adalius Thomas",23,"",3,0,270,"6-2","Southern Miss","8/18/1977","Rook",0,"Baltimore Ravens / 6th / 186th pick / 2000"
"50",38,"James Trapp",31,"cb",16,1,195,"6-0","Clemson","12/28/1969","7",2,"Los Angeles Raiders / 3rd / 72nd pick / 1993"
"51",77,"Kipp Vickers",31,"rg",12,2,300,"6-2","Miami (FL)","8/27/1969","5",2,""
"52",88,"Frank Wainright",33,"",8,0,255,"6-2","Northern Colorado","10/10/1967","9",0,"New Orleans Saints / 8th / 210th pick / 1991"
"53",93,"Keith Washington",28,"",16,0,285,"6-4","UNLV","12/18/1972","4",2,""
"54",79,"Larry Webster",31,"",5,0,310,"6-5","Maryland","1/18/1969","8",1,"Miami Dolphins / 3rd / 70th pick / 1992"
"55",72,"Sammy Williams",26,"",1,0,318,"6-5","Oklahoma","12/14/1974","1",0,"Baltimore Ravens / 6th / 164th pick / 1998"
