"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",11,"Kamar Aiken",26,"WR",16,14,213,"6-2","Central Florida","5/30/1989","4",6,"","$585,000"
"2",37,"Javorius Allen",24,"rb",16,6,220,"6-1","USC","8/27/1991","Rook",5,"Baltimore Ravens / 4th / 125th pick / 2015","$553,618"
"3",24,"Kyle Arrington",29,"db",15,4,196,"5-10","Hofstra","8/12/1986","6",2,"","$1,466,666"
"4",56,"Jason Babin",35,"",2,0,265,"6-4","West. Michigan","5/24/1980","11",0,"Houston Texans / 1st / 27th pick / 2004","$550,588"
"5",82,"Nick Boyle",22,"te",11,2,268,"6-4","Delaware","2/17/1993","Rook",1,"Baltimore Ravens / 5th / 171st pick / 2015","$476,563"
"6",31,"Terrence Brooks",24,"",12,0,198,"5-11","Florida St.","3/2/1991","1",1,"Baltimore Ravens / 3rd / 79th pick / 2014","$676,594"
"7",59,"Arthur Brown",25,"",16,0,241,"6-0","Kansas St.","6/17/1990","2",1,"Baltimore Ravens / 2nd / 56th pick / 2013","$969,335"
"8",83,"Daniel Brown",23,"wr",6,1,225,"6-5","James Madison","5/26/1992","Rook",0,"",""
"9",14,"Marlon Brown",24,"wr",10,2,216,"6-5","Georgia","4/22/1991","2",1,"","$969,335"
"10",17,"Jeremy Butler",24,"",8,0,224,"6-2","Tenn-Martin","4/22/1991","1",2,"",""
"11",15,"Michael Campanaro",24,"",4,0,192,"5-9","Wake Forest","1/25/1991","1",0,"Baltimore Ravens / 7th / 218th pick / 2014","$526,875"
"12",99,"Chris Canty",33,"DE",9,9,286,"6-7","Virginia","11/10/1982","10",4,"Dallas Cowboys / 4th / 132nd pick / 2005","$1,735,000"
"13",56,"Chris Carter",26,"",2,0,245,"6-1","Fresno St.","4/6/1989","4",0,"Pittsburgh Steelers / 5th / 162nd pick / 2011",""
"14",2,"Jimmy Clausen",28,"qb",3,2,217,"6-3","Notre Dame","9/21/1987","5",1,"Carolina Panthers / 2nd / 48th pick / 2010",""
"15",81,"Kaelin Clay",23,"",7,0,190,"5-10","Utah","1/2/1992","Rook",1,"Tampa Bay Buccaneers / 6th / 184th pick / 2015",""
"16",46,"Morgan Cox*",29,"",16,0,226,"6-4","Tennessee","4/26/1986","5",3,"","$665,000"
"17",94,"Carl Davis",23,"dt",13,2,321,"6-5","Iowa","3/2/1992","Rook",2,"Baltimore Ravens / 3rd / 90th pick / 2015","$591,271"
"18",39,"Will Davis",25,"",2,0,186,"5-11","Utah St.","5/8/1990","2",0,"Miami Dolphins / 3rd / 93rd pick / 2013",""
"19",58,"Elvis Dumervil*",31,"LB",16,16,255,"6-0","Louisville","1/19/1984","9",11,"Denver Broncos / 4th / 126th pick / 2006","$7,375,000"
"20",5,"Joe Flacco",30,"QB",10,10,232,"6-6","Pittsburgh,Delaware","1/16/1985","7",5,"Baltimore Ravens / 1st / 18th pick / 2008","$14,550,000"
"21",29,"Justin Forsett",30,"RB",10,10,190,"5-8","California","10/14/1985","7",4,"Seattle Seahawks / 7th / 233rd pick / 2008","$1,600,000"
"22",80,"Crockett Gillmore",24,"TE",10,10,260,"6-6","Colorado St.","11/16/1991","1",3,"Baltimore Ravens / 3rd / 99th pick / 2014","$636,504"
"23",13,"Chris Givens",26,"wr",12,6,198,"5-11","Wake Forest","12/6/1989","3",2,"St. Louis Rams / 4th / 96th pick / 2012",""
"24",93,"Lawrence Guy",25,"de",16,7,300,"6-5","Arizona St.","3/17/1990","4",5,"Green Bay Packers / 7th / 233rd pick / 2011","$1,050,000"
"25",33,"Will Hill",25,"SS",16,14,205,"6-1","Florida","3/7/1990","3",5,"","$2,416,045"
"26",74,"James Hurst",24,"lt",16,8,296,"6-5","North Carolina","12/17/1991","1",4,"","$513,000"
"27",27,"Asa Jackson",26,"",4,0,193,"5-10","Cal Poly","12/2/1989","3",0,"Baltimore Ravens / 5th / 169th pick / 2012",""
"28",66,"Ryan Jensen",24,"lg",11,6,310,"6-4","","5/27/1991","2",2,"Baltimore Ravens / 6th / 203rd pick / 2013","$510,000"
"29",97,"Timmy Jernigan",23,"DT",15,8,299,"6-2","Florida St.","9/24/1992","1",5,"Baltimore Ravens / 2nd / 48th pick / 2014","$996,114"
"30",44,"Kyle Juszczyk",24,"FB",16,11,248,"6-2","Harvard","4/23/1991","2",2,"Baltimore Ravens / 4th / 130th pick / 2013","$660,146"
"31",4,"Sam Koch*",33,"",16,0,225,"5-11","Nebraska","8/13/1982","9",3,"Baltimore Ravens / 6th / 203rd pick / 2006","$2,400,000"
"32",41,"Anthony Levine",28,"",16,0,199,"5-11","Tennessee St.","3/27/1987","4",1,"","$1,000,000"
"33",23,"Kendrick Lewis",27,"FS",15,15,205,"5-11","Mississippi","6/16/1988","5",5,"Kansas City Chiefs / 5th / 136th pick / 2010","$1,266,666"
"34",95,"Kapron Lewis-Moore",25,"",5,0,315,"6-4","Notre Dame","1/24/1990","2",0,"Baltimore Ravens / 6th / 200th pick / 2013","$607,058"
"35",30,"Terrence Magee",22,"",3,0,214,"5-9","LSU","3/16/1993","Rook",0,"","$435,000"
"36",7,"Ryan Mallett",27,"qb",2,2,240,"6-6","Arkansas","6/5/1988","4",1,"New England Patriots / 3rd / 74th pick / 2011",""
"37",84,"Chris Matthews",26,"",4,0,218,"6-5","Kentucky","10/6/1989","1",1,"",""
"38",50,"Albert McClellan",29,"",13,0,255,"6-2","Marshall","6/4/1986","4",1,"","$1,200,000"
"39",38,"Rashaan Melvin",26,"",1,0,193,"6-2","Northern Illinois","10/2/1989","2",0,"","$585,000"
"40",60,"Eugene Monroe",28,"lt",6,6,310,"6-5","Virginia","4/18/1987","6",2,"Jacksonville Jaguars / 1st / 8th pick / 2009","$7,700,000"
"41",57,"C.J. Mosley",23,"LB",16,16,234,"6-2","Alabama","6/19/1992","1",9,"Baltimore Ravens / 1st / 17th pick / 2014","$1,997,273"
"42",43,"Raheem Mostert",23,"",7,0,195,"5-11","Purdue","4/9/1992","Rook",0,"",""
"43",54,"Zach Orr",23,"",16,0,237,"6-0","North Texas","6/9/1992","1",1,"","$511,000"
"44",72,"Kelechi Osemele",26,"LG",14,14,333,"6-5","Iowa St.","6/24/1989","3",5,"Baltimore Ravens / 2nd / 60th pick / 2012","$1,064,595"
"45",86,"Konrad Reuland",28,"te",4,1,260,"6-4","Stanford","4/4/1987","4",0,"",""
"46",38,"Jumal Rolle",25,"",1,0,188,"6-0","Catawba","5/28/1990","2",0,"",""
"47",10,"Jeremy Ross",27,"",5,0,213,"5-11","California","3/16/1988","4",1,"",""
"48",8,"Matt Schaub",34,"qb",2,2,235,"6-5","Virginia","6/25/1981","11",1,"Atlanta Falcons / 3rd / 90th pick / 2004","$2,000,000"
"49",51,"Daryl Smith",33,"LB",16,16,235,"6-2","Georgia Tech","3/14/1982","11",9,"Jacksonville Jaguars / 2nd / 39th pick / 2004","$3,875,000"
"50",22,"Jimmy Smith",27,"RCB",16,16,201,"6-2","Colorado","7/26/1988","4",7,"Baltimore Ravens / 1st / 27th pick / 2011","$3,600,000"
"51",89,"Steve Smith",36,"wr",7,7,185,"5-9","Utah","5/12/1979","14",4,"Carolina Panthers / 3rd / 74th pick / 2001","$4,166,666"
"52",90,"Za'Darius Smith",23,"",15,0,270,"6-5","Kentucky","9/8/1992","Rook",2,"Baltimore Ravens / 4th / 122nd pick / 2015","$555,788"
"53",55,"Terrell Suggs",33,"lb",1,1,260,"6-3","Arizona St.","10/11/1982","12",0,"Baltimore Ravens / 1st / 10th pick / 2003","$3,950,000"
"54",34,"Lorenzo Taliaferro",24,"",3,0,229,"6-0","Coastal Carolina","12/23/1991","1",0,"Baltimore Ravens / 4th / 138th pick / 2014","$585,146"
"55",28,"Brynden Trawick",26,"s",16,1,215,"6-2","Troy","10/23/1989","2",1,"","$585,000"
"56",9,"Justin Tucker",26,"",16,0,180,"6-0","Texas","11/21/1989","3",3,"","$2,356,000"
"57",91,"Courtney Upshaw",26,"LB",16,15,273,"6-2","Alabama","12/13/1989","3",5,"Baltimore Ravens / 2nd / 35th pick / 2012","$1,685,313"
"58",96,"Brent Urban",24,"",6,0,295,"6-7","Virginia","5/5/1991","1",1,"Baltimore Ravens / 4th / 134th pick / 2014","$510,146"
"59",64,"John Urschel",24,"c",16,7,313,"6-3","Penn St.","6/24/1991","1",3,"Baltimore Ravens / 5th / 175th pick / 2014","$546,140"
"60",40,"Cassius Vaughn",28,"",1,0,195,"5-11","Mississippi","11/3/1987","5",0,"",""
"61",71,"Ricky Wagner",26,"RT",16,16,308,"6-6","Wisconsin","10/21/1989","2",7,"Baltimore Ravens / 5th / 168th pick / 2013","$621,140"
"62",25,"Tray Walker",23,"",8,0,180,"6-2","Texas Southern","8/5/1992","Rook",0,"Baltimore Ravens / 4th / 136th pick / 2015","$521,423"
"63",12,"Darren Waller",23,"wr",6,1,242,"6-7","Georgia Tech","9/13/1992","Rook",0,"Baltimore Ravens / 6th / 204th pick / 2015","$462,774"
"64",21,"Lardarius Webb",30,"LCB",15,14,179,"5-10","Nicholls St.","10/12/1985","6",5,"Baltimore Ravens / 3rd / 88th pick / 2009","$9,250,000"
"65",77,"De'Ondre Wesley",23,"",6,0,330,"6-7","BYU","7/28/1992","Rook",0,"",""
"66",42,"Terrance West",24,"",6,0,225,"5-10","Towson","1/28/1991","1",1,"Cleveland Browns / 3rd / 94th pick / 2014",""
"67",98,"Brandon Williams",26,"NT",16,16,335,"6-1","Missouri Southern","2/21/1989","2",8,"Baltimore Ravens / 3rd / 94th pick / 2013","$713,750"
"68",87,"Maxx Williams",21,"te",14,7,250,"6-4","Minnesota","4/12/1994","Rook",2,"Baltimore Ravens / 2nd / 55th pick / 2015","$736,861"
"69",35,"Shareece Wright",28,"lcb",11,6,182,"5-11","USC","4/8/1987","4",2,"San Diego Chargers / 3rd / 89th pick / 2011",""
"70",73,"Marshal Yanda*+",31,"RG",16,16,307,"6-4","Iowa","9/15/1984","8",10,"Baltimore Ravens / 3rd / 86th pick / 2007","$8,450,000"
"71",53,"Jeremy Zuttah",29,"C",9,9,303,"6-4","Rutgers","6/1/1986","7",3,"Tampa Bay Buccaneers / 3rd / 83rd pick / 2008","$3,700,000"
"72",NA,"Team Total",26.3,"",16,NA,241.3,"6-2.0","","","3.4",NA,"",""
