"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",57,"Arnold Ale",26,"",7,0,234,"6-2","Notre Dame,UCLA","6/17/1970","2",0,""
"2",2,"Darren Bennett",31,"P",16,0,235,"6-5","none","1/9/1965","1",3,""
"3",75,"Tony Berti",24,"RT",16,14,300,"6-6","Colorado","6/21/1972","1",6,"San Diego Chargers / 6th / 200th pick / 1995"
"4",50,"David Binn",24,"",16,0,245,"6-3","California","2/6/1972","2",1,""
"5",33,"Kevin Bouie",25,"",1,0,230,"6-1","Mississippi St.","8/18/1971","Rook",0,"Philadelphia Eagles / 7th / 210th pick / 1995"
"6",35,"Freddie Bradley",26,"rb",10,1,208,"5-10","Arkansas,Sonoma St.","6/12/1970","Rook",1,"San Diego Chargers / 7th / 231st pick / 1996"
"7",58,"Lewis Bush",27,"LLB",16,16,245,"6-2","Washington St.","12/2/1969","3",7,"San Diego Chargers / 4th / 99th pick / 1993"
"8",3,"John Carney",32,"K",16,0,180,"5-11","Notre Dame","4/20/1964","8",4,""
"9",44,"Eric Castle",26,"",16,0,212,"6-3","Oregon","3/15/1970","3",1,"San Diego Chargers / 6th / 161st pick / 1993"
"10",31,"Willie Clark",24,"db",16,4,186,"5-10","Notre Dame","1/6/1972","2",3,"San Diego Chargers / 3rd / 82nd pick / 1994"
"11",68,"Joe Cocozzo",26,"RG",16,11,300,"6-4","Michigan","8/7/1970","3",5,"San Diego Chargers / 3rd / 64th pick / 1993"
"12",83,"Andre Coleman",24,"KR",16,10,165,"5-9","Kansas St.","9/19/1972","2",4,"San Diego Chargers / 3rd / 70th pick / 1994"
"13",90,"Marco Coleman",27,"RDE",16,15,286,"6-3","Georgia Tech","12/18/1969","4",6,"Miami Dolphins / 1st / 12th pick / 1992"
"14",51,"Joe Cummings",22,"",3,0,242,"6-2","Wyoming","6/8/1974","Rook",0,""
"15",73,"Isaac Davis",24,"rg",14,5,320,"6-3","Arkansas","4/8/1972","2",3,"San Diego Chargers / 2nd / 43rd pick / 1994"
"16",93,"Reuben Davis",31,"RDT",15,15,302,"6-5","North Carolina","5/7/1965","8",6,"Tampa Bay Buccaneers / 9th / 225th pick / 1988"
"17",95,"Vernon Edwards",24,"de",5,1,255,"6-4","SMU","6/23/1972","Rook",1,""
"18",84,"'Omar Ellison",25,"wr",10,1,200,"6-1","Florida St.","10/8/1971","1",0,"San Diego Chargers / 5th / 162nd pick / 1995"
"19",60,"Greg Engel",25,"C",12,9,285,"6-3","Illinois","1/18/1971","1",4,""
"20",41,"Terrell Fletcher",23,"",16,0,196,"5-8","Wisconsin","9/14/1973","1",6,"San Diego Chargers / 2nd / 51st pick / 1995"
"21",21,"Darrien Gordon",26,"lcb",16,6,184,"5-11","Stanford","11/14/1970","3",4,"San Diego Chargers / 1st / 22nd pick / 1993"
"22",52,"Dwayne Gordon",27,"",13,0,240,"6-1","New Hampshire","11/2/1969","3",1,"Miami Dolphins / 8th / 218th pick / 1993"
"23",54,"Kurt Gouveia",32,"MLB",16,16,233,"6-1","BYU","9/14/1964","9",7,"Washington Redskins / 8th / 213th pick / 1986"
"24",53,"Courtney Hall",28,"c",7,7,281,"6-2","Rice","8/26/1968","7",3,"San Diego Chargers / 2nd / 37th pick / 1989"
"25",28,"Dwayne Harper",30,"LCB",6,6,175,"5-11","South Carolina St.","3/29/1966","8",2,"Seattle Seahawks / 11th / 299th pick / 1988"
"26",37,"Rodney Harrison",24,"SS",16,16,220,"6-1","West. Illinois","12/15/1972","2",7,"San Diego Chargers / 5th / 145th pick / 1994"
"27",24,"Aaron Hayden",23,"",11,0,216,"6-0","Tennessee","4/13/1973","1",1,"San Diego Chargers / 4th / 104th pick / 1995"
"28",38,"Dave Hendrix",24,"",14,0,213,"6-1","Georgia Tech","5/29/1972","1",1,""
"29",12,"Stan Humphries",31,"QB",13,13,223,"6-2","LSU,La-Monroe","4/14/1965","7",8,"Washington Redskins / 6th / 159th pick / 1988"
"30",99,"Raylee Johnson",26,"de",16,1,272,"6-3","Arkansas","6/1/1970","3",1,"San Diego Chargers / 4th / 95th pick / 1993"
"31",17,"Charlie Jones",24,"wr",14,4,175,"5-8","Fresno St.","12/1/1972","Rook",5,"San Diego Chargers / 4th / 114th pick / 1996"
"32",98,"Shawn Lee",30,"ldt",15,7,300,"6-2","North Alabama","10/24/1966","8",3,"Tampa Bay Buccaneers / 6th / 163rd pick / 1988"
"33",81,"Tony Martin*",31,"WR",16,16,181,"6-0","Bishop,Mesa","9/5/1965","6",10,"New York Jets / 5th / 126th pick / 1989"
"34",88,"Deems May",27,"TE",16,12,263,"6-4","North Carolina","3/6/1969","4",2,"San Diego Chargers / 7th / 174th pick / 1992"
"35",66,"Jim Mills",23,"",1,0,290,"6-4","Idaho","3/30/1973","Rook",0,"San Diego Chargers / 6th / 190th pick / 1996"
"36",94,"Chris Mims",26,"LDE",15,15,288,"6-5","Tennessee","9/29/1970","4",6,"San Diego Chargers / 1st / 23rd pick / 1992"
"37",89,"Shannon Mitchell",24,"TE",16,11,245,"6-2","Georgia","3/28/1972","2",1,""
