"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",96,"Dave Ball",24,"",2,0,275,"6-6","UCLA","1/4/1981","1",0,"San Diego Chargers / 5th / 133rd pick / 2004"
"2",97,"Ryon Bingham",24,"",1,0,303,"6-3","Nebraska","6/6/1981","Rook",0,"San Diego Chargers / 7th / 204th pick / 2004"
"3",50,"David Binn",33,"",16,0,245,"6-3","California","2/6/1972","11",1,""
"4",9,"Drew Brees",26,"QB",16,16,209,"6-0","Purdue","1/15/1979","4",15,"San Diego Chargers / 2nd / 32nd pick / 2001"
"5",82,"Reche Caldwell",26,"wr",16,2,215,"6-0","Florida","3/28/1979","3",4,"San Diego Chargers / 2nd / 48th pick / 2002"
"6",93,"Luis Castillo",22,"DE",16,15,306,"6-3","Northwestern","8/4/1983","Rook",6,"San Diego Chargers / 1st / 28th pick / 2005"
"7",74,"Jacques Cesaire",25,"de",16,5,295,"6-2","Southern Connecticut St.","8/30/1980","2",3,""
"8",54,"Stephen Cooper",26,"lb",16,2,235,"6-1","Maine","6/19/1979","2",2,""
"9",22,"Sammy Davis",25,"rcb",16,4,190,"6-0","Texas A&M","4/8/1980","2",2,"San Diego Chargers / 1st / 30th pick / 2003"
"10",68,"Kris Dielman",24,"LG",16,14,310,"6-4","Indiana","2/3/1981","2",9,""
"11",59,"Donnie Edwards",32,"LB",16,16,227,"6-2","UCLA","4/6/1973","9",8,"Kansas City Chiefs / 4th / 98th pick / 1996"
"12",25,"Jamar Fletcher",26,"",14,0,186,"5-10","Wisconsin","8/28/1979","4",1,"Miami Dolphins / 1st / 26th pick / 2001"
"13",29,"Drayton Florence",25,"RCB",13,12,195,"6-0","Tenn-Chattanooga,Tuskegee","12/19/1980","2",5,"San Diego Chargers / 2nd / 46th pick / 2003"
"14",53,"Steve Foley",30,"LB",13,13,265,"6-4","La-Monroe","9/11/1975","7",5,"Cincinnati Bengals / 3rd / 75th pick / 1998"
"15",77,"Toniu Fonoti",24,"lg",2,2,349,"6-4","Nebraska","11/26/1981","3",1,"San Diego Chargers / 2nd / 39th pick / 2002"
"16",85,"Antonio Gates*+",25,"TE",15,15,260,"6-4","Kent St.","6/18/1980","2",13,""
"17",58,"Randall Godfrey",32,"LB",14,14,245,"6-2","Georgia","4/6/1973","9",7,"Dallas Cowboys / 2nd / 49th pick / 1996"
"18",79,"Mike Goff",29,"RG",16,16,306,"6-5","Iowa","1/6/1976","7",10,"Cincinnati Bengals / 3rd / 78th pick / 1998"
"19",62,"Bob Hallen",30,"c",9,3,305,"6-3","Kent St.","3/9/1975","7",2,"Atlanta Falcons / 2nd / 53rd pick / 1998"
"20",61,"Nick Hardwick",24,"C",13,13,295,"6-4","Purdue","9/12/1981","1",8,"San Diego Chargers / 3rd / 66th pick / 2004"
"21",92,"Marques Harris",24,"",11,0,231,"6-1","Southern Utah,Southern Utah","9/20/1981","Rook",1,""
"22",42,"Clinton Hart",28,"ss",16,5,205,"6-0","Central Florida CC","7/20/1977","2",4,""
"23",83,"Vincent Jackson",22,"",8,0,241,"6-5","Northern Colorado","1/14/1983","Rook",1,"San Diego Chargers / 2nd / 61st pick / 2005"
"24",23,"Quentin Jammer",26,"LCB",16,16,204,"6-0","Texas","6/19/1979","3",6,"San Diego Chargers / 1st / 5th pick / 2002"
"25",75,"Leander Jordan",28,"LT",13,9,322,"6-4","Indiana (PA)","9/15/1977","4",7,"Carolina Panthers / 3rd / 82nd pick / 2000"
"26",27,"Bhawoh Jue",26,"FS",14,14,200,"6-0","Penn St.","5/24/1979","4",6,"Green Bay Packers / 3rd / 71st pick / 2001"
"27",10,"Nate Kaeding",23,"",16,0,187,"6-0","Iowa","3/26/1982","1",4,"San Diego Chargers / 3rd / 65th pick / 2004"
"28",48,"Terrence Kiel",25,"SS",12,12,207,"5-11","Texas A&M","11/24/1980","2",5,"San Diego Chargers / 2nd / 62nd pick / 2003"
"29",89,"Ryan Krause",24,"",3,0,256,"6-3","Nebraska-Omaha","6/16/1981","1",0,"San Diego Chargers / 6th / 169th pick / 2004"
"30",51,"Ben Leber",27,"lb",9,6,244,"6-3","Kansas St.","12/7/1978","3",3,"San Diego Chargers / 3rd / 71st pick / 2002"
"31",64,"Cory Lekkerkerker",24,"",1,0,324,"6-7","California-Davis","7/25/1981","Rook",0,""
"32",12,"Cleo Lemon",26,"",1,0,215,"6-2","Arkansas St.","8/16/1979","Rook",0,""
"33",87,"Keenan McCardell",35,"WR",16,16,191,"6-1","UNLV","1/6/1970","13",11,"Washington Redskins / 12th / 326th pick / 1991"
"34",44,"Scott McGarrahan",31,"",2,0,200,"6-1","New Mexico","2/12/1974","7",0,"Green Bay Packers / 6th / 156th pick / 1998"
"35",56,"Shawne Merriman*",21,"LB",15,10,272,"6-4","Maryland","5/25/1984","Rook",7,"San Diego Chargers / 1st / 12th pick / 2005"
"36",31,"Hanik Milligan*",26,"",16,0,200,"6-3","Houston","11/3/1979","1",3,"San Diego Chargers / 6th / 188th pick / 2003"
"37",63,"Scott Mruczkowski",23,"",6,0,321,"6-4","Bowling Green","4/5/1982","Rook",1,"San Diego Chargers / 7th / 242nd pick / 2005"
"38",41,"Lorenzo Neal*",35,"FB",16,15,255,"5-11","Fresno St.","12/27/1970","12",3,"New Orleans Saints / 4th / 89th pick / 1993"
"39",72,"Roman Oben",33,"LT",8,8,305,"6-4","Louisville","10/9/1972","9",5,"New York Giants / 3rd / 66th pick / 1996"
"40",70,"Shane Olivea",24,"RT",15,15,312,"6-3","Ohio St.","10/7/1981","1",9,"San Diego Chargers / 7th / 209th pick / 2004"
"41",99,"Igor Olshansky",23,"DE",14,12,309,"6-6","Oregon","5/3/1982","1",5,"San Diego Chargers / 2nd / 35th pick / 2004"
"42",81,"Kassim Osgood",25,"wr",12,3,209,"6-5","San Diego St.","5/20/1980","2",0,""
"43",88,"Eric Parker",26,"WR",15,9,180,"6-0","Tennessee","4/14/1979","3",9,""
"44",84,"Justin Peelle",26,"te",16,4,255,"6-4","Oregon","3/15/1979","3",0,"San Diego Chargers / 4th / 103rd pick / 2002"
"45",95,"Shaun Phillips",24,"lb",15,3,260,"6-3","Purdue","5/13/1981","1",3,"San Diego Chargers / 4th / 98th pick / 2004"
"46",34,"Andrew Pinnock",25,"",12,0,260,"5-10","South Carolina","3/12/1980","2",0,"San Diego Chargers / 7th / 229th pick / 2003"
"47",28,"Jerrell Pippens",25,"",2,0,195,"6-2","Nebraska","7/30/1980","1",0,""
"48",17,"Philip Rivers",24,"",2,0,228,"6-5","North Carolina St.","12/8/1981","1",0,"New York Giants / 1st / 4th pick / 2004"
"49",98,"Derreck Robinson",23,"",2,0,289,"6-4","Iowa","3/3/1982","Rook",0,""
"50",5,"Mike Scifres",25,"",16,0,236,"6-2","West. Illinois","10/8/1980","2",3,"San Diego Chargers / 5th / 149th pick / 2003"
"51",78,"DeQuincy Scott",27,"",16,0,260,"6-1","Southern Miss","3/5/1978","3",1,""
"52",60,"Wes Sims",24,"",1,0,317,"6-4","Oklahoma","4/8/1981","Rook",0,"San Diego Chargers / 6th / 177th pick / 2005"
"53",43,"Darren Sproles",22,"",15,0,181,"5-6","Kansas St.","6/20/1983","Rook",1,"San Diego Chargers / 4th / 130th pick / 2005"
"54",21,"LaDainian Tomlinson*",26,"RB",16,16,221,"5-10","TCU","6/23/1979","4",18,"San Diego Chargers / 1st / 5th pick / 2001"
"55",33,"Michael Turner",23,"",16,0,237,"5-10","Northern Illinois","2/13/1982","1",3,"San Diego Chargers / 5th / 154th pick / 2004"
"56",57,"Matt Wilhelm",24,"",16,0,245,"6-4","Ohio St.","2/2/1981","2",2,"San Diego Chargers / 4th / 112th pick / 2003"
"57",76,"Jamal Williams*+",29,"DT",16,16,348,"6-3","Oklahoma St.","4/28/1976","7",14,"San Diego Chargers / 2nd / 2nd pick / 1998 Supp"
"58",24,"Jerry Wilson",32,"fs",9,1,190,"5-11","Southern","7/17/1973","9",1,"Tampa Bay Buccaneers / 4th / 105th pick / 1995"
"59",NA,"Team Total",26.1,"",16,NA,250.5,"6-2.1","","","3.2",NA,""
