"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",98,"Sam Adams",25,"LDT",16,11,350,"6-3","Texas A&M","6/13/1973","4",6,"Seattle Seahawks / 1st / 8th pick / 1994"
"2",75,"Howard Ballard",35,"RT",16,16,325,"6-6","Alabama A&M","11/3/1963","10",8,"Buffalo Bills / 11th / 283rd pick / 1987"
"3",20,"Jay Bellamy",26,"SS",16,16,200,"5-11","Rutgers","7/8/1972","4",7,""
"4",89,"Brian Blades",33,"WR",16,6,189,"5-11","Miami (FL)","7/24/1965","10",2,"Seattle Seahawks / 2nd / 49th pick / 1988"
"5",31,"Steve Broussard",31,"KR",15,0,201,"5-7","Washington St.","2/22/1967","8",1,"Atlanta Falcons / 1st / 20th pick / 1990"
"6",94,"Chad Brown*+",28,"RLB",16,16,245,"6-2","Colorado","7/12/1970","5",15,"Pittsburgh Steelers / 2nd / 44th pick / 1993"
"7",34,"Reggie Brown",25,"rb",15,1,244,"6-0","Fresno St.","6/26/1973","2",0,"Seattle Seahawks / 3rd / 91st pick / 1996"
"8",55,"Hillary Butler",27,"",7,0,240,"6-2","Washington","1/5/1971","Rook",0,""
"9",25,"Mark Collins",34,"",9,0,196,"5-10","Cal State-Fullerton","1/16/1964","12",1,"New York Giants / 2nd / 44th pick / 1986"
"10",90,"Mike Croel",29,"",12,0,238,"6-3","Nebraska","6/6/1969","7",1,"Denver Broncos / 1st / 4th pick / 1991"
"11",87,"Carlester Crumpler",27,"te",11,1,260,"6-6","East Carolina","9/5/1971","4",0,"Seattle Seahawks / 7th / 202nd pick / 1994"
"12",93,"Phillip Daniels",25,"RDE",16,15,290,"6-3","Georgia","3/4/1973","2",7,"Seattle Seahawks / 4th / 99th pick / 1996"
"13",43,"Joey Eloms",22,"",1,0,181,"5-10","Indiana","4/4/1976","Rook",0,""
"14",86,"Christian Fauria",27,"TE",16,15,250,"6-4","Colorado","9/22/1971","3",3,"Seattle Seahawks / 2nd / 39th pick / 1995"
"15",10,"Jeff Feagles",32,"P",16,0,215,"6-1","Miami (FL)","3/7/1966","10",3,""
"16",17,"John Friesz",31,"qb",6,1,214,"6-4","Idaho","5/19/1967","8",1,"San Diego Chargers / 6th / 138th pick / 1990"
"17",84,"Joey Galloway",27,"PR",16,16,197,"5-11","Ohio St.","11/20/1971","3",12,"Seattle Seahawks / 1st / 8th pick / 1995"
"18",53,"Kevin Glover",35,"C",8,8,278,"6-2","Maryland","6/17/1963","13",4,"Detroit Lions / 2nd / 34th pick / 1985"
"19",62,"Chris Gray",28,"C",15,8,308,"6-4","Auburn","6/19/1970","5",4,"Miami Dolphins / 5th / 132nd pick / 1993"
"20",30,"Ahman Green",21,"",16,0,217,"6-0","Nebraska","2/16/1977","Rook",1,"Seattle Seahawks / 3rd / 76th pick / 1998"
"21",72,"Andrew Greene",29,"",4,0,304,"6-3","Indiana","9/24/1969","3",0,"Miami Dolphins / 2nd / 53rd pick / 1995"
"22",68,"Brian Habib",34,"RG",16,16,299,"6-7","Washington","12/2/1964","9",8,"Minnesota Vikings / 10th / 264th pick / 1988"
"23",81,"Ronnie Harris",28,"",2,0,179,"5-11","Oregon","6/4/1970","5",0,""
"24",71,"Walter Jones",24,"LT",16,16,315,"6-5","Florida St.","1/19/1974","1",8,"Seattle Seahawks / 1st / 6th pick / 1997"
"25",40,"Kerry Joseph",25,"",16,0,205,"6-1","McNeese St.","10/4/1973","Rook",1,""
"26",66,"Pete Kendall",25,"LG",16,16,279,"6-5","Boston Col.","7/9/1973","2",8,"Seattle Seahawks / 1st / 21st pick / 1996"
"27",96,"Cortez Kennedy*",30,"RDT",15,15,305,"6-3","Miami (FL)","8/23/1968","8",9,"Seattle Seahawks / 1st / 3rd pick / 1990"
"28",7,"Jon Kitna",26,"qb",6,5,220,"6-2","Central Washington","9/21/1972","1",4,""
"29",57,"Jason Kyle",26,"",16,0,242,"6-3","Arizona St.","5/12/1972","3",1,"Seattle Seahawks / 4th / 126th pick / 1995"
"30",99,"Matt LaBounty",29,"de",16,1,271,"6-4","Oregon","1/3/1969","5",2,"San Francisco 49ers / 12th / 327th pick / 1992"
"31",56,"James Logan",26,"lb",4,1,222,"6-2","Memphis","12/6/1972","3",1,""
"32",88,"Deems May",29,"te",16,1,263,"6-4","North Carolina","3/6/1969","6",0,"San Diego Chargers / 7th / 174th pick / 1992"
"33",36,"Terry McDaniel",33,"",9,0,180,"5-10","Tennessee","2/8/1965","10",1,"Los Angeles Raiders / 1st / 9th pick / 1988"
"34",52,"Jason McEndoo",23,"",1,0,307,"6-5","Washington St.","2/25/1975","Rook",0,"Seattle Seahawks / 7th / 197th pick / 1998"
"35",82,"James McKnight",26,"wr",14,3,198,"6-1","Liberty","6/17/1972","4",3,""
"36",49,"Itula Mili",25,"",7,0,260,"6-4","BYU","4/20/1973","Rook",0,"Seattle Seahawks / 6th / 174th pick / 1997"
"37",1,"Warren Moon",42,"QB",10,10,218,"6-3","Washington","11/18/1956","14",5,""
"38",50,"DeShone Myles",24,"mlb",12,7,235,"6-2","Nevada","10/31/1974","Rook",3,"Seattle Seahawks / 4th / 108th pick / 1998"
"39",76,"Riddick Parker",26,"",8,0,295,"6-3","North Carolina","11/20/1972","1",1,""
"40",2,"Todd Peterson",28,"K",16,0,180,"5-11","Navy,Georgia","2/4/1970","4",4,"New York Giants / 7th / 177th pick / 1993"
"41",85,"Mike Pritchard",29,"WR",16,16,188,"5-10","Colorado","10/26/1969","7",7,"Atlanta Falcons / 1st / 13th pick / 1991"
"42",97,"Dan Saleaumua",34,"ldt",11,6,305,"6-0","Arizona St.","11/25/1964","11",3,"Detroit Lions / 7th / 175th pick / 1987"
"43",51,"Anthony Simmons",22,"lb",12,4,240,"6-0","Clemson","6/20/1976","Rook",3,"Seattle Seahawks / 1st / 15th pick / 1998"
"44",70,"Michael Sinclair*",30,"LDE",16,16,267,"6-4","East. New Mexico","1/31/1968","6",13,"Seattle Seahawks / 6th / 155th pick / 1991"
"45",59,"Darrin Smith",28,"LLB",13,12,236,"6-1","Miami (FL)","4/15/1970","5",7,"Dallas Cowboys / 2nd / 54th pick / 1993"
"46",24,"Shawn Springs*",23,"LCB",16,16,204,"6-0","Ohio St.","3/11/1975","1",12,"Seattle Seahawks / 1st / 3rd pick / 1997"
"47",37,"Eric Stokes",25,"",4,0,200,"5-11","Nebraska","12/18/1973","1",0,"Seattle Seahawks / 5th / 142nd pick / 1997"
"48",38,"Mack Strong",27,"fb",16,5,245,"6-0","Georgia","9/11/1971","4",1,""
"49",22,"Fred Thomas",25,"db",15,2,184,"5-9","Miss. Valley St.,Mississippi,Tenn-Martin","9/11/1973","2",2,"Seattle Seahawks / 2nd / 47th pick / 1996"
"50",32,"Ricky Watters",29,"RB",16,16,217,"6-1","Notre Dame","4/7/1969","6",12,"San Francisco 49ers / 2nd / 45th pick / 1991"
"51",74,"Todd Weiner",23,"",6,0,297,"6-4","Kansas St.","9/16/1975","Rook",0,"Seattle Seahawks / 2nd / 47th pick / 1998"
"52",95,"Dean Wells",28,"MLB",9,8,248,"6-3","Kentucky","7/20/1970","5",4,"Seattle Seahawks / 4th / 85th pick / 1993"
"53",33,"Darryl Williams",28,"FS",16,16,198,"6-0","Miami (FL)","1/8/1970","6",7,"Cincinnati Bengals / 1st / 28th pick / 1992"
"54",79,"Grant Williams",24,"",16,0,320,"6-7","Louisiana Tech","5/10/1974","2",1,""
"55",27,"Willie Williams",28,"RCB",14,14,194,"5-9","West. Carolina","12/26/1970","5",6,"Pittsburgh Steelers / 6th / 162nd pick / 1993"
"56",83,"Robert Wilson",24,"",16,0,176,"5-11","Florida A&M","6/23/1974","Rook",0,""
"57",NA,"Team Total",27.7,"",16,NA,241.7,"6-1.6","","","4.5",NA,""
