"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",25,"Jamar Adams",24,"",6,0,209,"6-2","Michigan","11/29/1985","1",0,""
"2",27,"Jordan Babineaux",27,"FS",16,16,200,"6-0","Southern Arkansas","8/31/1982","5",6,""
"3",83,"Deion Branch",30,"wr",14,5,193,"5-9","Louisville","7/18/1979","7",3,"New England Patriots / 2nd / 65th pick / 2002"
"4",79,"Red Bryant",25,"rdt",6,1,326,"6-5","Texas A&M","4/18/1984","1",1,"Seattle Seahawks / 4th / 121st pick / 2008"
"5",81,"Nate Burleson",28,"WR",13,12,192,"6-0","Nevada","8/19/1981","6",6,"Minnesota Vikings / 3rd / 71st pick / 2003"
"6",11,"Deon Butler",23,"",16,0,170,"5-10","Penn St.","1/4/1986","Rook",1,"Seattle Seahawks / 3rd / 91st pick / 2009"
"7",89,"John Carlson",25,"TE",16,16,256,"6-5","Notre Dame","5/12/1984","1",4,"Seattle Seahawks / 2nd / 38th pick / 2008"
"8",90,"Colin Cole",29,"RDT",16,15,299,"6-2","Iowa","6/24/1980","5",6,""
"9",59,"Aaron Curry",23,"LB",14,12,250,"6-2","Wake Forest","4/6/1986","Rook",5,"Seattle Seahawks / 1st / 4th pick / 2009"
"10",28,"Travis Fisher",30,"",4,0,189,"5-10","Central Florida","9/12/1979","7",0,"St. Louis Rams / 2nd / 64th pick / 2002"
"11",20,"Justin Forsett",24,"rb",16,2,190,"5-8","California","10/14/1985","1",6,"Seattle Seahawks / 7th / 233rd pick / 2008"
"12",NA,"Brandon Frye",26,"lt",4,3,302,"6-4","Virginia Tech","1/23/1983","1",1,"Houston Texans / 5th / 163rd pick / 2007"
"13",61,"Mike Gibson",24,"",3,0,302,"6-3","California","11/18/1985","1",0,"Philadelphia Eagles / 6th / 184th pick / 2008"
"14",24,"Deon Grant",30,"SS",16,16,207,"6-2","Tennessee","3/14/1979","8",7,"Carolina Panthers / 2nd / 57th pick / 2000"
"15",33,"Justin Griffith",29,"FB",13,11,232,"5-11","Mississippi St.","7/21/1980","6",1,"Atlanta Falcons / 4th / 121st pick / 2003"
"16",NA,"Mike Hass",26,"",1,0,210,"6-1","Oregon St.","1/2/1983","2",0,"New Orleans Saints / 6th / 171st pick / 2006"
"17",8,"Matt Hasselbeck",34,"QB",14,14,223,"6-4","Boston Col.","9/25/1975","10",7,"Green Bay Packers / 6th / 187th pick / 1998"
"18",57,"David Hawthorne",24,"MLB",16,11,230,"6-0","TCU","5/14/1985","1",7,""
"19",54,"Will Herring",26,"lb",16,6,215,"6-3","Auburn","8/28/1983","2",3,"Seattle Seahawks / 5th / 161st pick / 2007"
"20",56,"LeRoy Hill",27,"LB",11,11,224,"6-1","Clemson","9/14/1982","4",4,"Seattle Seahawks / 3rd / 98th pick / 2005"
"21",45,"Kevin Houser",32,"",14,0,250,"6-2","Ohio St.","8/23/1977","9",1,"New Orleans Saints / 7th / 228th pick / 2000"
"22",84,"T.J. Houshmandzadeh",32,"WR",16,16,197,"6-1","Oregon St.","9/26/1977","8",6,"Cincinnati Bengals / 7th / 204th pick / 2001"
"23",95,"Lawrence Jackson",24,"DE",16,10,261,"6-5","USC","8/30/1985","1",5,"Seattle Seahawks / 1st / 28th pick / 2008"
"24",32,"Edgerrin James",31,"",7,0,214,"6-0","Miami (FL)","8/1/1978","10",1,"Indianapolis Colts / 1st / 4th pick / 1999"
"25",21,"Kelly Jennings",27,"rcb",16,7,175,"5-11","Miami (FL)","11/30/1982","3",3,"Seattle Seahawks / 1st / 31st pick / 2006"
"26",22,"Julius Jones",28,"RB",14,14,210,"5-10","Notre Dame","8/14/1981","5",5,"Dallas Cowboys / 2nd / 43rd pick / 2004"
"27",97,"Patrick Kerney",33,"DE",15,14,273,"6-5","Virginia","12/30/1976","10",6,"Atlanta Falcons / 1st / 30th pick / 1999"
"28",50,"Lance Laury",27,"",16,0,233,"6-2","South Carolina","1/17/1982","3",1,""
"29",52,"D.D. Lewis",30,"",12,0,241,"6-1","Texas","1/8/1979","7",1,""
"30",34,"Roy Lewis",24,"",8,0,190,"5-10","Washington","5/19/1985","1",0,""
"31",NA,"Sean Locklear",28,"LT",10,10,301,"6-4","North Carolina St.","5/29/1981","5",4,"Seattle Seahawks / 3rd / 84th pick / 2004"
"32",31,"Ken Lucas",30,"rcb",16,6,205,"6-0","Mississippi","1/23/1979","8",3,"Seattle Seahawks / 2nd / 40th pick / 2001"
"33",10,"Olindo Mare",36,"",16,0,190,"5-10","MacMurray,Syracuse","6/6/1973","12",4,""
"34",NA,"Damion McIntosh",32,"lt",10,2,325,"6-4","Kansas St.","3/25/1977","9",1,"San Diego Chargers / 3rd / 83rd pick / 2000"
"35",92,"Brandon Mebane",24,"LDT",15,15,309,"6-1","California","1/15/1985","2",7,"Seattle Seahawks / 3rd / 85th pick / 2007"
"36",36,"Lawyer Milloy",36,"s",16,1,210,"6-0","Washington","11/14/1973","13",1,"New England Patriots / 2nd / 36th pick / 1996"
"37",88,"Cameron Morrah",22,"",3,0,244,"6-3","California","3/18/1987","Rook",0,"Seattle Seahawks / 7th / 248th pick / 2009"
"38",87,"Ben Obomanu",26,"",14,0,203,"6-0","Auburn","10/30/1983","2",0,"Seattle Seahawks / 7th / 249th pick / 2006"
"39",86,"John Owens",29,"te",16,3,266,"6-3","Notre Dame","1/10/1980","7",0,"Detroit Lions / 5th / 138th pick / 2002"
