"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",56,"Cliff Avril",30,"DE",14,14,252,"6-3","Purdue","4/8/1986","8",NA,"Detroit Lions / 3rd / 92nd pick / 2008","$6,000,000"
"2",89,"Doug Baldwin",28,"WR",14,13,189,"5-10","Stanford","9/21/1988","5",NA,"","$1,000,000"
"3",95,"Tavaris Barnes",25,"DE",NA,NA,275,"6-4","Clemson","11/2/1991","1",NA,"","$525,000"
"4",72,"Michael Bennett",31,"DE",9,9,271,"6-4","Texas A&M","11/13/1985","7",NA,"","$4,000,000"
"5",2,"Trevone Boykin",23,"QB",5,0,213,"6-0","","8/22/1993","Rook",NA,"","$450,000"
"6",68,"Justin Britt",25,"OT",13,13,325,"6-6","Missouri","5/29/1991","2",NA,"Seattle Seahawks / 2nd / 64th pick / 2014","$734,267"
"7",31,"Kam Chancellor",28,"DB",10,10,232,"6-3","Virginia Tech","4/3/1988","6",NA,"Seattle Seahawks / 5th / 133rd pick / 2010","$5,100,000"
"8",55,"Frank Clark",23,"DE",13,5,270,"6-2","Michigan","6/14/1993","1",NA,"Seattle Seahawks / 2nd / 63rd pick / 2015","$604,647"
"9",36,"Alex Collins",22,"RB",9,0,218,"5-11","Arkansas","8/26/1994","Rook",NA,"Seattle Seahawks / 5th / 171st pick / 2016","$450,000"
"10",42,"Brandon Cottom",24,"TE",NA,NA,262,"6-2","","12/21/1992","Rook",NA,"","$450,000"
"11",52,"Brock Coyle",26,"LB",10,3,245,"6-2","Montana","10/12/1990","2",NA,"","$600,000"
"12",1,"DeAndre Elliott",24,"CB",11,0,189,"6-1","","11/21/1992","Rook",NA,"","$450,000"
"13",74,"George Fant",24,"T",12,8,296,"6-5","","7/19/1992","Rook",NA,"","$450,000"
"14",48,"Nolan Frese",24,"LS",14,0,233,"6-2","","7/19/1992","Rook",NA,"","$450,000"
"15",79,"Garry Gilliam",26,"T",12,11,303,"6-6","Penn St.","11/26/1990","2",NA,"","$600,000"
"16",63,"Mark Glowinski",24,"OG",14,14,310,"6-5","West Virginia","5/3/1992","1",NA,"Seattle Seahawks / 4th / 134th pick / 2015","$525,000"
"17",88,"Jimmy Graham",30,"TE",14,13,260,"6-7","Miami (FL)","11/24/1986","6",NA,"New Orleans Saints / 3rd / 95th pick / 2010","$8,900,000"
"18",4,"Steven Hauschka",31,"K",14,0,185,"6-1","North Carolina St.","6/29/1985","8",NA,"","$2,700,000"
"19",53,"Joey Hunt",22,"C",9,1,295,"6-2","TCU","2/22/1994","Rook",NA,"Seattle Seahawks / 6th / 215th pick / 2016","$450,000"
"20",76,"Germain Ifedi",22,"OT",11,11,324,"6-6","Texas A&M","6/2/1994","Rook",NA,"Seattle Seahawks / 1st / 31st pick / 2016","$450,000"
"21",30,"Stanley Jean-Baptiste",26,"CB",NA,NA,218,"6-3","Nebraska","4/12/1990","2",NA,"New Orleans Saints / 2nd / 58th pick / 2014","$525,000"
"22",99,"Quinton Jefferson",23,"DT",3,0,289,"6-4","Maryland","3/31/1993","Rook",NA,"Seattle Seahawks / 5th / 147th pick / 2016","$450,000"
"23",92,"John Jenkins",27,"DT",2,0,346,"6-4","Georgia","7/11/1989","3",NA,"New Orleans Saints / 3rd / 82nd pick / 2013","$675,000"
"24",32,"Jeron Johnson",28,"DB",2,0,210,"5-10","Boise St.","6/12/1988","5",NA,"","$178,823"
"25",15,"Jermaine Kearse",26,"WR",14,13,212,"6-1","Washington","2/6/1990","4",NA,"","$800,000"
"26",20,"Jeremy Lane",26,"CB",14,8,184,"6-0","NW State (LA)","7/14/1990","4",NA,"Seattle Seahawks / 6th / 172nd pick / 2012","$2,000,000"
"27",16,"Tyler Lockett",24,"WR",14,8,181,"5-10","Kansas St.","9/28/1992","1",NA,"Seattle Seahawks / 3rd / 69th pick / 2015","$580,000"
"28",38,"Tre Madden",23,"RB",NA,NA,223,"6-0","","8/16/1993","Rook",NA,"","$450,000"
"29",43,"Terrence Magee",23,"RB",1,0,214,"5-9","LSU","3/16/1993","1",NA,"",""
"30",91,"Cassius Marsh",24,"DE",14,1,252,"6-4","UCLA","7/7/1992","2",NA,"Seattle Seahawks / 4th / 108th pick / 2014","$600,000"
"31",33,"Kelcie McCray",28,"S",14,4,202,"6-1","Arkansas St.","9/21/1988","4",NA,"","$675,000"
"32",93,"Tony McDaniel",31,"DT",14,11,295,"6-7","Tennessee","1/20/1985","10",NA,"","$985,000"
"33",41,"Dewey McDonald",26,"S",12,0,220,"6-0","California (PA)","6/10/1990","2",NA,"","$600,000"
"34",6,"Tanner McEvoy",23,"WR",12,0,230,"6-6","Wisconsin","1/26/1993","Rook",NA,"","$450,000"
"35",30,"J.D. McKissic",23,"WR",NA,NA,193,"5-11","","8/15/1993","Rook",NA,"",""
"36",97,"Damontre Moore",24,"DE",4,0,250,"6-5","Texas A&M","9/11/1992","3",NA,"New York Giants / 3rd / 81st pick / 2013","$675,000"
"37",57,"Mike Morgan",28,"LB",7,2,224,"6-4","USC","1/16/1988","5",NA,"","$800,000"
"38",70,"Rees Odhiambo",24,"OG",6,0,305,"6-4","Boise St.","9/23/1992","Rook",NA,"Seattle Seahawks / 3rd / 97th pick / 2016","$450,000"
"39",58,"Kevin Pierre-Louis",25,"OLB",11,0,232,"6-1","Boston Col.","10/7/1991","2",NA,"Seattle Seahawks / 4th / 132nd pick / 2014","$600,000"
"40",43,"Troymaine Pope",23,"RB",3,0,205,"5-8","","11/26/1993","Rook",NA,"","$450,000"
"41",59,"Ronald Powell",25,"OLB",NA,NA,237,"6-3","Florida","5/14/1991","2",NA,"New Orleans Saints / 5th / 169th pick / 2014","$105,882"
"42",40,"Tyvis Powell",NA,"FS",8,0,209,"6-3","Ohio St.","","Rook",NA,"","$450,000"
"43",22,"C.J. Prosise",22,"RB",6,2,220,"6-1","Notre Dame","5/20/1994","Rook",NA,"Seattle Seahawks / 3rd / 90th pick / 2016","$450,000"
"44",34,"Thomas Rawls",23,"RB",7,5,217,"5-10","Central Michigan","8/3/1993","1",NA,"","$525,000"
"45",44,"Marcel Reece",31,"TE",2,0,240,"6-3","Washington","6/23/1985","8",NA,"","$208,235"
"46",93,"Jarran Reed",24,"DT",13,3,307,"6-3","Alabama","12/16/1992","Rook",NA,"Seattle Seahawks / 2nd / 49th pick / 2016","$450,000"
"47",10,"Paul Richardson",24,"WR",13,0,175,"6-0","Colorado","4/13/1992","2",NA,"Seattle Seahawks / 2nd / 45th pick / 2014","$848,440"
"48",77,"Ahtyba Rubin",30,"NT",14,14,321,"6-2","Iowa St.","7/25/1986","8",NA,"Cleveland Browns / 6th / 190th pick / 2008","$1,000,000"
"49",9,"Jon Ryan",35,"P",14,0,202,"6-0","Regina (Canada)","11/26/1981","10",NA,"","$1,000,000"
"50",26,"Mohammed Seisay",26,"CB",NA,NA,202,"6-1","Nebraska","11/22/1990","2",NA,"","$525,000"
"51",35,"DeShawn Shead",28,"DB",13,13,220,"6-1","Portland St.","6/28/1988","4",NA,"","$760,000"
"52",25,"Richard Sherman",28,"DB",14,14,195,"6-3","Stanford","3/30/1988","5",NA,"Seattle Seahawks / 5th / 154th pick / 2011","$12,569,000"
"53",87,"Ronnie Shields",25,"TE",NA,NA,245,"6-4","","12/15/1991","Rook",NA,"","$450,000"
"54",13,"Tyler Slavin",24,"WR",NA,NA,210,"6-1","","1/29/1992","Rook",NA,"",""
"55",98,"Garrison Smith",25,"DT",3,0,299,"6-3","Georgia","10/9/1991","2",NA,"","$450,000"
"56",40,"Joe Sommers",23,"TE",NA,NA,241,"6-2","","3/3/1993","Rook",NA,"",""
"57",78,"Bradley Sowell",27,"T",10,9,316,"6-7","Mississippi","6/6/1989","4",NA,"","$800,000"
"58",23,"Steven Terrell",26,"DB",14,3,197,"5-10","Texas A&M","9/21/1990","3",NA,"","$600,000"
"59",29,"Earl Thomas",27,"DB",11,11,208,"5-10","Texas","5/7/1989","6",NA,"Seattle Seahawks / 1st / 14th pick / 2010","$8,000,000"
