"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",47,"Jerry Aldridge",24,"",1,0,220,"6-2","Angelo State (TX)","9/1/1956","Rook",0,"San Francisco 49ers / 5th / 119th pick / 1979"
"2",20,"Terry Anderson",25,"",4,0,182,"5-9","Bethune-Cookman","1/10/1955","3",0,"Miami Dolphins / 12th / 321st pick / 1977"
"3",68,"John Ayers",27,"LG",16,16,258,"6-5","Texas,West Texas A&M","4/14/1953","3",8,"San Francisco 49ers / 8th / 223rd pick / 1976"
"4",77,"Jean Barrett",29,"",15,1,253,"6-6","Tulsa","5/24/1951","7",1,"San Francisco 49ers / 2nd / 44th pick / 1972"
"5",76,"Dwaine Board",24,"de",3,3,248,"6-5","North Carolina A&T","11/29/1956","1",1,"Pittsburgh Steelers / 5th / 137th pick / 1979"
"6",82,"Bob Bruer",27,"",1,0,235,"6-5","Mankato St.","5/22/1953","1",0,"Houston Oilers / 9th / 221st pick / 1975"
"7",64,"Ken Bungarda",23,"",15,0,270,"6-6","Missouri","1/25/1957","Rook",1,"Cincinnati Bengals / 11th / 278th pick / 1979"
"8",57,"Dan Bunz",25,"LILB",16,9,226,"6-4","California-Riverside,Long Beach St.","10/7/1955","2",4,"San Francisco 49ers / 1st / 24th pick / 1978"
"9",60,"Mike Calhoun",23,"",4,0,260,"6-4","Notre Dame","5/6/1957","Rook",0,"Dallas Cowboys / 10th / 274th pick / 1979"
"10",33,"Ricky Churchman",22,"SS",16,15,195,"6-1","Texas","3/14/1958","Rook",6,"San Francisco 49ers / 4th / 84th pick / 1980"
"11",87,"Dwight Clark",23,"WR",16,12,212,"6-4","Clemson","1/8/1957","1",9,"San Francisco 49ers / 10th / 249th pick / 1979"
"12",49,"Earl Cooper",23,"FB",16,16,227,"6-2","Rice","9/17/1957","Rook",10,"San Francisco 49ers / 1st / 13th pick / 1980"
"13",28,"Charles Cornelius",28,"lcb",16,6,176,"5-9","Bethune-Cookman","7/27/1952","3",3,""
"14",51,"Randy Cross",26,"RG",16,16,259,"6-3","UCLA","4/25/1954","4",8,"San Francisco 49ers / 2nd / 42nd pick / 1976"
"15",17,"Steve DeBerg",26,"QB",11,9,210,"6-3","San Jose St.","1/19/1954","2",5,"Dallas Cowboys / 10th / 275th pick / 1977"
"16",62,"Walt Downing",24,"",14,0,259,"6-3","Michigan","6/11/1956","2",1,"San Francisco 49ers / 2nd / 47th pick / 1978"
"17",35,"Lenvil Elliott",29,"rb",15,3,205,"6-0","Truman St.","9/2/1951","7",5,"Cincinnati Bengals / 10th / 249th pick / 1973"
"18",71,"Keith Fahnhorst",28,"RT",16,16,273,"6-6","Minnesota","2/6/1952","6",8,"San Francisco 49ers / 2nd / 35th pick / 1974"
"19",38,"Bob Ferrell",28,"",12,0,216,"6-0","UCLA","11/13/1952","4",0,""
"20",48,"Phil Francis",23,"rb",5,1,205,"6-1","Stanford","1/10/1957","1",0,"San Francisco 49ers / 7th / 166th pick / 1979"
"21",82,"Lewis Gilbert",24,"",6,0,225,"6-4","Florida","5/24/1956","2",0,""
"22",59,"Willie Harper",30,"LLB",14,12,215,"6-2","Nebraska","7/30/1950","7",4,"San Francisco 49ers / 2nd / 41st pick / 1973"
"23",50,"Thomas Henderson",27,"",1,0,221,"6-2","Langston","3/1/1953","5",0,"Dallas Cowboys / 1st / 18th pick / 1975"
"24",22,"Dwight Hicks",24,"FS",16,16,190,"6-1","Michigan","4/5/1956","1",6,"Detroit Lions / 6th / 150th pick / 1978"
"25",55,"Scott Hilton",26,"MLB",13,8,230,"6-4","Salem","5/28/1954","1",3,""
"26",36,"Paul Hofer",28,"RB",6,6,195,"6-0","Mississippi","5/13/1952","4",6,"San Francisco 49ers / 11th / 305th pick / 1976"
"27",65,"Ernie Hughes",25,"",3,0,259,"6-3","Notre Dame","1/24/1955","2",0,"San Francisco 49ers / 3rd / 79th pick / 1978"
"28",44,"Charles Johnson",24,"RCB",16,14,182,"5-10","Grambling St.","5/5/1956","1",5,"Atlanta Falcons / 4th / 101st pick / 1979"
"29",90,"Jim Krahl",25,"",2,0,252,"6-5","Texas Tech","11/19/1955","2",0,"New York Giants / 5th / 132nd pick / 1978"
"30",60,"Mel Land",25,"",3,0,243,"6-3","Michigan St.","11/30/1955","1",0,"Miami Dolphins / 3rd / 63rd pick / 1979"
"31",52,"Bobby Leopold",23,"RLB",16,15,215,"6-1","Notre Dame","10/18/1957","Rook",6,"San Francisco 49ers / 8th / 210th pick / 1980"
"32",3,"Jim Miller",23,"P",16,0,183,"5-11","Mississippi","7/5/1957","Rook",2,"San Francisco 49ers / 3rd / 65th pick / 1980"
"33",16,"Joe Montana",24,"qb",15,7,200,"6-2","Notre Dame","6/11/1956","1",6,"San Francisco 49ers / 3rd / 82nd pick / 1979"
"34",46,"Melvin Morgan",27,"lcb",6,5,183,"6-0","Miss. Valley St.","3/31/1953","4",2,"Cincinnati Bengals / 11th / 314th pick / 1976"
"35",89,"James Owens",25,"KR",14,6,192,"5-11","UCLA","7/5/1955","1",2,"San Francisco 49ers / 2nd / 29th pick / 1979"
"36",42,"Ricky Patton",26,"",9,0,190,"5-11","Ferris St.,Michigan,Jackson St.","4/6/1954","2",0,"Atlanta Falcons / 10th / 257th pick / 1978"
"37",32,"Scott Perry",26,"",11,0,180,"6-0","Williams","3/11/1954","4",1,"Cincinnati Bengals / 5th / 147th pick / 1976"
"38",65,"Lawrence Pillers",28,"RDE",13,10,255,"6-4","Alcorn St.","11/4/1952","4",4,"New York Jets / 11th / 296th pick / 1976"
"39",54,"Craig Puki",23,"",16,0,231,"6-1","Tennessee","1/18/1957","Rook",1,"San Francisco 49ers / 3rd / 77th pick / 1980"
"40",56,"Fred Quillan",24,"C",16,16,261,"6-5","Oregon","1/27/1956","2",8,"San Francisco 49ers / 7th / 175th pick / 1978"
"41",80,"Eason Ramson",24,"te",16,3,232,"6-2","Washington St.","4/30/1956","2",2,"Green Bay Packers / 12th / 312th pick / 1978"
"42",78,"Archie Reese",24,"LDT",16,16,267,"6-3","Clemson","2/4/1956","2",6,"San Francisco 49ers / 5th / 127th pick / 1978"
"43",26,"Ray Rhodes",30,"LCB",14,7,185,"5-11","TCU,Tulsa","10/20/1950","6",3,"New York Giants / 10th / 236th pick / 1974"
"44",85,"Jim Robinson",27,"",5,0,170,"5-9","Georgia Tech","1/3/1953","4",0,"Atlanta Falcons / 15th / 367th pick / 1975"
"45",53,"Tom Seabron",23,"",6,0,215,"6-3","Michigan","5/24/1957","1",0,"San Francisco 49ers / 5th / 111th pick / 1979"
