"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",64,"David Baas",27,"LG",16,9,319,"6-4","Michigan","9/28/1981","3",5,"San Francisco 49ers / 2nd / 33rd pick / 2005"
"2",47,"Billy Bajema",26,"TE",16,10,261,"6-5","Oklahoma St.","10/31/1982","3",0,"San Francisco 49ers / 7th / 249th pick / 2005"
"3",96,"Kentwan Balmer",22,"",16,0,298,"6-5","North Carolina","10/15/1986","Rook",1,"San Francisco 49ers / 1st / 29th pick / 2008"
"4",95,"Tully Banta-Cain",28,"",12,0,254,"6-2","California","8/28/1980","5",1,"New England Patriots / 7th / 239th pick / 2003"
"5",83,"Arnaz Battle",28,"",9,0,217,"6-1","Notre Dame","2/22/1980","5",3,"San Francisco 49ers / 6th / 197th pick / 2003"
"6",25,"Tarell Brown",23,"cb",15,1,190,"5-11","Texas","1/6/1985","1",2,"San Francisco 49ers / 5th / 147th pick / 2007"
"7",88,"Isaac Bruce",36,"WR",16,15,188,"6-0","Memphis","11/10/1972","14",7,"Los Angeles Rams / 2nd / 33rd pick / 1994"
"8",22,"Nate Clements",29,"LCB",15,15,209,"6-0","Ohio St.","12/12/1979","7",6,"Buffalo Bills / 1st / 21st pick / 2001"
"9",85,"Vernon Davis",24,"TE",16,16,250,"6-3","Maryland","1/31/1984","2",3,"San Francisco 49ers / 1st / 6th pick / 2006"
"10",93,"Ronald Fields",27,"",16,0,310,"6-2","Mississippi St.","9/13/1981","3",1,"San Francisco 49ers / 5th / 137th pick / 2005"
"11",29,"DeShaun Foster",28,"rb",16,2,222,"6-0","UCLA","1/10/1980","5",3,"Carolina Panthers / 2nd / 34th pick / 2002"
"12",92,"Aubrayo Franklin",28,"DT",16,15,320,"6-1","Tennessee","8/27/1980","5",7,"Baltimore Ravens / 5th / 146th pick / 2003"
"13",38,"Dashon Goldson",24,"s",9,2,205,"6-2","Washington","9/18/1984","1",1,"San Francisco 49ers / 4th / 126th pick / 2007"
"14",21,"Frank Gore",25,"RB",14,14,215,"5-9","Miami (FL)","5/14/1983","3",10,"San Francisco 49ers / 3rd / 65th pick / 2005"
"15",54,"Roderick Green",26,"",13,0,250,"6-2","Central Missouri St.","4/26/1982","4",1,"Baltimore Ravens / 5th / 153rd pick / 2004"
"16",98,"Parys Haralson",24,"LB",16,10,253,"6-1","Tennessee","1/24/1984","2",5,"San Francisco 49ers / 5th / 140th pick / 2006"
"17",27,"Walt Harris",34,"RCB",16,16,192,"5-11","Mississippi St.","8/10/1974","12",6,"Chicago Bears / 1st / 13th pick / 1996"
"18",66,"Eric Heitmann",28,"C",16,16,305,"6-3","Stanford","2/24/1980","6",7,"San Francisco 49ers / 7th / 239th pick / 2002"
"19",89,"Jason Hill",23,"wr",16,2,204,"6-1","Washington St.","2/20/1985","1",3,"San Francisco 49ers / 3rd / 76th pick / 2007"
"20",13,"Shaun Hill",28,"QB",9,8,210,"6-5","Maryland","1/9/1980","3",7,""
"21",23,"Marcus Hudson",26,"",9,0,200,"6-2","North Carolina St.","11/15/1982","2",1,"San Francisco 49ers / 6th / 192nd pick / 2006"
"22",86,"Brian Jennings",32,"",16,0,245,"6-5","Arizona St.","10/14/1976","8",0,"San Francisco 49ers / 7th / 230th pick / 2000"
"23",75,"Jonas Jennings",31,"rt",2,2,325,"6-3","Georgia","11/21/1977","7",1,"Buffalo Bills / 3rd / 95th pick / 2001"
"24",82,"Bryant Johnson",27,"WR",16,12,214,"6-2","Penn St.","3/7/1981","5",4,"Arizona Cardinals / 1st / 17th pick / 2003"
"25",45,"Zak Keasey",26,"fb",6,3,240,"6-0","Princeton","3/19/1982","3",0,""
"26",35,"David Kirtman",25,"",1,0,232,"6-0","USC","2/12/1983","1",0,"Seattle Seahawks / 5th / 163rd pick / 2006"
"27",99,"Manny Lawson",24,"LB",14,10,240,"6-5","North Carolina St.","7/3/1984","2",5,"San Francisco 49ers / 1st / 22nd pick / 2006"
"28",4,"Andy Lee",26,"",16,0,205,"6-0","Pittsburgh","8/11/1982","4",3,"San Francisco 49ers / 6th / 188th pick / 2004"
"29",28,"Keith Lewis",27,"",16,0,202,"6-0","Oregon","10/20/1981","4",1,"San Francisco 49ers / 6th / 198th pick / 2004"
"30",32,"Michael Lewis",28,"SS",16,16,211,"6-1","Colorado","4/29/1980","6",6,"Philadelphia Eagles / 2nd / 58th pick / 2002"
"31",91,"Ray McDonald",24,"DE",15,9,276,"6-4","Florida","9/20/1984","1",4,"San Francisco 49ers / 3rd / 97th pick / 2007"
"32",84,"Josh Morgan",23,"wr",12,1,218,"6-0","Virginia Tech","6/20/1985","Rook",3,"San Francisco 49ers / 6th / 174th pick / 2008"
"33",6,"Joe Nedney",35,"",16,0,225,"6-5","San Jose St.","3/22/1973","12",4,""
"34",14,"J.T. O'Sullivan",29,"QB",9,8,220,"6-2","California-Davis","8/25/1979","4",6,"New Orleans Saints / 6th / 186th pick / 2002"
"35",62,"Chilo Rachal",22,"rg",8,6,315,"6-5","USC","3/15/1986","Rook",4,"San Francisco 49ers / 2nd / 39th pick / 2008"
"36",24,"Michael Robinson",25,"fb",16,1,225,"6-1","Penn St.","2/6/1983","2",2,"San Francisco 49ers / 4th / 100th pick / 2006"
"37",26,"Mark Roman",31,"FS",16,16,200,"5-11","LSU","3/26/1977","8",6,"Cincinnati Bengals / 2nd / 34th pick / 2000"
"38",20,"Allen Rossum",33,"wr",13,1,178,"5-8","Notre Dame","10/22/1975","10",2,"Philadelphia Eagles / 3rd / 85th pick / 1998"
"39",81,"Sean Ryan",28,"rb",6,1,254,"6-5","Boston Col.","3/27/1980","4",0,"Dallas Cowboys / 5th / 144th pick / 2004"
"40",65,"Barry Sims",34,"RT",14,8,300,"6-5","Utah St.,Utah","12/1/1974","9",5,""
"41",94,"Justin Smith",29,"DE",16,16,270,"6-4","Missouri","9/30/1979","7",8,"Cincinnati Bengals / 1st / 4th pick / 2001"
"42",31,"Reggie Smith",22,"",3,0,198,"6-1","Oklahoma","9/13/1986","Rook",0,"San Francisco 49ers / 3rd / 75th pick / 2008"
"43",68,"Adam Snyder",26,"lg",14,13,316,"6-5","Oregon","1/30/1982","3",6,"San Francisco 49ers / 3rd / 94th pick / 2005"
"44",90,"Isaac Sopoaga",27,"DT",16,15,321,"6-2","Hawaii","9/4/1981","3",6,"San Francisco 49ers / 4th / 104th pick / 2004"
"45",36,"Shawntae Spencer",26,"",2,0,181,"6-1","Pittsburgh","2/22/1982","4",0,"San Francisco 49ers / 2nd / 58th pick / 2004"
"46",51,"Takeo Spikes",32,"LB",16,13,242,"6-2","Auburn","12/17/1976","10",7,"Cincinnati Bengals / 1st / 13th pick / 1998"
"47",74,"Joe Staley",24,"LT",16,16,306,"6-6","Central Michigan","8/30/1984","1",7,"San Francisco 49ers / 1st / 28th pick / 2007"
"48",30,"Donald Strickland",28,"cb",14,3,187,"5-10","Colorado","11/24/1980","5",2,"Indianapolis Colts / 3rd / 90th pick / 2003"
"49",53,"Jeff Ulbrich",31,"lilb",16,3,249,"6-0","San Jose St.,Hawaii","2/17/1977","8",2,"San Francisco 49ers / 3rd / 86th pick / 2000"
"50",46,"Delanie Walker",24,"te",15,2,241,"6-1","Central Missouri St.","8/12/1984","2",1,"San Francisco 49ers / 6th / 175th pick / 2006"
"51",52,"Patrick Willis*",23,"LB",16,16,242,"6-1","Mississippi","1/25/1985","1",13,"San Francisco 49ers / 1st / 11th pick / 2007"
"52",69,"Tony Wragge",29,"RG",16,10,311,"6-4","New Mexico St.","8/14/1979","6",5,""
"53",17,"Dominique Zeigler",24,"",8,0,185,"6-3","Baylor","10/11/1984","Rook",1,""
"54",NA,"Team Total",27.2,"",16,NA,242.4,"6-1.9","","","4.3",NA,""
