"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",91,"Arik Armstead",23,"DE",8,4,296,"6-7","Oregon","11/15/1993","1",NA,"San Francisco 49ers / 1st / 17th pick / 2015","$882,392"
"2",54,"Ray-Ray Armstrong",25,"LB",2,0,227,"6-3","Miami (FL)","3/5/1991","3",NA,"","$675,000"
"3",75,"Alex Balducci",22,"OL",1,0,310,"6-4","","3/1/1994","Rook",NA,"","$79,410"
"4",46,"Marcus Ball",29,"S",3,0,209,"6-1","Memphis","7/21/1987","2",NA,"","$154,411"
"5",68,"Zane Beadles",30,"T",14,14,310,"6-4","Utah","11/19/1986","6",NA,"Denver Broncos / 2nd / 45th pick / 2010","$1,050,000"
"6",84,"Blake Bell",25,"TE",13,0,263,"6-6","Oklahoma","8/7/1991","1",NA,"San Francisco 49ers / 4th / 117th pick / 2015","$525,000"
"7",50,"Nick Bellore",27,"LB",14,10,238,"6-1","Central Michigan","5/12/1989","5",NA,"","$760,000"
"8",41,"Antoine Bethea",32,"DB",14,14,203,"5-11","Howard","7/27/1984","10",NA,"Indianapolis Colts / 6th / 207th pick / 2006","$4,500,000"
"9",98,"Ronald Blair",23,"DE",13,0,272,"6-3","Appalachian St.","1/21/1993","Rook",NA,"San Francisco 49ers / 5th / 142nd pick / 2016","$450,000"
"10",53,"NaVorro Bowman",28,"LB",4,4,230,"6-1","Penn St.","5/28/1988","6",NA,"San Francisco 49ers / 3rd / 91st pick / 2010","$5,850,000"
"11",45,"Carl Bradford",24,"OLB",NA,NA,250,"6-1","Arizona St.","8/15/1992","2",NA,"Green Bay Packers / 4th / 121st pick / 2014","$525,000"
"12",26,"Tramaine Brock",28,"DB",14,14,197,"5-10","Mississippi Gulf Coast J.C.; Bellhaven","8/20/1988","6",NA,"","$2,700,000"
"13",55,"Ahmad Brooks",32,"LB",14,13,255,"6-4","Virginia","3/14/1984","10",NA,"Cincinnati Bengals / 3rd / 2006 Supp","$4,900,000"
"14",77,"Trenton Brown",23,"OT",14,14,376,"6-9","Florida","4/13/1993","1",NA,"San Francisco 49ers / 7th / 244th pick / 2015","$525,000"
"15",99,"DeForest Buckner",22,"DE",13,13,291,"6-7","Oregon","3/17/1994","Rook",NA,"San Francisco 49ers / 1st / 7th pick / 2016","$450,000"
"16",13,"Aaron Burbridge",23,"WR",14,3,210,"6-0","Michigan St.","12/23/1993","Rook",NA,"San Francisco 49ers / 6th / 213th pick / 2016","$450,000"
"17",95,"Tank Carradine",27,"DE",13,0,276,"6-4","Florida St.","2/18/1989","3",NA,"San Francisco 49ers / 2nd / 40th pick / 2013","$1,029,684"
"18",88,"Garrett Celek",28,"TE",14,4,252,"6-5","Michigan St.","5/29/1988","4",NA,"","$1,000,000"
"19",47,"Marcus Cromartie",26,"CB",8,0,192,"6-1","Wisconsin","12/3/1990","3",NA,"","$600,000"
"20",43,"Chris Davis",26,"CB",4,1,205,"5-11","Auburn","11/4/1990","2",NA,"","$600,000"
"21",22,"Mike Davis",23,"RB",8,1,223,"5-9","South Carolina","2/19/1993","1",NA,"San Francisco 49ers / 4th / 126th pick / 2015","$525,000"
"22",4,"Phil Dawson",41,"K",14,0,195,"5-11","Texas","1/23/1975","17",NA,"","$3,134,000"
"23",92,"Quinton Dial",26,"DE",12,10,318,"6-5","Alabama","7/21/1990","3",NA,"San Francisco 49ers / 5th / 157th pick / 2013","$675,000"
"24",90,"Glenn Dorsey",31,"DT",11,6,316,"6-2","LSU","8/1/1985","8",NA,"Kansas City Chiefs / 1st / 5th pick / 2008","$1,800,000"
"25",24,"Shaun Draughn",29,"RB",14,0,205,"6-0","North Carolina","12/7/1987","5",NA,"","$760,000"
"26",49,"Jim Dray",30,"TE",NA,NA,253,"6-5","Stanford","12/31/1986","6",NA,"Arizona Cardinals / 7th / 233rd pick / 2010",""
"27",10,"Bruce Ellington",25,"WR",NA,NA,197,"5-9","South Carolina","8/22/1991","2",NA,"San Francisco 49ers / 4th / 106th pick / 2014","$600,000"
"28",2,"Blaine Gabbert",27,"QB",6,5,235,"6-5","Missouri","10/15/1989","5",NA,"Jacksonville Jaguars / 1st / 10th pick / 2011","$1,750,000"
"29",69,"Andrew Gardner",30,"T",NA,NA,304,"6-7","Georgia Tech","4/4/1986","7",NA,"Miami Dolphins / 6th / 181st pick / 2009",""
"30",65,"Joshua Garnett",22,"OG",13,9,312,"6-4","Stanford","2/21/1994","Rook",NA,"San Francisco 49ers / 1st / 28th pick / 2016","$450,000"
"31",85,"Je'Ron Hamm",24,"TE",4,0,236,"6-3","Louisiana-Monroe","6/15/1992","2",NA,"","$432,348"
"32",58,"Eli Harold",22,"OLB",14,11,235,"6-4","Virginia","1/20/1994","1",NA,"San Francisco 49ers / 3rd / 79th pick / 2015","$540,000"
"33",14,"Chris Harper",23,"WR",7,0,176,"5-11","California","12/7/1993","1",NA,"","$525,000"
"34",32,"DuJuan Harris",28,"RB",8,1,197,"5-7","Troy","9/3/1988","5",NA,"","$760,000"
"35",51,"Gerald Hodges",25,"OLB",13,10,243,"6-1","Penn St.","1/17/1991","3",NA,"Minnesota Vikings / 4th / 120th pick / 2013","$1,671,000"
"36",28,"Carlos Hyde",25,"RB",12,12,230,"6-0","Ohio St.","9/20/1991","2",NA,"San Francisco 49ers / 2nd / 57th pick / 2014","$654,698"
"37",30,"Prince Charles Iworah",23,"CB",NA,NA,192,"5-9","West. Kentucky","3/11/1993","Rook",NA,"San Francisco 49ers / 7th / 249th pick / 2016",""
"38",63,"Tony Jerod-Eddie",26,"DT",8,0,303,"6-4","Texas A&M","3/29/1990","4",NA,"","$800,000"
"39",36,"Dontae Johnson",25,"FS",14,0,200,"6-2","North Carolina St.","12/1/1991","2",NA,"San Francisco 49ers / 4th / 129th pick / 2014","$600,000"
"40",93,"Chris Jones",26,"DT",4,4,302,"6-2","Bowling Green","7/12/1990","3",NA,"Houston Texans / 6th / 198th pick / 2013","$675,000"
"41",7,"Colin Kaepernick",29,"QB",10,9,225,"6-4","Nevada","11/3/1987","5",NA,"San Francisco 49ers / 2nd / 36th pick / 2011","$11,900,000"
"42",14,"Jeremy Kerley",28,"WR",14,12,188,"5-9","TCU","11/8/1988","5",NA,"New York Jets / 5th / 153rd pick / 2011","$760,000"
"43",67,"Daniel Kilgore",29,"OL",13,13,308,"6-3","Appalachian St.","12/18/1987","5",NA,"San Francisco 49ers / 5th / 163rd pick / 2011","$900,000"
"44",9,"Thaddeus Lewis",29,"QB",NA,NA,200,"6-0","Duke","11/19/1987","5",NA,"","$760,000"
"45",59,"Aaron Lynch",23,"DE",5,3,249,"6-5","South Florida","3/8/1993","2",NA,"San Francisco 49ers / 5th / 150th pick / 2014","$458,823"
"46",66,"Marcus Martin",23,"C",5,2,320,"6-3","USC","11/29/1993","2",NA,"San Francisco 49ers / 3rd / 70th pick / 2014","$635,000"
