"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",46,"Blue Adams",26,"",13,0,182,"5-9","Cincinnati","10/15/1979","2",1,"Detroit Lions / 7th / 220th pick / 2003"
"2",26,"Will Allen",23,"fs",13,8,202,"6-1","Ohio St.","6/17/1982","1",4,"Tampa Bay Buccaneers / 4th / 111th pick / 2004"
"3",40,"Mike Alstott",32,"fb",16,7,248,"6-1","Purdue","12/21/1973","9",2,"Tampa Bay Buccaneers / 2nd / 35th pick / 1996"
"4",20,"Ronde Barber*+",30,"RCB",16,16,184,"5-10","Virginia","4/7/1975","8",17,"Tampa Bay Buccaneers / 3rd / 66th pick / 1997"
"5",88,"Anthony Becht",28,"TE",16,16,272,"6-5","West Virginia","8/8/1977","5",1,"New York Jets / 1st / 27th pick / 2000"
"6",9,"Josh Bidwell*",29,"",16,0,220,"6-3","Oregon","3/13/1976","5",4,"Green Bay Packers / 4th / 133rd pick / 1999"
"7",21,"Juran Bolden",31,"db",16,2,207,"6-2","Mississippi Delta CC","6/27/1974","9",2,"Atlanta Falcons / 4th / 127th pick / 1996"
"8",91,"Jon Bradley",24,"",13,0,302,"6-1","Arkansas St.","1/13/1981","1",1,""
"9",55,"Derrick Brooks*+",32,"LB",16,16,235,"6-0","Florida St.","4/18/1973","10",16,"Tampa Bay Buccaneers / 1st / 28th pick / 1995"
"10",64,"Anthony Bryant",24,"",4,0,336,"6-3","Alabama","11/6/1981","Rook",0,"Tampa Bay Buccaneers / 6th / 178th pick / 2005"
"11",3,"Matt Bryant",30,"",15,0,200,"5-9","Baylor","5/29/1975","3",4,""
"12",72,"Dan Buenning",24,"LG",16,16,320,"6-4","Wisconsin","10/26/1981","Rook",7,"Tampa Bay Buccaneers / 4th / 107th pick / 2005"
"13",80,"Michael Clayton",23,"WR",14,10,197,"6-4","LSU","10/13/1982","1",3,"Tampa Bay Buccaneers / 1st / 15th pick / 2004"
"14",43,"Jameel Cook",26,"",16,0,237,"5-10","Illinois","2/8/1979","4",0,"Tampa Bay Buccaneers / 6th / 174th pick / 2001"
"15",58,"Marquis Cooper",23,"",12,0,215,"6-3","Washington","3/11/1982","1",1,"Tampa Bay Buccaneers / 3rd / 79th pick / 2004"
