"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",38,"Jude Adjei-Barimah",NA,"CB",10,1,200,"5-11","Bowling Green","","1",NA,"","$525,000"
"2",19,"Roberto Aguayo",22,"K",14,0,207,"6-0","Florida St.","5/17/1994","Rook",NA,"Tampa Bay Buccaneers / 2nd / 59th pick / 2016","$450,000"
"3",58,"Kwon Alexander",22,"OLB",14,14,227,"6-2","LSU","8/3/1994","1",NA,"Tampa Bay Buccaneers / 4th / 124th pick / 2015","$525,000"
"4",9,"Bryan Anger",28,"P",14,0,208,"6-3","California","10/6/1988","4",NA,"Jacksonville Jaguars / 3rd / 70th pick / 2012","$1,000,000"
"5",91,"Robert Ayers",31,"DE",10,9,273,"6-3","Tennessee","9/6/1985","7",NA,"Denver Broncos / 1st / 18th pick / 2009","$5,000,000"
"6",43,"Peyton Barber",22,"RB",13,1,225,"5-11","","6/27/1994","Rook",NA,"","$450,000"
"7",77,"Caleb Benenoch",22,"OT",4,1,305,"6-5","UCLA","8/8/1994","Rook",NA,"Tampa Bay Buccaneers / 5th / 148th pick / 2016","$450,000"
"8",59,"Devante Bond",23,"OLB",NA,NA,238,"6-1","Oklahoma","7/3/1993","Rook",NA,"Tampa Bay Buccaneers / 6th / 183rd pick / 2016","$450,000"
"9",84,"Cameron Brate",25,"TE",14,9,235,"6-5","Harvard","7/3/1991","2",NA,"","$600,000"
"10",78,"Gosder Cherilus",32,"T",13,3,315,"6-7","Boston Col.","6/28/1984","8",NA,"Detroit Lions / 1st / 17th pick / 2008","$3,000,000"
"11",23,"Chris Conte",27,"DB",12,11,197,"6-2","California","2/23/1989","5",NA,"Chicago Bears / 3rd / 93rd pick / 2011","$1,500,000"
"12",45,"Alan Cross",23,"TE",12,0,235,"6-1","","5/2/1993","Rook",NA,"","$397,050"
"13",54,"Lavonte David",26,"OLB",14,14,233,"6-1","Nebraska","1/23/1990","4",NA,"Tampa Bay Buccaneers / 2nd / 58th pick / 2012","$10,000,000"
"14",48,"Andrew DePaola",29,"LS",14,0,205,"6-2","Rutgers","7/28/1987","2",NA,"","$600,000"
"15",62,"Evan Dietrich-Smith",30,"G",9,1,297,"6-2","Idaho St.","7/19/1986","7",NA,"","$2,500,000"
"16",69,"Demar Dotson",31,"T",12,12,315,"6-9","Southern Mississippi","10/11/1985","7",NA,"","$1,750,000"
"17",17,"Donteea Dye",23,"WR",1,0,195,"6-0","Heidelberg","8/20/1993","1",NA,"","$123,528"
"18",35,"Javien Elliott",23,"CB",4,0,176,"5-11","","7/18/1993","Rook",NA,"","$158,820"
"19",13,"Mike Evans",23,"WR",14,14,231,"6-5","Texas A&M","8/21/1993","2",NA,"Tampa Bay Buccaneers / 1st / 7th pick / 2014","$600,000"
"20",92,"William Gholston",25,"DE",14,14,281,"6-6","Michigan St.","7/31/1991","3",NA,"Tampa Bay Buccaneers / 4th / 126th pick / 2013","$1,671,000"
"21",53,"Adarius Glanton",26,"LB",14,0,215,"6-1","Florida Atlantic","9/21/1990","2",NA,"","$600,000"
"22",8,"Mike Glennon",27,"QB",2,0,225,"6-7","North Carolina St.","12/12/1989","3",NA,"Tampa Bay Buccaneers / 3rd / 73rd pick / 2013","$1,517,719"
"23",72,"Ben Gottschalk",24,"C",2,1,293,"6-5","","2/15/1992","Rook",NA,"","$450,000"
"24",4,"Ryan Griffin",27,"QB",NA,NA,206,"6-5","Tulane","11/17/1989","3",NA,"","$600,000"
"25",24,"Brent Grimes",33,"DB",14,14,180,"5-10","Shippensburg","7/19/1983","9",NA,"","$3,500,000"
"26",28,"Vernon Hargreaves",21,"CB",14,14,204,"5-10","Florida","6/3/1995","Rook",NA,"Tampa Bay Buccaneers / 1st / 11th pick / 2016","$450,000"
