"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",56,"Erick Anderson",26,"",2,0,240,"6-1","Michigan","10/7/1968","1",0,"Kansas City Chiefs / 7th / 186th pick / 1992"
"2",34,"Martin Bayless",32,"SS",16,15,195,"6-2","Bowling Green","10/11/1962","10",6,"St. Louis Cardinals / 4th / 101st pick / 1984"
"3",36,"William Bell",23,"",7,0,214,"5-11","Georgia Tech","7/22/1971","Rook",0,""
"4",93,"Marc Boutte",25,"dt",9,3,307,"6-4","LSU","7/25/1969","2",1,"Los Angeles Rams / 3rd / 57th pick / 1992"
"5",21,"Deral Boykin",24,"",12,0,198,"5-11","Louisville","9/2/1970","1",1,"Los Angeles Rams / 6th / 149th pick / 1993"
"6",40,"Reggie Brooks",23,"rb",13,5,209,"5-8","Notre Dame","1/19/1971","1",2,"Washington Redskins / 2nd / 45th pick / 1993"
"7",67,"Ray Brown",32,"LG",16,16,318,"6-5","Memphis,Arkansas St.","12/12/1962","8",7,"St. Louis Cardinals / 8th / 201st pick / 1986"
"8",25,"Tom Carter",22,"LCB",16,16,185,"6-0","Notre Dame","9/5/1972","1",6,"Washington Redskins / 1st / 17th pick / 1993"
"9",51,"Monte Coleman",37,"",16,0,242,"6-2","Central Arkansas","11/4/1957","15",1,"Washington Redskins / 11th / 289th pick / 1979"
"10",55,"Andre Collins",26,"RLB",16,16,237,"6-1","Penn St.","5/4/1968","4",8,"Washington Redskins / 2nd / 46th pick / 1990"
"11",91,"Shane Collins",25,"",7,0,267,"6-3","Arizona St.","4/11/1969","2",1,"Washington Redskins / 2nd / 47th pick / 1992"
"12",24,"Pat Eilers",28,"",16,0,197,"5-11","Yale,Notre Dame","9/3/1966","4",1,""
"13",85,"Henry Ellard",33,"WR",16,16,180,"5-11","Fresno St.","7/21/1961","11",12,"Los Angeles Rams / 2nd / 32nd pick / 1983"
"14",32,"Ricky Ervins",26,"RB",16,10,195,"5-7","USC","12/7/1968","3",7,"Washington Redskins / 3rd / 76th pick / 1991"
"15",12,"Gus Frerotte",23,"qb",4,4,237,"6-3","Tulsa","7/31/1971","Rook",2,"Washington Redskins / 7th / 197th pick / 1994"
"16",17,"John Friesz",27,"qb",16,4,214,"6-4","Idaho","5/19/1967","4",4,"San Diego Chargers / 6th / 138th pick / 1990"
"17",75,"John Gesek",31,"C",15,12,282,"6-5","Sacramento St.","2/18/1963","7",5,"Los Angeles Raiders / 10th / 265th pick / 1987"
"18",54,"Kurt Gouveia",30,"lb",14,1,233,"6-1","BYU","9/14/1964","7",2,"Washington Redskins / 8th / 213th pick / 1986"
"19",26,"Alan Grant",28,"",13,0,187,"5-10","Stanford","10/1/1966","4",1,"Indianapolis Colts / 4th / 103rd pick / 1990"
"20",28,"Darrell Green",34,"RCB",16,16,184,"5-9","Texas A&M-Kingsville","2/15/1960","11",6,"Washington Redskins / 1st / 28th pick / 1983"
"21",56,"Rick Hamilton",24,"",1,0,241,"6-2","Central Florida","4/19/1970","1",0,"Washington Redskins / 3rd / 71st pick / 1993"
"22",57,"Ken Harvey*",29,"LLB",16,16,237,"6-2","California","5/6/1965","6",10,"Phoenix Cardinals / 1st / 12th pick / 1988"
"23",82,"Kurt Haws",25,"",6,0,248,"6-5","Utah","9/25/1969","Rook",0,"Washington Redskins / 4th / 105th pick / 1994"
"24",96,"Lamont Hollinquest",24,"",14,0,250,"6-3","USC","10/24/1970","1",1,"Washington Redskins / 8th / 212th pick / 1993"
"25",89,"Ethan Horton",32,"TE",16,15,235,"6-4","North Carolina","12/19/1962","9",1,"Kansas City Chiefs / 1st / 15th pick / 1985"
"26",80,"Desmond Howard",24,"WR",16,15,185,"5-10","Michigan","5/15/1970","2",6,"Washington Redskins / 1st / 4th pick / 1992"
"27",88,"James Jenkins",27,"te",16,3,243,"6-2","Rutgers","8/17/1967","3",0,""
"28",47,"A.J. Johnson",27,"",11,0,175,"5-8","Texas St.","6/22/1967","5",1,"Washington Redskins / 6th / 149th pick / 1989"
"29",78,"Tim Johnson",29,"RDT",14,13,275,"6-3","Penn St.","1/29/1965","7",5,"Pittsburgh Steelers / 6th / 141st pick / 1987"
"30",77,"Tre' Johnson",23,"g",14,1,328,"6-2","Temple","8/30/1971","Rook",1,"Washington Redskins / 2nd / 31st pick / 1994"
"31",79,"Jim Lachey",31,"LT",13,13,294,"6-6","Ohio St.","6/4/1963","9",5,"San Diego Chargers / 1st / 12th pick / 1985"
"32",8,"Chip Lohmiller",28,"K",16,0,213,"6-3","Minnesota","7/16/1966","6",2,"Washington Redskins / 2nd / 55th pick / 1988"
"33",70,"Leonard Marshall",33,"de",16,3,288,"6-3","LSU","10/22/1961","11",2,"New York Giants / 2nd / 37th pick / 1983"
"34",64,"Trevor Matich",33,"",16,0,277,"6-4","BYU","10/9/1961","9",1,"New England Patriots / 1st / 28th pick / 1985"
"35",20,"Alvoid Mays",28,"",2,0,180,"5-9","West Virginia","7/10/1966","4",0,"Houston Oilers / 8th / 217th pick / 1989"
"36",63,"Raleigh McKenzie",31,"RG",16,16,290,"6-2","Tennessee","2/8/1963","9",7,"Washington Redskins / 11th / 290th pick / 1985"
"37",72,"Lamar Mills",23,"de",13,4,270,"6-5","Indiana","1/26/1971","Rook",2,""
"38",30,"Brian Mitchell",26,"fb",16,7,225,"5-11","La-Lafayette","8/18/1968","4",6,"Washington Redskins / 5th / 130th pick / 1990"
"39",38,"Darryl Morrison",23,"FS",16,16,196,"5-11","Arizona","5/19/1971","1",6,"Washington Redskins / 6th / 155th pick / 1993"
"40",92,"Dexter Nottage",24,"de",15,1,287,"6-4","Florida A&M","11/14/1970","Rook",2,"Washington Redskins / 6th / 163rd pick / 1994"
"41",97,"Sterling Palmer",23,"RDE",16,16,256,"6-5","Florida St.","2/4/1971","1",6,"Washington Redskins / 4th / 101st pick / 1993"
"42",68,"Joe Patton",22,"",2,0,306,"6-5","Alabama A&M","1/15/1972","Rook",0,"Washington Redskins / 3rd / 97th pick / 1994"
