"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr."
"1",71,"Ethan Albright",34,"",16,0,283,"6-5","North Carolina","5/1/1971","10",1,""
"2",56,"LaVar Arrington",27,"LB",13,8,253,"6-3","Penn St.","6/20/1978","5",5,"Washington Redskins / 1st / 2nd pick / 2000"
"3",46,"Ladell Betts",26,"",12,0,222,"5-10","Iowa","8/27/1979","3",4,"Washington Redskins / 2nd / 56th pick / 2002"
"4",73,"Ryan Boschetti",24,"rdt",13,1,295,"6-4","UCLA","10/7/1981","1",2,""
"5",41,"Matt Bowen",29,"s",13,1,207,"6-1","Iowa","11/12/1976","5",1,"St. Louis Rams / 6th / 198th pick / 2000"
"6",30,"Nehemiah Broughton",23,"",4,0,250,"5-11","The Citadel","11/4/1982","Rook",0,"Washington Redskins / 7th / 222nd pick / 2005"
"7",82,"Antonio Brown",27,"",7,0,175,"5-10","West Virginia","3/3/1978","2",1,""
"8",67,"Ray Brown",43,"",15,2,318,"6-5","Memphis,Arkansas St.","12/12/1962","19",0,"St. Louis Cardinals / 8th / 201st pick / 1986"
"9",8,"Mark Brunell",35,"QB",16,15,217,"6-1","Washington","9/17/1970","11",11,"Green Bay Packers / 5th / 118th pick / 1993"
"10",50,"Khary Campbell",26,"",15,0,230,"6-3","Bowling Green","4/4/1979","3",1,""
"11",31,"Rock Cartwright",26,"",16,0,223,"5-7","Kansas St.","12/3/1979","3",2,"Washington Redskins / 7th / 257th pick / 2002"
"12",25,"Ryan Clark",26,"SS",13,13,200,"5-11","LSU","10/12/1979","3",7,""
"13",58,"Chris Clemons",24,"lb",14,1,234,"6-3","Georgia","10/30/1981","1",2,""
"14",90,"Nic Clemons",25,"",8,0,298,"6-6","Georgia","2/3/1980","Rook",0,""
"15",47,"Chris Cooley",23,"RB",16,16,252,"6-3","Utah St.","7/11/1982","1",7,"Washington Redskins / 3rd / 81st pick / 2004"
"16",93,"Phillip Daniels",32,"DE",16,16,290,"6-3","Georgia","3/4/1973","9",10,"Seattle Seahawks / 4th / 99th pick / 1996"
"17",66,"Derrick Dockery",25,"LG",16,16,345,"6-6","Texas","9/7/1980","2",8,"Washington Redskins / 3rd / 81st pick / 2003"
"18",92,"Demetric Evans",26,"ldt",16,3,289,"6-3","Georgia","9/3/1979","4",4,""
"19",86,"Jimmy Farris",27,"",4,0,200,"6-0","Montana","4/13/1978","2",0,""
"20",64,"Lennie Friedman",29,"",10,0,283,"6-3","Duke","10/13/1976","5",1,"Denver Broncos / 2nd / 61st pick / 1999"
"21",4,"Derrick Frost",25,"",14,0,200,"6-4","Northern Iowa","11/25/1980","1",1,""
"22",96,"Cornelius Griffin",29,"LDT",13,12,300,"6-3","Alabama","12/3/1976","5",8,"New York Giants / 2nd / 42nd pick / 2000"
"23",2,"Andy Groom",26,"",2,0,196,"6-0","Ohio St.","9/10/1979","Rook",0,""
"24",10,"John Hall",31,"",10,0,240,"6-3","Wisconsin","3/17/1974","8",3,""
"25",27,"Walt Harris",31,"LCB",13,12,192,"5-11","Mississippi St.","8/10/1974","9",6,"Chicago Bears / 1st / 13th pick / 1996"
"26",57,"Warrick Holdman",30,"lb",14,7,234,"6-1","Texas A&M","11/22/1975","6",4,"Chicago Bears / 4th / 106th pick / 1999"
"27",84,"Taylor Jacobs",24,"wr",15,3,198,"6-0","Florida","5/30/1981","2",1,"Washington Redskins / 2nd / 44th pick / 2003"
"28",76,"Jon Jansen",29,"RT",16,16,305,"6-6","Michigan","1/28/1976","6",13,"Washington Redskins / 2nd / 37th pick / 1999"
"29",32,"Ade Jimoh",25,"",16,0,190,"6-1","Utah St.","4/18/1980","2",1,""
"30",87,"Robert Johnson",25,"",2,0,270,"6-6","Auburn","6/20/1980","2",0,""
"31",94,"Aki Jones",23,"",4,0,295,"6-4","Fordham","5/21/1982","Rook",0,""
"32",55,"Zak Keasey",23,"",1,0,240,"6-0","Princeton","3/19/1982","Rook",0,""
"33",91,"Cedric Killings",28,"ldt",10,1,290,"6-2","Carson-Newman","12/14/1977","5",2,""
"34",85,"Brian Kozlowski",35,"",16,0,250,"6-3","Connecticut","10/4/1970","11",0,""
"35",98,"Lemar Marshall",29,"MLB",16,16,227,"6-2","Michigan St.","12/17/1976","3",11,""
"36",59,"Robert McCune",26,"",5,0,243,"6-0","Louisville","3/9/1979","Rook",0,"Washington Redskins / 5th / 154th pick / 2005"
"37",69,"Jim Molinaro",24,"",3,0,310,"6-6","Notre Dame","4/27/1981","1",0,"Washington Redskins / 6th / 180th pick / 2004"
"38",35,"Christian Morton",24,"",1,0,180,"6-0","Illinois","4/28/1981","1",0,"New England Patriots / 7th / 233rd pick / 2004"
