"","No.","Player.","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"1",92,"Chris Baker",29,"DT",14,14,298,"6-2","Hampton","10/8/1987","7",NA,"","$2,700,000"
"2",96,"Houston Bates",26,"OLB",14,0,245,"6-1","Louisiana Tech","12/20/1990","1",NA,"","$525,000"
"3",41,"Will Blackmon",32,"DB",13,5,200,"6-0","Boston Col.","10/27/1984","10",NA,"Green Bay Packers / 4th / 115th pick / 2006","$900,000"
"4",72,"Kevin Bowen",23,"T",NA,NA,335,"6-9","","3/7/1993","Rook",NA,"","$333,000"
"5",26,"Bashaud Breeland",24,"CB",12,12,197,"5-11","Clemson","1/30/1992","2",NA,"Washington Redskins / 4th / 102nd pick / 2014","$600,000"
"6",34,"Mack Brown",25,"RB",7,0,215,"5-11","","9/24/1991","Rook",NA,"","$450,000"
"7",89,"Derek Carrier",26,"WR",6,0,238,"6-3","Beloit","7/25/1990","4",NA,"","$800,000"
"8",51,"William Compton",27,"LB",13,13,230,"6-2","Nebraska","9/19/1989","3",NA,"","$600,000"
"9",8,"Kirk Cousins",28,"QB",14,14,214,"6-3","Michigan St.","8/19/1988","4",NA,"Washington Redskins / 4th / 102nd pick / 2012","$19,953,000"
"10",36,"Su'a Cravens",21,"OLB",11,3,226,"6-1","USC","7/7/1995","Rook",NA,"Washington Redskins / 2nd / 53rd pick / 2016","$450,000"
"11",80,"Jamison Crowder",23,"WR",14,7,174,"5-8","Duke","6/17/1993","1",NA,"Washington Redskins / 4th / 105th pick / 2015","$525,000"
"12",53,"Steven Daniels",24,"ILB",NA,NA,243,"5-11","Boston Col.","12/12/1992","Rook",NA,"Washington Redskins / 7th / 232nd pick / 2016","$333,000"
"13",85,"Vernon Davis",32,"TE",14,12,250,"6-3","Maryland","1/31/1984","10",NA,"San Francisco 49ers / 1st / 6th pick / 2006","$1,350,000"
"14",17,"Reggie Diggs",23,"WR",NA,NA,215,"6-4","","5/8/1993","Rook",NA,"","$333,000"
"15",18,"Josh Doctson",24,"WR",2,0,202,"6-2","TCU,Wyoming","12/3/1992","Rook",NA,"Washington Redskins / 1st / 22nd pick / 2016","$450,000"
"16",47,"Quinton Dunbar",24,"WR",14,2,201,"6-2","Florida","7/22/1992","1",NA,"","$525,000"
"17",22,"Deshazor Everett",24,"CB",14,0,193,"6-0","Texas A&M","2/22/1992","1",NA,"","$525,000"
"18",54,"Mason Foster",27,"LB",14,11,241,"6-1","Washington","3/1/1989","5",NA,"Tampa Bay Buccaneers / 3rd / 84th pick / 2011","$925,000"
"19",38,"Kendall Fuller",21,"CB",11,6,197,"6-0","Virginia Tech","2/13/1995","Rook",NA,"Washington Redskins / 3rd / 84th pick / 2016","$450,000"
"20",58,"Junior Galette",28,"DE",NA,NA,257,"6-2","Temple,Stillman","3/27/1988","6",NA,"","$1,000,000"
"21",88,"Pierre Garcon",30,"WR",14,14,210,"6-0","Mount Union","8/8/1986","8",NA,"Indianapolis Colts / 6th / 205th pick / 2008","$7,600,000"
"22",52,"Terence Garvin",25,"LB",14,0,221,"6-3","West Virginia","1/1/1991","3",NA,"","$675,000"
"23",64,"Kedric Golston",33,"DT",2,2,301,"6-4","Georgia","5/30/1983","10",NA,"Washington Redskins / 6th / 196th pick / 2006","$985,000"
"24",14,"Ryan Grant",26,"WR",14,1,199,"6-0","Tulane","12/19/1990","2",NA,"Washington Redskins / 5th / 142nd pick / 2014","$600,000"
"25",23,"DeAngelo Hall",33,"DB",3,3,197,"5-10","Virginia Tech","11/19/1983","12",NA,"Atlanta Falcons / 1st / 8th pick / 2004","$4,250,000"
"26",13,"Maurice Harris",24,"WR",8,0,200,"6-3","","11/11/1992","Rook",NA,"","$450,000"
"27",73,"Evander Hood",29,"DT",14,12,298,"6-3","Missouri","2/16/1987","7",NA,"Pittsburgh Steelers / 1st / 32nd pick / 2009","$885,000"
"28",3,"Dustin Hopkins",26,"K",14,0,206,"6-2","Florida St.","10/1/1990","3",NA,"Buffalo Bills / 6th / 177th pick / 2013","$600,000"
"29",29,"Duke Ihenacho",27,"S",13,8,212,"6-0","San Jose St.","6/16/1989","4",NA,"","$675,000"
"30",98,"Matthew Ioannidis",22,"DT",8,0,299,"6-3","Temple","1/11/1994","Rook",NA,"Washington Redskins / 5th / 152nd pick / 2016","$397,058"
"31",11,"DeSean Jackson",30,"WR",13,13,178,"5-10","California","12/1/1986","8",NA,"Philadelphia Eagles / 2nd / 49th pick / 2008","$3,750,000"
"32",99,"Ricky Jean-Francois",30,"DT",14,6,295,"6-3","LSU","11/23/1986","7",NA,"San Francisco 49ers / 7th / 244th pick / 2009","$2,000,000"
"33",68,"Cullen Jenkins",35,"DT",13,0,292,"6-3","Central Michigan","1/20/1981","12",NA,"","$927,058"
"34",31,"Matt Jones",23,"RB",7,7,235,"6-1","Florida","7/3/1993","1",NA,"Washington Redskins / 3rd / 95th pick / 2015","$539,000"
"35",22,"Robert Kelley",24,"RB",12,7,228,"6-0","Tulane","10/3/1992","Rook",NA,"","$450,000"
"36",91,"Ryan Kerrigan",28,"DE",14,14,255,"6-3","Purdue","8/16/1988","5",NA,"Washington Redskins / 1st / 16th pick / 2011","$5,000,000"
"37",74,"Arie Kouandjio",24,"OG",4,2,318,"6-5","Alabama","4/23/1992","1",NA,"Washington Redskins / 4th / 112th pick / 2015","$525,000"
"38",72,"Anthony Lanier",23,"DE",4,0,282,"6-6","","5/8/1993","Rook",NA,"","$450,000"
"39",77,"Shawn Lauvao",29,"G",12,12,301,"6-3","Arizona St.","10/26/1987","6",NA,"Cleveland Browns / 3rd / 92nd pick / 2010","$4,000,000"
"40",78,"Kory Lichtensteiger",31,"C",4,3,296,"6-3","Bowling Green","3/22/1985","8",NA,"Denver Broncos / 4th / 108th pick / 2008","$2,000,000"
"41",61,"Spencer Long",26,"OG",13,10,320,"6-5","Nebraska","11/8/1990","2",NA,"Washington Redskins / 3rd / 78th pick / 2014","$600,000"
"42",39,"Keith Marshall",22,"RB",NA,NA,219,"5-11","Georgia","2/16/1994","Rook",NA,"Washington Redskins / 7th / 242nd pick / 2016","$333,000"
