"","X","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr.","team_abbr","year"
"1",2,"QB","Steve Grogan",22,"Rook",7,"139 for 274, 1,976 yards, 11 td, 18 int, & 30 rushes for 110 yards and 3 td","New England Patriots / 5th / 116th pick / 1975","nwe",1975
"2",3,"RB","Andy Johnson",23,"1",9,"117 rushes for 488 yards, 3 td, & 26 catches for 294 yards and 1 td","New England Patriots / 5th / 112th pick / 1974","nwe",1975
"3",4,"FB","Sam Cunningham",25,"2",13,"169 rushes for 666 yards, 6 td, & 32 catches for 253 yards and 2 td","New England Patriots / 1st / 11th pick / 1973","nwe",1975
"4",5,"WR","Darryl Stingley",24,"2",14,"21 catches for 378 yards, 2 td, & 6 rushes for 39 yards and 0 td","New England Patriots / 1st / 19th pick / 1973","nwe",1975
"5",6,"WR","Randy Vataha",27,"4",14,"46 catches for 720 yards, 6 td, & 1 rush for 4 yards and 0 td","Los Angeles Rams / 17th / 418th pick / 1971","nwe",1975
"6",7,"TE","Russ Francis",22,"Rook",11,"35 catches for 636 yards, 4 td","New England Patriots / 1st / 16th pick / 1975","nwe",1975
"7",8,"LT","Leon Gray",24,"2",14,"2 fumbles recovered","Miami Dolphins / 3rd / 78th pick / 1973","nwe",1975
"8",9,"LG","John Hannah",24,"2",14,"","New England Patriots / 1st / 4th pick / 1973","nwe",1975
"9",10,"C","Bill Lenkaitis",29,"7",11,"2 fumbles recovered","San Diego Chargers / 2nd / 43rd pick / 1968","nwe",1975
"10",11,"RG","Sam Adams",27,"3",13,"","","nwe",1975
"11",12,"RT","Shelby Jordan",23,"Rook",14,"2 fumbles recovered","Houston Oilers / 7th / 157th pick / 1973","nwe",1975
"12",14,"LDE","Tony McGee",26,"4",10,"","Chicago Bears / 3rd / 64th pick / 1971","nwe",1975
"13",15,"NT","Ray Hamilton",24,"2",14,"0 interceptions, 2 fumbles recovered","New England Patriots / 14th / 342nd pick / 1973","nwe",1975
"14",16,"RDE","Julius Adams",27,"4",8,"","New England Patriots / 2nd / 27th pick / 1971","nwe",1975
"15",17,"LOLB","George Webster",30,"8",10,"1 interception, 0 fumbles recovered","Houston Oilers / 1st / 5th pick / 1967","nwe",1975
"16",18,"LILB","Steve Nelson",24,"1",14,"2 interceptions, 0 fumbles recovered","New England Patriots / 2nd / 34th pick / 1974","nwe",1975
"17",19,"RILB","Sam Hunt",24,"1",13,"0 interceptions, 3 fumbles recovered","New England Patriots / 15th / 374th pick / 1974","nwe",1975
"18",20,"ROLB","Steve Zabel",27,"5",9,"0 interceptions, 1 fumble recovered","Philadelphia Eagles / 1st / 6th pick / 1970","nwe",1975
"19",21,"LCB","Bob Howard",31,"8",14,"3 interceptions, 1 fumble recovered","San Diego Chargers / 2nd / 48th pick / 1967","nwe",1975
"20",22,"RCB","Ron Bolton",25,"3",13,"5 interceptions, 0 fumbles recovered","New England Patriots / 5th / 124th pick / 1972","nwe",1975
"21",23,"SS","Prentice McCray",24,"1",14,"","Detroit Lions / 8th / 200th pick / 1973","nwe",1975
"22",24,"FS","John Sanders",25,"1",14,"1 interception, 4 fumbles recovered","","nwe",1975
"23",26,"K","John Smith",26,"1",0,"9 of 17 field goals & 33 of 33 extra points","","nwe",1975
"24",27,"P","Mike Patrick",23,"Rook",0,"83 punts for a 38.8 average, 0 blocked","","nwe",1975
"25",28,"PR","Darryl Stingley",24,"2",14,"15 punt returns for a 7.5 average and 0 td","New England Patriots / 1st / 19th pick / 1973","nwe",1975
"26",29,"KR","Allen Carter",23,"Rook",0,"32 kick returns for a 27.5 average and 1 td","New England Patriots / 4th / 86th pick / 1975","nwe",1975
"27",2,"QB","Steve Grogan",23,"1",14,"145 for 302, 1,903 yards, 18 td, 20 int, & 60 rushes for 397 yards and 12 td","New England Patriots / 5th / 116th pick / 1975","nwe",1976
"28",3,"RB","Andy Johnson",24,"2",13,"169 rushes for 699 yards, 6 td, & 29 catches for 343 yards and 4 td","New England Patriots / 5th / 112th pick / 1974","nwe",1976
"29",4,"FB","Sam Cunningham",26,"3",11,"172 rushes for 824 yards, 3 td, & 27 catches for 299 yards and 0 td","New England Patriots / 1st / 11th pick / 1973","nwe",1976
"30",5,"WR","Darryl Stingley",25,"3",13,"17 catches for 370 yards, 4 td, & 8 rushes for 45 yards and 0 td","New England Patriots / 1st / 19th pick / 1973","nwe",1976
"31",6,"WR","Randy Vataha",28,"5",8,"11 catches for 192 yards, 1 td","Los Angeles Rams / 17th / 418th pick / 1971","nwe",1976
"32",7,"TE","Russ Francis*",23,"1",12,"26 catches for 367 yards, 3 td, & 2 rushes for 12 yards and 0 td","New England Patriots / 1st / 16th pick / 1975","nwe",1976
"33",8,"LT","Leon Gray*",25,"3",14,"1 fumble recovered","Miami Dolphins / 3rd / 78th pick / 1973","nwe",1976
"34",9,"LG","John Hannah*+",25,"3",14,"","New England Patriots / 1st / 4th pick / 1973","nwe",1976
"35",10,"C","Bill Lenkaitis",30,"8",14,"","San Diego Chargers / 2nd / 43rd pick / 1968","nwe",1976
"36",11,"RG","Sam Adams",28,"4",14,"","","nwe",1976
"37",12,"RT","Bob McKay",29,"6",14,"","Cleveland Browns / 1st / 21st pick / 1970","nwe",1976
"38",14,"LDE","Tony McGee",27,"5",13,"","Chicago Bears / 3rd / 64th pick / 1971","nwe",1976
"39",15,"NT","Ray Hamilton",25,"3",14,"0 interceptions, 2 fumbles recovered","New England Patriots / 14th / 342nd pick / 1973","nwe",1976
"40",16,"RDE","Julius Adams",28,"5",14,"","New England Patriots / 2nd / 27th pick / 1971","nwe",1976
"41",17,"LOLB","Steve Zabel",28,"6",14,"0 interceptions, 3 fumbles recovered","Philadelphia Eagles / 1st / 6th pick / 1970","nwe",1976
"42",18,"LILB","Steve Nelson",25,"2",10,"2 interceptions, 3 fumbles recovered","New England Patriots / 2nd / 34th pick / 1974","nwe",1976
"43",19,"RILB","Sam Hunt",25,"2",12,"2 interceptions, 2 fumbles recovered","New England Patriots / 15th / 374th pick / 1974","nwe",1976
"44",20,"ROLB","Steve King",25,"3",7,"","","nwe",1976
"45",21,"LCB","Bob Howard",32,"9",14,"3 interceptions, 0 fumbles recovered","San Diego Chargers / 2nd / 48th pick / 1967","nwe",1976
"46",22,"RCB","Mike Haynes*",23,"Rook",14,"8 interceptions, 3 fumbles recovered","New England Patriots / 1st / 5th pick / 1976","nwe",1976
"47",23,"SS","Prentice McCray",25,"2",14,"5 interceptions, 2 fumbles recovered","Detroit Lions / 8th / 200th pick / 1973","nwe",1976
"48",24,"FS","Tim Fox",23,"Rook",13,"3 interceptions, 4 fumbles recovered","New England Patriots / 1st / 21st pick / 1976","nwe",1976
"49",26,"K","John Smith",27,"2",0,"15 of 25 field goals & 42 of 46 extra points","","nwe",1976
"50",27,"P","Mike Patrick",24,"1",0,"67 punts for a 40.1 average, 0 blocked","","nwe",1976
"51",28,"PR","Mike Haynes*",23,"Rook",14,"45 punt returns for a 13.5 average and 2 td","New England Patriots / 1st / 5th pick / 1976","nwe",1976
"52",29,"KR","Jess Phillips",29,"8",0,"14 kick returns for a 28.4 average and 0 td","Cincinnati Bengals / 4th / 84th pick / 1968","nwe",1976
"53",2,"QB","Steve Grogan",24,"2",14,"160 for 305, 2,162 yards, 17 td, 21 int, & 61 rushes for 324 yards and 1 td","New England Patriots / 5th / 116th pick / 1975","nwe",1977
