"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Chris Chandler*",32,"9",14,"202 for 342, 2,692 yards, 20 td, 7 int, & 43 rushes for 158 yards and 0 td","Indianapolis Colts / 3rd / 76th pick / 1988"
"3","RB","Jamal Anderson",25,"3",15,"290 rushes for 1,002 yards, 7 td, & 29 catches for 284 yards and 3 td","Atlanta Falcons / 7th / 201st pick / 1994"
"4","FB","Bob Christian",29,"5",12,"7 rushes for 8 yards, 0 td, & 22 catches for 154 yards and 1 td","Atlanta Falcons / 12th / 310th pick / 1991"
"5","WR","Bert Emanuel",27,"3",16,"65 catches for 991 yards, 9 td","Atlanta Falcons / 2nd / 45th pick / 1994"
"6","WR","Terance Mathis",30,"7",16,"62 catches for 802 yards, 6 td, & 3 rushes for 35 yards and 0 td","New York Jets / 6th / 140th pick / 1990"
"7","TE","O.J. Santiago",23,"Rook",11,"17 catches for 217 yards, 2 td","Atlanta Falcons / 3rd / 70th pick / 1997"
"8","LT","Bob Whitfield",26,"5",16,"","Atlanta Falcons / 1st / 8th pick / 1992"
"9","LG","Robbie Tobeck",27,"3",15,"1 fumble recovered",""
"10","C","Calvin Collins",23,"Rook",13,"","Atlanta Falcons / 6th / 180th pick / 1997"
"11","RG","Gene Williams",29,"6",15,"2 fumbles recovered","Miami Dolphins / 5th / 121st pick / 1991"
"12","RT","Matt Willig",28,"4",13,"",""
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Lester Archambeau",30,"7",16,"8.5 sacks, 1 interception, 3 fumbles recovered","Green Bay Packers / 7th / 186th pick / 1990"
"15","LDT","Travis Hall",25,"2",16,"10.5 sacks, 0 interceptions, 1 fumble recovered","Atlanta Falcons / 6th / 181st pick / 1995"
"16","RDT","Dan Owens",30,"7",15,"8.0 sacks, 1 interception, 1 fumble recovered","Detroit Lions / 2nd / 35th pick / 1990"
"17","RDE","Chuck Smith",28,"5",15,"12.0 sacks, 1 interception, 0 fumbles recovered","Atlanta Falcons / 2nd / 51st pick / 1992"
"18","LLB","Cornelius Bennett",32,"10",16,"7.0 sacks, 0 interceptions, 1 fumble recovered","Indianapolis Colts / 1st / 2nd pick / 1987"
"19","MLB","Jessie Tuggle*",32,"10",15,"1.5 sacks, 0 interceptions, 0 fumbles recovered",""
"20","RLB","Henri Crockett",23,"Rook",10,"2.0 sacks, 0 interceptions, 1 fumble recovered","Atlanta Falcons / 4th / 100th pick / 1997"
"21","LCB","Ray Buchanan",26,"4",16,"0.0 sacks, 5 interceptions, 0 fumbles recovered","Indianapolis Colts / 3rd / 65th pick / 1993"
"22","RCB","Ronnie Bradford",27,"4",14,"0.0 sacks, 4 interceptions, 0 fumbles recovered","Miami Dolphins / 4th / 105th pick / 1993"
"23","SS","William White",31,"9",16,"0.0 sacks, 1 interception, 0 fumbles recovered","Detroit Lions / 4th / 85th pick / 1988"
"24","FS","Devin Bush",24,"2",16,"0.0 sacks, 1 interception, 1 fumble recovered","Atlanta Falcons / 1st / 26th pick / 1995"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Morten Andersen",37,"15",0,"23 of 27 field goals & 35 of 35 extra points","New Orleans Saints / 4th / 86th pick / 1982"
"27","P","Dan Stryzinski",32,"7",0,"89 punts for a 39.3 average, 0 blocked",""
"28","PR","Todd Kinchen",28,"5",0,"52 punt returns for a 8.6 average and 0 td","Los Angeles Rams / 3rd / 60th pick / 1992"
"29","KR","Byron Hanspard",21,"Rook",0,"40 kick returns for a 24.7 average and 2 td","Atlanta Falcons / 2nd / 41st pick / 1997"
