"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Matt Ryan",30,"7",16,"407 for 614, 4,591 yards, 21 td, 16 int, & 36 rushes for 63 yards and 0 td","Atlanta Falcons / 1st / 3rd pick / 2008"
"3","RB","Devonta Freeman*",23,"1",13,"265 rushes for 1,056 yards, 11 td, & 73 catches for 578 yards and 3 td","Atlanta Falcons / 4th / 103rd pick / 2014"
"4","WR","Julio Jones*+",26,"4",16,"136 catches for 1,871 yards, 8 td","Atlanta Falcons / 1st / 6th pick / 2011"
"5","WR","Roddy White",34,"10",16,"43 catches for 506 yards, 1 td","Atlanta Falcons / 1st / 27th pick / 2005"
"6","TE","Jacob Tamme",30,"7",8,"59 catches for 657 yards, 1 td","Indianapolis Colts / 4th / 127th pick / 2008"
"7","TE","Levine Toilolo",24,"2",15,"7 catches for 44 yards, 0 td","Atlanta Falcons / 4th / 133rd pick / 2013"
"8","LT","Jake Matthews",23,"1",16,"1 fumble recovered","Atlanta Falcons / 1st / 6th pick / 2014"
"9","LG","Andy Levitre",29,"6",16,"","Buffalo Bills / 2nd / 51st pick / 2009"
"10","C","Michael Person",27,"4",14,"","San Francisco 49ers / 7th / 239th pick / 2011"
"11","RG","Chris Chester",32,"9",16,"","Baltimore Ravens / 2nd / 56th pick / 2006"
"12","RT","Ryan Schraeder",27,"2",16,"1 fumble recovered",""
"13","","Defensive Starters",NA,"",NA,"",""
"14","DE","Vic Beasley",23,"Rook",16,"","Atlanta Falcons / 1st / 8th pick / 2015"
"15","DE","Tyson Jackson",29,"6",12,"","Kansas City Chiefs / 1st / 3rd pick / 2009"
"16","DT","Ra'Shede Hageman",25,"1",11,"","Atlanta Falcons / 2nd / 37th pick / 2014"
"17","NT","Paul Soliai",32,"8",10,"0.0 sacks, 0 interceptions, 1 fumble recovered","Miami Dolphins / 4th / 108th pick / 2007"
"18","LB","Justin Durant",30,"8",12,"","Jacksonville Jaguars / 2nd / 48th pick / 2007"
"19","LB","O'Brien Schofield",28,"5",11,"","Arizona Cardinals / 4th / 130th pick / 2010"
"20","LB","Paul Worrilow",25,"2",14,"",""
"21","CB","Robert Alford",27,"2",15,"0.0 sacks, 2 interceptions, 1 fumble recovered","Atlanta Falcons / 2nd / 60th pick / 2013"
"22","CB","Desmond Trufant*",25,"2",16,"1.0 sacks, 1 interception, 2 fumbles recovered","Atlanta Falcons / 1st / 22nd pick / 2013"
"23","S","Ricardo Allen",24,"1",14,"1.0 sacks, 3 interceptions, 1 fumble recovered","Atlanta Falcons / 5th / 147th pick / 2014"
"24","S","William Moore",30,"6",11,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Atlanta Falcons / 2nd / 55th pick / 2009"
