"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Jim Kelly",26,"Rook",16,"285 for 480, 3,593 yards, 22 td, 17 int, & 41 rushes for 199 yards and 0 td","Buffalo Bills / 1st / 14th pick / 1983"
"3","RB","Robb Riddick",29,"5",8,"150 rushes for 632 yards, 4 td, & 49 catches for 468 yards and 1 td","Buffalo Bills / 9th / 241st pick / 1981"
"4","FB","Ricky Moore",23,"Rook",8,"33 rushes for 104 yards, 1 td, & 23 catches for 184 yards and 0 td","San Francisco 49ers / 3rd / 75th pick / 1985"
"5","WR","Chris Burkett",24,"1",10,"34 catches for 778 yards, 4 td","Buffalo Bills / 2nd / 42nd pick / 1985"
"6","WR","Andre Reed",22,"1",15,"53 catches for 739 yards, 7 td, & 3 rushes for -8 yards and 0 td","Buffalo Bills / 4th / 86th pick / 1985"
"7","TE","Pete Metzelaars",26,"4",16,"49 catches for 485 yards, 3 td","Seattle Seahawks / 3rd / 75th pick / 1982"
"8","LT","Ken Jones",34,"10",12,"","Buffalo Bills / 2nd / 45th pick / 1976"
"9","LG","Jim Ritcher",28,"6",16,"1 fumble recovered","Buffalo Bills / 1st / 16th pick / 1980"
"10","C","Kent Hull",25,"Rook",16,"",""
"11","RG","Will Wolford",22,"Rook",16,"","Buffalo Bills / 1st / 20th pick / 1986"
"12","RT","Joe Devlin",32,"10",16,"","Buffalo Bills / 2nd / 52nd pick / 1976"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Sean McNanie",25,"2",16,"6.5 sacks, 0 interceptions, 1 fumble recovered","Buffalo Bills / 3rd / 79th pick / 1984"
"15","NT","Fred Smerlas",29,"7",16,"2.0 sacks, 1 interception, 0 fumbles recovered","Buffalo Bills / 2nd / 32nd pick / 1979"
"16","RDE","Bruce Smith",23,"1",15,"15.0 sacks, 0 interceptions, 0 fumbles recovered","Buffalo Bills / 1st / 1st pick / 1985"
"17","LOLB","Darryl Talley",26,"3",16,"3.0 sacks, 0 interceptions, 1 fumble recovered","Buffalo Bills / 2nd / 39th pick / 1983"
"18","LILB","Eugene Marve",26,"4",16,"2.5 sacks, 0 interceptions, 0 fumbles recovered","Buffalo Bills / 3rd / 59th pick / 1982"
"19","RILB","George Cumby",30,"6",8,"1.0 sacks, 0 interceptions, 1 fumble recovered","Green Bay Packers / 1st / 26th pick / 1980"
"20","ROLB","Lucius Sanford",30,"8",8,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Buffalo Bills / 4th / 89th pick / 1978"
"21","LCB","Rodney Bellinger",24,"2",9,"0.0 sacks, 1 interception, 4 fumbles recovered","Buffalo Bills / 3rd / 77th pick / 1984"
"22","RCB","Charles Romes",32,"9",16,"0.0 sacks, 4 interceptions, 1 fumble recovered","Buffalo Bills / 12th / 309th pick / 1977"
"23","SS","Martin Bayless",24,"2",15,"1.0 sacks, 1 interception, 0 fumbles recovered","St. Louis Cardinals / 4th / 101st pick / 1984"
"24","FS","Steve Freeman",33,"11",16,"0.0 sacks, 1 interception, 0 fumbles recovered","New England Patriots / 5th / 117th pick / 1975"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Scott Norwood",26,"1",0,"17 of 27 field goals & 32 of 34 extra points",""
"27","P","John Kidd",25,"2",0,"75 punts for a 40.4 average, 0 blocked","Buffalo Bills / 5th / 128th pick / 1984"
"28","PR","Ron Pitts",24,"Rook",0,"18 punt returns for a 10.8 average and 1 td","Buffalo Bills / 7th / 169th pick / 1985"
"29","KR","Ronnie Harmon",22,"Rook",2,"18 kick returns for a 17.8 average and 0 td","Buffalo Bills / 1st / 16th pick / 1986"
