"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Tyrod Taylor*",26,"4",14,"242 for 380, 3,035 yards, 20 td, 6 int, & 104 rushes for 568 yards and 4 td","Baltimore Ravens / 6th / 180th pick / 2011"
"3","RB","LeSean McCoy*",27,"6",12,"203 rushes for 895 yards, 3 td, & 32 catches for 292 yards and 2 td","Philadelphia Eagles / 2nd / 53rd pick / 2009"
"4","FB","Jerome Felton",29,"7",8,"1 rush for 2 yards, 0 td, & 1 catch for 12 yards and 0 td","Detroit Lions / 5th / 146th pick / 2008"
"5","WR","Sammy Watkins",22,"1",13,"60 catches for 1,047 yards, 9 td, & 1 rush for 1 yards and 0 td","Buffalo Bills / 1st / 4th pick / 2014"
"6","WR","Robert Woods",23,"2",9,"47 catches for 552 yards, 3 td, & 1 rush for 0 yards and 0 td","Buffalo Bills / 2nd / 41st pick / 2013"
"7","TE","Charles Clay",26,"4",13,"51 catches for 528 yards, 3 td","Miami Dolphins / 6th / 174th pick / 2011"
"8","LT","Cordy Glenn",26,"3",16,"2 fumbles recovered","Buffalo Bills / 2nd / 41st pick / 2012"
"9","LG","Richie Incognito*",32,"9",16,"","St. Louis Rams / 3rd / 81st pick / 2005"
"10","C","Eric Wood*",29,"6",16,"2 fumbles recovered","Buffalo Bills / 1st / 28th pick / 2009"
"11","RG","John Miller",22,"Rook",12,"","Buffalo Bills / 3rd / 81st pick / 2015"
"12","RT","Seantrel Henderson",23,"1",10,"","Buffalo Bills / 7th / 237th pick / 2014"
"13","","Defensive Starters",NA,"",NA,"",""
"14","DE","Jerry Hughes",27,"5",16,"","Indianapolis Colts / 1st / 31st pick / 2010"
"15","DE","Mario Williams",30,"9",15,"","Houston Texans / 1st / 1st pick / 2006"
"16","DT","Corbin Bryant",27,"4",10,"",""
"17","DT","Marcell Dareus",25,"4",15,"","Buffalo Bills / 1st / 3rd pick / 2011"
"18","MLB","Preston Brown",23,"1",16,"0.0 sacks, 2 interceptions, 1 fumble recovered","Buffalo Bills / 3rd / 73rd pick / 2014"
"19","LB","Nigel Bradham",26,"3",11,"","Buffalo Bills / 4th / 105th pick / 2012"
"20","LB","Manny Lawson",31,"9",14,"","San Francisco 49ers / 1st / 22nd pick / 2006"
"21","LCB","Ronald Darby",21,"Rook",15,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Buffalo Bills / 2nd / 50th pick / 2015"
"22","RCB","Stephon Gilmore",25,"3",12,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Buffalo Bills / 1st / 10th pick / 2012"
"23","S","Corey Graham",30,"8",16,"1.0 sacks, 2 interceptions, 2 fumbles recovered","Chicago Bears / 5th / 168th pick / 2007"
"24","S","Bacarri Rambo",25,"2",8,"1.0 sacks, 1 interception, 1 fumble recovered","Washington Redskins / 6th / 191st pick / 2013"
