"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Kerry Collins*",24,"1",12,"204 for 364, 2,454 yards, 14 td, 9 int, & 32 rushes for 38 yards and 0 td","Carolina Panthers / 1st / 5th pick / 1995"
"3","RB","Anthony Johnson",29,"6",11,"300 rushes for 1,120 yards, 6 td, & 26 catches for 192 yards and 0 td","Indianapolis Colts / 2nd / 36th pick / 1990"
"4","FB","Howard Griffith",29,"3",14,"12 rushes for 7 yards, 1 td, & 27 catches for 223 yards and 1 td","Indianapolis Colts / 9th / 236th pick / 1991"
"5","WR","Mark Carrier",31,"9",15,"58 catches for 808 yards, 6 td","Tampa Bay Buccaneers / 3rd / 57th pick / 1987"
"6","WR","Willie Green",30,"5",10,"46 catches for 614 yards, 3 td, & 1 rush for 1 yards and 0 td","Detroit Lions / 8th / 194th pick / 1990"
"7","TE","Wesley Walls*",30,"7",15,"61 catches for 713 yards, 10 td","San Francisco 49ers / 2nd / 56th pick / 1989"
"8","LT","Blake Brockermeyer",23,"1",12,"","Carolina Panthers / 1st / 29th pick / 1995"
"9","LG","Matt Elliott",28,"4",12,"1 fumble recovered","Washington Redskins / 12th / 336th pick / 1992"
"10","C","Curtis Whitley",27,"4",8,"","San Diego Chargers / 5th / 117th pick / 1992"
"11","RG","Greg Skrepenak",26,"4",16,"","Los Angeles Raiders / 2nd / 32nd pick / 1992"
"12","RT","Norbert Davidds-Garrido",24,"Rook",8,"","Carolina Panthers / 4th / 106th pick / 1996"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Mike Fox",29,"6",11,"2.0 sacks, 0 interceptions, 0 fumbles recovered","New York Giants / 2nd / 51st pick / 1990"
"15","NT","Greg Kragen",34,"11",16,"3.0 sacks, 0 interceptions, 2 fumbles recovered",""
"16","RDE","Gerald Williams",33,"10",14,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Pittsburgh Steelers / 2nd / 36th pick / 1986"
"17","LOLB","Kevin Greene*+",34,"11",16,"14.5 sacks, 0 interceptions, 3 fumbles recovered","Los Angeles Rams / 5th / 113th pick / 1985"
"18","LILB","Sam Mills*+",37,"10",16,"5.5 sacks, 1 interception, 2 fumbles recovered",""
"19","RILB","Carlton Bailey",32,"8",14,"2.5 sacks, 0 interceptions, 0 fumbles recovered","Buffalo Bills / 9th / 235th pick / 1988"
"20","ROLB","Lamar Lathon*",29,"6",16,"13.5 sacks, 0 interceptions, 2 fumbles recovered","Houston Oilers / 1st / 15th pick / 1990"
"21","LCB","Eric Davis*",28,"6",16,"0.0 sacks, 5 interceptions, 0 fumbles recovered","San Francisco 49ers / 2nd / 53rd pick / 1990"
"22","RCB","Tyrone Poole",24,"1",15,"0.0 sacks, 1 interception, 1 fumble recovered","Carolina Panthers / 1st / 22nd pick / 1995"
"23","SS","Brett Maxie",34,"11",13,"0.0 sacks, 1 interception, 0 fumbles recovered",""
"24","FS","Pat Terrell",28,"6",16,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Los Angeles Rams / 2nd / 49th pick / 1990"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","John Kasay*",27,"5",0,"37 of 45 field goals & 34 of 35 extra points","Seattle Seahawks / 4th / 98th pick / 1991"
"27","P","Rohn Stark",37,"14",0,"77 punts for a 40.6 average, 0 blocked","Baltimore Colts / 2nd / 34th pick / 1982"
"28","PR","Winslow Oliver",23,"Rook",0,"52 punt returns for a 11.5 average and 1 td","Carolina Panthers / 3rd / 73rd pick / 1996"
"29","KR","Michael Bates*+",27,"3",0,"33 kick returns for a 30.2 average and 1 td","Seattle Seahawks / 6th / 150th pick / 1992"
