"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Jake Delhomme",29,"5",16,"310 for 533, 3,886 yards, 29 td, 15 int, & 25 rushes for 71 yards and 1 td",""
"3","WR","Keary Colbert",22,"Rook",15,"47 catches for 754 yards, 5 td","Carolina Panthers / 2nd / 62nd pick / 2004"
"4","WR","Muhsin Muhammad*+",31,"8",16,"93 catches for 1,405 yards, 16 td, & 3 rushes for 15 yards and 0 td","Carolina Panthers / 2nd / 43rd pick / 1996"
"5","TE","Kris Mangum",31,"7",10,"34 catches for 323 yards, 3 td","Carolina Panthers / 7th / 228th pick / 1997"
"6","LT","Jordan Gross",24,"1",16,"","Carolina Panthers / 1st / 8th pick / 2003"
"7","LG","Travelle Wharton",23,"Rook",11,"","Carolina Panthers / 3rd / 94th pick / 2004"
"8","C","Jeff Mitchell",30,"6",16,"","Baltimore Ravens / 5th / 134th pick / 1997"
"9","RG","Tutan Reyes",27,"3",12,"","New Orleans Saints / 5th / 131st pick / 2000"
"10","RT","Matt Willig",35,"11",9,"1 fumble recovered",""
"11","","Defensive Starters",NA,"",NA,"",""
"12","DE","Julius Peppers*+",24,"2",16,"","Carolina Panthers / 1st / 2nd pick / 2002"
"13","DE","Mike Rucker",29,"5",16,"","Carolina Panthers / 2nd / 38th pick / 1999"
"14","LDT","Brentson Buckner",33,"10",15,"3.5 sacks, 1 interception, 0 fumbles recovered","Pittsburgh Steelers / 2nd / 50th pick / 1994"
"15","RDT","Kindal Moorehead",26,"1",12,"2.0 sacks, 1 interception, 1 fumble recovered","Carolina Panthers / 5th / 145th pick / 2003"
"16","MLB","Dan Morgan*",26,"3",12,"2.0 sacks, 2 interceptions, 2 fumbles recovered","Carolina Panthers / 1st / 11th pick / 2001"
"17","LB","Mark Fields*",32,"9",10,"","New Orleans Saints / 1st / 13th pick / 1995"
"18","LB","Will Witherspoon",24,"2",16,"","Carolina Panthers / 3rd / 73rd pick / 2002"
"19","LCB","Ricky Manning",24,"1",16,"0.0 sacks, 4 interceptions, 0 fumbles recovered","Carolina Panthers / 3rd / 82nd pick / 2003"
"20","RCB","Chris Gamble",21,"Rook",16,"0.0 sacks, 6 interceptions, 1 fumble recovered","Carolina Panthers / 1st / 28th pick / 2004"
"21","SS","Mike Minter",30,"7",16,"2.0 sacks, 0 interceptions, 2 fumbles recovered","Carolina Panthers / 2nd / 56th pick / 1997"
"22","FS","Colin Branch",24,"1",15,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Carolina Panthers / 4th / 119th pick / 2003"
