"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Steve Walsh",28,"5",11,"208 for 343, 2,078 yards, 10 td, 8 int, & 30 rushes for 4 yards and 1 td","Dallas Cowboys / 1st / 1st pick / 1989 Supp"
"3","RB","Lewis Tillman",28,"5",15,"275 rushes for 899 yards, 7 td, & 27 catches for 222 yards and 0 td","New York Giants / 4th / 93rd pick / 1989"
"4","FB","Raymont Harris",24,"Rook",11,"123 rushes for 464 yards, 1 td, & 39 catches for 236 yards and 0 td","Chicago Bears / 4th / 114th pick / 1994"
"5","WR","Curtis Conway",23,"1",12,"39 catches for 546 yards, 2 td, & 6 rushes for 31 yards and 0 td","Chicago Bears / 1st / 7th pick / 1993"
"6","WR","Jeff Graham",25,"3",15,"68 catches for 944 yards, 4 td","Pittsburgh Steelers / 2nd / 46th pick / 1991"
"7","TE","Marv Cook",28,"5",8,"21 catches for 212 yards, 1 td","New England Patriots / 3rd / 63rd pick / 1989"
"8","LT","Andy Heck",27,"5",14,"","Seattle Seahawks / 1st / 15th pick / 1989"
"9","LG","Mark Bortz",33,"11",12,"","Chicago Bears / 8th / 219th pick / 1983"
"10","C","Jerry Fontenot",28,"5",16,"","Chicago Bears / 3rd / 65th pick / 1989"
"11","RG","Jay Leeuwenburg",25,"2",16,"","Kansas City Chiefs / 9th / 244th pick / 1992"
"12","RT","James Williams",26,"3",15,"",""
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Trace Armstrong",29,"5",15,"7.5 sacks, 0 interceptions, 0 fumbles recovered","Chicago Bears / 1st / 12th pick / 1989"
"15","LDT","Albert Fontenot",24,"1",8,"4.0 sacks, 0 interceptions, 0 fumbles recovered","Chicago Bears / 4th / 112th pick / 1993"
"16","RDT","Chris Zorich",25,"3",16,"5.5 sacks, 0 interceptions, 1 fumble recovered","Chicago Bears / 2nd / 49th pick / 1991"
"17","RDE","Alonzo Spellman",23,"2",16,"7.0 sacks, 1 interception, 0 fumbles recovered","Chicago Bears / 1st / 22nd pick / 1992"
"18","LLB","Joe Cain",29,"5",15,"0.0 sacks, 0 interceptions, 1 fumble recovered","Minnesota Vikings / 8th / 210th pick / 1988"
"19","MLB","Dante Jones",29,"6",11,"0.0 sacks, 0 interceptions, 2 fumbles recovered","Chicago Bears / 2nd / 51st pick / 1988"
"20","RLB","Vinson Smith",29,"6",10,"1.0 sacks, 0 interceptions, 0 fumbles recovered",""
"21","LCB","Donnell Woolford",28,"5",16,"0.0 sacks, 5 interceptions, 0 fumbles recovered","Chicago Bears / 1st / 11th pick / 1989"
"22","RCB","Jeremy Lincoln",25,"1",14,"0.0 sacks, 1 interception, 0 fumbles recovered","Chicago Bears / 3rd / 80th pick / 1992"
"23","SS","Shaun Gayle",32,"10",16,"0.0 sacks, 2 interceptions, 1 fumble recovered","Chicago Bears / 10th / 271st pick / 1984"
"24","FS","Mark Carrier",26,"4",15,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Chicago Bears / 1st / 6th pick / 1990"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Kevin Butler",32,"9",0,"21 of 29 field goals & 24 of 24 extra points","Chicago Bears / 4th / 105th pick / 1985"
"27","P","Chris Gardocki",24,"3",0,"76 punts for a 37.8 average, 0 blocked","Chicago Bears / 3rd / 78th pick / 1991"
"28","PR","Jeff Graham",25,"3",15,"15 punt returns for a 9.3 average and 1 td","Pittsburgh Steelers / 2nd / 46th pick / 1991"
"29","KR","Nate Lewis",28,"4",0,"35 kick returns for a 25.0 average and 0 td","San Diego Chargers / 7th / 187th pick / 1990"
