"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Kyle Orton",23,"Rook",15,"190 for 368, 1,869 yards, 9 td, 13 int, & 24 rushes for 44 yards and 0 td","Chicago Bears / 4th / 106th pick / 2005"
"3","RB","Thomas Jones",27,"5",15,"314 rushes for 1,335 yards, 9 td, & 26 catches for 143 yards and 0 td","Arizona Cardinals / 1st / 7th pick / 2000"
"4","WR","Justin Gage",24,"2",11,"31 catches for 346 yards, 2 td","Chicago Bears / 5th / 143rd pick / 2003"
"5","WR","Muhsin Muhammad",32,"9",15,"64 catches for 750 yards, 4 td","Carolina Panthers / 2nd / 43rd pick / 1996"
"6","TE","Desmond Clark",28,"6",16,"24 catches for 229 yards, 2 td","Denver Broncos / 6th / 179th pick / 1999"
"7","LT","John Tait",30,"6",15,"","Kansas City Chiefs / 1st / 14th pick / 1999"
"8","LG","Ruben Brown",33,"10",12,"","Buffalo Bills / 1st / 14th pick / 1995"
"9","C","Olin Kreutz*",28,"7",16,"1 fumble recovered","Chicago Bears / 3rd / 64th pick / 1998"
"10","RG","Terrence Metcalf",27,"3",13,"","Chicago Bears / 3rd / 93rd pick / 2002"
"11","RT","Fred Miller",32,"9",15,"","St. Louis Rams / 5th / 141st pick / 1996"
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","Alex Brown",26,"3",16,"","Chicago Bears / 4th / 104th pick / 2002"
"14","DE","Adewale Ogunleye",28,"4",15,"",""
"15","DT","Tommie Harris*",22,"1",16,"","Chicago Bears / 1st / 14th pick / 2004"
"16","NT","Ian Scott",24,"2",13,"0.0 sacks, 1 interception, 0 fumbles recovered","Chicago Bears / 4th / 116th pick / 2003"
"17","MLB","Brian Urlacher*+",27,"5",16,"6.0 sacks, 0 interceptions, 0 fumbles recovered","Chicago Bears / 1st / 9th pick / 2000"
"18","LB","Lance Briggs*+",25,"2",16,"","Chicago Bears / 3rd / 68th pick / 2003"
"19","LB","Hunter Hillenmeyer",25,"2",12,"","Green Bay Packers / 5th / 166th pick / 2003"
"20","LCB","Charles Tillman",24,"2",15,"1.0 sacks, 5 interceptions, 1 fumble recovered","Chicago Bears / 2nd / 35th pick / 2003"
"21","RCB","Nathan Vasher*",24,"1",15,"0.0 sacks, 8 interceptions, 0 fumbles recovered","Chicago Bears / 4th / 110th pick / 2004"
"22","SS","Mike Brown*",27,"5",12,"1.0 sacks, 3 interceptions, 0 fumbles recovered","Chicago Bears / 2nd / 39th pick / 2000"
"23","FS","Chris Harris",23,"Rook",13,"1.0 sacks, 3 interceptions, 2 fumbles recovered","Chicago Bears / 6th / 181st pick / 2005"
