"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","David Klingler",24,"1",13,"190 for 343, 1,935 yards, 6 td, 9 int, & 41 rushes for 282 yards and 0 td","Cincinnati Bengals / 1st / 6th pick / 1992"
"3","RB","Harold Green",25,"3",15,"215 rushes for 589 yards, 0 td, & 22 catches for 115 yards and 0 td","Cincinnati Bengals / 2nd / 38th pick / 1990"
"4","FB","Derrick Fenner",26,"4",14,"121 rushes for 482 yards, 1 td, & 48 catches for 427 yards and 0 td","Seattle Seahawks / 10th / 268th pick / 1989"
"5","WR","Carl Pickens",23,"1",12,"43 catches for 565 yards, 6 td","Cincinnati Bengals / 2nd / 31st pick / 1992"
"6","WR","Jeff Query",26,"4",16,"56 catches for 654 yards, 4 td, & 2 rushes for 13 yards and 0 td","Green Bay Packers / 5th / 124th pick / 1989"
"7","TE","Tony McGee",22,"Rook",15,"44 catches for 525 yards, 0 td","Cincinnati Bengals / 2nd / 37th pick / 1993"
"8","LT","Tom Scott",23,"Rook",13,"2 fumbles recovered","Cincinnati Bengals / 6th / 148th pick / 1993"
"9","LG","Ken Moyer",27,"4",14,"",""
"10","C","Bruce Kozerski",31,"9",15,"1 fumble recovered","Cincinnati Bengals / 9th / 231st pick / 1984"
"11","RG","Thomas Rayam",25,"1",8,"2 fumbles recovered","Washington Redskins / 10th / 270th pick / 1990"
"12","RT","Joe Walter",30,"8",16,"","Cincinnati Bengals / 7th / 181st pick / 1985"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","John Copeland",23,"Rook",14,"3.0 sacks, 0 interceptions, 0 fumbles recovered","Cincinnati Bengals / 1st / 5th pick / 1993"
"15","NT","Tim Krumrie",33,"10",16,"3.0 sacks, 0 interceptions, 0 fumbles recovered","Cincinnati Bengals / 10th / 276th pick / 1983"
"16","RDE","George Hinkle",28,"5",9,"1.0 sacks, 0 interceptions, 0 fumbles recovered","San Diego Chargers / 11th / 293rd pick / 1988"
"17","LOLB","James Francis",25,"3",12,"2.0 sacks, 2 interceptions, 1 fumble recovered","Cincinnati Bengals / 1st / 12th pick / 1990"
"18","LILB","Eric Shaw",22,"1",9,"0.0 sacks, 0 interceptions, 1 fumble recovered","Cincinnati Bengals / 12th / 310th pick / 1992"
"19","RILB","Ricardo McDonald",24,"1",12,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Cincinnati Bengals / 4th / 88th pick / 1992"
"20","ROLB","Alfred Williams",25,"2",16,"4.0 sacks, 0 interceptions, 0 fumbles recovered","Cincinnati Bengals / 1st / 18th pick / 1991"
"21","LCB","Michael Brim",27,"5",16,"0.0 sacks, 3 interceptions, 2 fumbles recovered","Phoenix Cardinals / 4th / 95th pick / 1988"
"22","RCB","Rod Jones",29,"7",16,"0.0 sacks, 1 interception, 1 fumble recovered","Tampa Bay Buccaneers / 1st / 25th pick / 1986"
"23","SS","Lance Gunn",23,"Rook",8,"0.0 sacks, 0 interceptions, 1 fumble recovered","Cincinnati Bengals / 7th / 175th pick / 1993"
"24","FS","Darryl Williams",23,"1",16,"2.0 sacks, 2 interceptions, 2 fumbles recovered","Cincinnati Bengals / 1st / 28th pick / 1992"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Doug Pelfrey",23,"Rook",0,"24 of 31 field goals & 13 of 16 extra points","Cincinnati Bengals / 8th / 202nd pick / 1993"
"27","P","Lee Johnson",32,"8",0,"90 punts for a 43.9 average, 0 blocked","Houston Oilers / 5th / 138th pick / 1985"
"28","PR","Patrick Robinson",24,"Rook",3,"43 punt returns for a 7.1 average and 0 td","Houston Oilers / 7th / 187th pick / 1993"
"29","KR","Patrick Robinson",24,"Rook",3,"30 kick returns for a 18.9 average and 0 td","Houston Oilers / 7th / 187th pick / 1993"
