"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,NA,NA,"",""
"2","QB","Andy Dalton",29,5,14,"318 for 494, 3,712 yards, 16 td, 7 int, & 42 rushes for 180 yards and 4 td","Cincinnati Bengals / 2nd / 35th pick / 2011"
"3","HB","Ryan Hewitt",25,2,10,"0 rushes for 0 yards, 0 td, & 1 catch for 5 yards and 0 td",""
"4","HB","Jeremy Hill",24,2,12,"215 rushes for 831 yards, 9 td, & 21 catches for 174 yards and 0 td","Cincinnati Bengals / 2nd / 55th pick / 2014"
"5","WR","A.J. Green",28,5,10,"66 catches for 964 yards, 4 td","Cincinnati Bengals / 1st / 4th pick / 2011"
"6","WR","Brandon LaFell",30,6,12,"51 catches for 665 yards, 5 td, & 1 rush for -2 yards and 0 td","Carolina Panthers / 3rd / 78th pick / 2010"
"7","TE","Tyler Kroft",24,1,11,"10 catches for 92 yards, 0 td","Cincinnati Bengals / 3rd / 85th pick / 2015"
"8","T","Cedric Ogbuehi",24,1,11,"","Cincinnati Bengals / 1st / 21st pick / 2015"
"9","T","Andrew Whitworth",35,10,14,"","Cincinnati Bengals / 2nd / 55th pick / 2006"
"10","G","Clint Boling",27,5,14,"","Cincinnati Bengals / 4th / 101st pick / 2011"
"11","G","Kevin Zeitler",26,4,14,"","Cincinnati Bengals / 1st / 27th pick / 2012"
"12","C","Russell Bodine",24,2,14,"","Cincinnati Bengals / 4th / 111th pick / 2014"
"13","","Defensive Starters",NA,NA,NA,"",""
"14","DE","Carlos Dunlap",27,6,14,"","Cincinnati Bengals / 2nd / 54th pick / 2010"
"15","DE","Michael Johnson",29,7,14,"","Cincinnati Bengals / 3rd / 70th pick / 2009"
"16","DT","Geno Atkins",28,6,14,"","Cincinnati Bengals / 4th / 120th pick / 2010"
"17","DT","Domata Peko",32,10,14,"","Cincinnati Bengals / 4th / 123rd pick / 2006"
"18","LB","Vontaze Burfict",26,4,11,"",""
"19","LB","Vincent Rey",29,6,10,"",""
"20","CB","Adam Jones",33,11,14,"0.0 sacks, 1 interception, 1 fumble recovered","Tennessee Titans / 1st / 6th pick / 2005"
"21","CB","Dre Kirkpatrick",27,4,13,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Cincinnati Bengals / 1st / 17th pick / 2012"
"22","CB","Josh Shaw",24,1,10,"0.0 sacks, 1 interception, 0 fumbles recovered","Cincinnati Bengals / 4th / 120th pick / 2015"
"23","S","George Iloka",26,4,14,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Cincinnati Bengals / 5th / 167th pick / 2012"
"24","S","Shawn Williams",25,3,13,"1.0 sacks, 2 interceptions, 0 fumbles recovered","Cincinnati Bengals / 3rd / 84th pick / 2013"
