"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,NA,NA,"",""
"2","QB","Brian Sipe",27,2,12,"178 for 312, 2,113 yards, 17 td, 14 int, & 18 rushes for 71 yards and 0 td","Cleveland Browns / 13th / 330th pick / 1972"
"3","RB","Greg Pruitt*",25,3,13,"209 rushes for 1,000 yards, 4 td, & 45 catches for 341 yards and 1 td","Cleveland Browns / 2nd / 30th pick / 1973"
"4","FB","Cleo Miller",24,2,12,"153 rushes for 613 yards, 4 td, & 16 catches for 145 yards and 0 td",""
"5","WR","Reggie Rucker",29,6,14,"49 catches for 676 yards, 8 td, & 2 rushes for 30 yards and 0 td",""
"6","WR","Paul Warfield",34,12,14,"38 catches for 613 yards, 6 td, & 1 rush for 3 yards and 0 td","Cleveland Browns / 1st / 11th pick / 1964, Buffalo Bills / 4th / 28th pick / 1964"
"7","TE","Oscar Roan",25,1,11,"15 catches for 174 yards, 4 td","Cleveland Browns / 3rd / 57th pick / 1975"
"8","LT","Doug Dieken",27,5,14,"2 fumbles recovered","Cleveland Browns / 6th / 142nd pick / 1971"
"9","LG","Pete Adams",25,2,13,"1 fumble recovered","Cleveland Browns / 1st / 22nd pick / 1973"
"10","C","Tom DeLeone",26,4,14,"","Cincinnati Bengals / 5th / 106th pick / 1972"
"11","RG","Robert Jackson",23,1,14,"2 fumbles recovered",""
"12","RT","Barry Darrow",26,2,14,"2 fumbles recovered","San Diego Chargers / 17th / 422nd pick / 1973"
"13","","Defensive Starters",NA,NA,NA,"",""
"14","LDE","Joe Jones",28,6,14,"0 interceptions, 1 fumble recovered","Cleveland Browns / 2nd / 36th pick / 1970"
"15","LDT","Walter Johnson",34,11,14,"","Cleveland Browns / 2nd / 27th pick / 1965"
"16","RDT","Jerry Sherk*+",28,6,14,"1 interception, 1 fumble recovered","Cleveland Browns / 2nd / 47th pick / 1970"
"17","RDE","Mack Mitchell",24,1,10,"","Cleveland Browns / 1st / 5th pick / 1975"
"18","LLB","Charlie Hall",28,5,14,"1 interception, 1 fumble recovered","Cleveland Browns / 3rd / 68th pick / 1971"
"19","MLB","Bob Babich",29,6,12,"2 interceptions, 1 fumble recovered","San Diego Chargers / 1st / 18th pick / 1969"
"20","RLB","Gerald Irons",29,6,14,"1 interception, 0 fumbles recovered","Oakland Raiders / 3rd / 76th pick / 1970"
"21","LCB","Clarence Scott",27,5,14,"4 interceptions, 3 fumbles recovered","Cleveland Browns / 1st / 14th pick / 1971"
"22","RCB","Ron Bolton",26,4,12,"3 interceptions, 0 fumbles recovered","New England Patriots / 5th / 124th pick / 1972"
"23","SS","Neal Craig",28,5,9,"1 interception, 0 fumbles recovered","Cincinnati Bengals / 7th / 171st pick / 1971"
"24","FS","Thom Darden",26,4,14,"7 interceptions, 1 fumble recovered","Cleveland Browns / 1st / 18th pick / 1972"
"25","","Special Teams Starters",NA,NA,NA,"",""
"26","K","Don Cockroft",31,8,0,"15 of 28 field goals & 27 of 30 extra points","Cleveland Browns / 3rd / 55th pick / 1967"
"27","P","Don Cockroft",31,8,0,"64 punts for a 38.9 average, 3 blocked","Cleveland Browns / 3rd / 55th pick / 1967"
"28","PR","Steve Holden",25,3,0,"31 punt returns for a 6.6 average and 0 td","Cleveland Browns / 1st / 16th pick / 1973"
"29","KR","Steve Holden",25,3,0,"19 kick returns for a 24.3 average and 0 td","Cleveland Browns / 1st / 16th pick / 1973"
