"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Charlie Frye",25,"1",13,"252 for 392, 2,454 yards, 10 td, 17 int, & 47 rushes for 215 yards and 3 td","Cleveland Browns / 3rd / 67th pick / 2005"
"3","RB","Reuben Droughns",28,"5",12,"220 rushes for 758 yards, 4 td, & 27 catches for 169 yards and 0 td","Detroit Lions / 3rd / 81st pick / 2000"
"4","FB","Terrelle Smith",28,"6",8,"8 rushes for 14 yards, 0 td, & 8 catches for 21 yards and 0 td","New Orleans Saints / 4th / 96th pick / 2000"
"5","WR","Braylon Edwards",23,"1",15,"61 catches for 884 yards, 6 td, & 3 rushes for 7 yards and 0 td","Cleveland Browns / 1st / 3rd pick / 2005"
"6","WR","Joe Jurevicius",32,"8",8,"40 catches for 495 yards, 3 td","New York Giants / 2nd / 55th pick / 1998"
"7","TE","Kellen Winslow",23,"2",16,"89 catches for 875 yards, 3 td","Cleveland Browns / 1st / 6th pick / 2004"
"8","LT","Kevin Shaffer",26,"4",16,"1 fumble recovered","Atlanta Falcons / 7th / 244th pick / 2002"
"9","LG","Joe Andruzzi",31,"8",14,"",""
"10","C","Hank Fraley",29,"5",16,"",""
"11","RG","Cosey Coleman",28,"6",15,"","Tampa Bay Buccaneers / 2nd / 51st pick / 2000"
"12","RT","Ryan Tucker",31,"9",9,"","St. Louis Rams / 4th / 112th pick / 1997"
"13","","Defensive Starters",NA,"",NA,"",""
"14","DE","Alvin McKinley",28,"6",14,"","Carolina Panthers / 4th / 120th pick / 2000"
"15","DE","Orpheus Roye",33,"10",9,"","Pittsburgh Steelers / 6th / 200th pick / 1996"
"16","NT","Ted Washington",38,"15",16,"","San Francisco 49ers / 1st / 25th pick / 1991"
"17","LOLB","Willie McGinest",35,"12",13,"4.0 sacks, 1 interception, 1 fumble recovered","New England Patriots / 1st / 4th pick / 1994"
"18","MLB","Andra Davis",28,"4",14,"1.0 sacks, 2 interceptions, 0 fumbles recovered","Cleveland Browns / 5th / 141st pick / 2002"
"19","ROLB","Kamerion Wimbley",23,"Rook",15,"11.0 sacks, 0 interceptions, 3 fumbles recovered","Cleveland Browns / 1st / 13th pick / 2006"
"20","LB","D'Qwell Jackson",23,"Rook",13,"","Cleveland Browns / 2nd / 34th pick / 2006"
"21","LCB","Leigh Bodden",25,"3",9,"0.0 sacks, 2 interceptions, 0 fumbles recovered",""
"22","RCB","Daven Holly",24,"1",12,"0.0 sacks, 5 interceptions, 1 fumble recovered","San Francisco 49ers / 7th / 215th pick / 2005"
"23","SS","Sean Jones",24,"1",16,"0.5 sacks, 5 interceptions, 1 fumble recovered","Cleveland Browns / 2nd / 59th pick / 2004"
"24","FS","Brian Russell",28,"4",12,"0.0 sacks, 1 interception, 0 fumbles recovered",""
