"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Jeff George",26,"3",11,"234 for 407, 2,526 yards, 8 td, 6 int, & 13 rushes for 39 yards and 0 td","Indianapolis Colts / 1st / 1st pick / 1990"
"3","RB","Roosevelt Potts",22,"Rook",15,"179 rushes for 711 yards, 0 td, & 26 catches for 189 yards and 0 td","Indianapolis Colts / 2nd / 49th pick / 1993"
"4","FB","Anthony Johnson",26,"3",8,"95 rushes for 331 yards, 1 td, & 55 catches for 443 yards and 0 td","Indianapolis Colts / 2nd / 36th pick / 1990"
"5","WR","Jessie Hester",30,"8",16,"64 catches for 835 yards, 1 td","Los Angeles Raiders / 1st / 23rd pick / 1985"
"6","WR","Reggie Langhorne",30,"8",16,"85 catches for 1,038 yards, 3 td","Cleveland Browns / 7th / 175th pick / 1985"
"7","TE","Kerry Cash",24,"2",14,"43 catches for 402 yards, 3 td","Indianapolis Colts / 5th / 125th pick / 1991"
"8","LT","Will Wolford",29,"7",12,"","Buffalo Bills / 1st / 20th pick / 1986"
"9","LG","Randy Dixon",28,"6",15,"","Indianapolis Colts / 4th / 85th pick / 1987"
"10","C","Kirk Lowdermilk",30,"8",16,"1 fumble recovered","Minnesota Vikings / 3rd / 59th pick / 1985"
"11","RG","William Schultz",26,"3",14,"","Indianapolis Colts / 4th / 94th pick / 1990"
"12","RT","Zefross Moss",27,"4",16,"",""
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Skip McClendon",29,"6",14,"1.5 sacks, 0 interceptions, 2 fumbles recovered","Cincinnati Bengals / 3rd / 77th pick / 1987"
"15","LDT","Sam Clancy",35,"10",8,"1.0 sacks, 0 interceptions, 1 fumble recovered","Seattle Seahawks / 11th / 284th pick / 1982"
"16","RDT","Tony Siragusa",26,"3",14,"1.5 sacks, 0 interceptions, 0 fumbles recovered",""
"17","RDE","Jon Hand",30,"7",14,"5.5 sacks, 0 interceptions, 0 fumbles recovered","Indianapolis Colts / 1st / 4th pick / 1986"
"18","LLB","Duane Bickett",31,"8",15,"3.5 sacks, 0 interceptions, 1 fumble recovered","Indianapolis Colts / 1st / 5th pick / 1985"
"19","MLB","Quentin Coryatt",23,"1",16,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Indianapolis Colts / 1st / 2nd pick / 1992"
"20","RLB","Jeff Herrod",27,"5",14,"2.0 sacks, 1 interception, 1 fumble recovered","Indianapolis Colts / 9th / 243rd pick / 1988"
"21","LCB","Chris Goode",30,"6",10,"","Indianapolis Colts / 10th / 253rd pick / 1987"
"22","RCB","Eugene Daniel",32,"9",16,"0.0 sacks, 1 interception, 0 fumbles recovered","Indianapolis Colts / 8th / 205th pick / 1984"
"23","SS","John Baylor",28,"4",11,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Indianapolis Colts / 5th / 129th pick / 1988"
"24","FS","Jason Belser",23,"1",16,"0.0 sacks, 1 interception, 3 fumbles recovered","Indianapolis Colts / 8th / 197th pick / 1992"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Dean Biasucci",31,"9",0,"26 of 31 field goals & 15 of 16 extra points",""
"27","P","Rohn Stark",34,"11",0,"83 punts for a 43.3 average, 0 blocked","Baltimore Colts / 2nd / 34th pick / 1982"
"28","PR","Clarence Verdin",30,"7",0,"30 punt returns for a 5.8 average and 0 td","Washington Redskins / 3rd / 83rd pick / 1984 Supp"
"29","KR","Clarence Verdin",30,"7",0,"50 kick returns for a 21.0 average and 0 td","Washington Redskins / 3rd / 83rd pick / 1984 Supp"
