"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Curtis Painter",26,"2",8,"132 for 243, 1,541 yards, 6 td, 9 int, & 17 rushes for 107 yards and 0 td","Indianapolis Colts / 6th / 201st pick / 2009"
"3","RB","Joseph Addai",28,"5",11,"118 rushes for 433 yards, 1 td, & 15 catches for 93 yards and 0 td","Indianapolis Colts / 1st / 30th pick / 2006"
"4","WR","Pierre Garcon",25,"3",16,"70 catches for 947 yards, 6 td, & 4 rushes for 28 yards and 0 td","Indianapolis Colts / 6th / 205th pick / 2008"
"5","WR","Reggie Wayne",33,"10",16,"75 catches for 960 yards, 4 td","Indianapolis Colts / 1st / 30th pick / 2001"
"6","TE","Dallas Clark",32,"8",10,"34 catches for 352 yards, 2 td","Indianapolis Colts / 1st / 24th pick / 2003"
"7","TE","Brody Eldridge",24,"1",8,"9 catches for 45 yards, 0 td","Indianapolis Colts / 5th / 162nd pick / 2010"
"8","LT","Anthony Castonzo",23,"Rook",12,"","Indianapolis Colts / 1st / 22nd pick / 2011"
"9","LG","Joe Reitz",26,"Rook",9,"1 fumble recovered",""
"10","C","Jeff Saturday",36,"12",16,"1 fumble recovered",""
"11","RG","Ryan Diem",32,"10",11,"","Indianapolis Colts / 4th / 118th pick / 2001"
"12","RT","Jeff Linkenbach",24,"1",16,"2 fumbles recovered",""
"13","","Defensive Starters",NA,"",NA,"",""
"14","DE","Dwight Freeney*",31,"9",15,"","Indianapolis Colts / 1st / 11th pick / 2002"
"15","DE","Robert Mathis",30,"8",15,"","Indianapolis Colts / 5th / 138th pick / 2003"
"16","LDT","Fili Moala",26,"2",14,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Indianapolis Colts / 2nd / 56th pick / 2009"
"17","RDT","Antonio Johnson",27,"3",12,"","Tennessee Titans / 5th / 152nd pick / 2007"
"18","MLB","Pat Angerer",24,"1",16,"1.0 sacks, 1 interception, 1 fumble recovered","Indianapolis Colts / 2nd / 63rd pick / 2010"
"19","LB","Kavell Conner",24,"1",15,"","Indianapolis Colts / 7th / 240th pick / 2010"
"20","LB","Philip Wheeler",27,"3",11,"","Indianapolis Colts / 3rd / 93rd pick / 2008"
"21","LCB","Jacob Lacey",24,"2",10,"0.0 sacks, 1 interception, 1 fumble recovered",""
"22","RCB","Jerraud Powers",24,"2",12,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Indianapolis Colts / 3rd / 92nd pick / 2009"
"23","SS","David Caldwell",24,"Rook",13,"",""
"24","FS","Antoine Bethea",27,"5",16,"0.0 sacks, 0 interceptions, 1 fumble recovered","Indianapolis Colts / 6th / 207th pick / 2006"
