"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Jim Hart",34,"12",15,"240 for 477, 3,121 yards, 16 td, 18 int, & 11 rushes for 11 yards and 2 td",""
"3","RB","Wayne Morris",24,"2",13,"174 rushes for 631 yards, 1 td, & 33 catches for 298 yards and 1 td","St. Louis Cardinals / 5th / 141st pick / 1976"
"4","FB","Jim Otis",30,"8",9,"197 rushes for 664 yards, 8 td, & 8 catches for 38 yards and 0 td","New Orleans Saints / 9th / 218th pick / 1970"
"5","WR","Mel Gray",30,"7",12,"44 catches for 871 yards, 1 td, & 5 rushes for 51 yards and 1 td","St. Louis Cardinals / 6th / 147th pick / 1971"
"6","WR","Pat Tilley",25,"2",16,"62 catches for 900 yards, 3 td, & 1 rush for 32 yards and 0 td","St. Louis Cardinals / 4th / 114th pick / 1976"
"7","TE","Al Chandler",28,"5",8,"16 catches for 190 yards, 4 td","Cincinnati Bengals / 2nd / 43rd pick / 1973"
"8","LT","Keith Wortman",28,"6",13,"","Green Bay Packers / 10th / 242nd pick / 1972"
"9","LG","Bob Young*",36,"12",14,"1 fumble recovered","St. Louis Cardinals / 19th / 261st pick / 1964"
"10","C","Tom Banks*",30,"7",15,"","St. Louis Cardinals / 8th / 189th pick / 1970"
"11","RG","Terry Stieve",24,"2",13,"","New Orleans Saints / 6th / 160th pick / 1976"
"12","RT","Dan Dierdorf*+",29,"7",16,"1 fumble recovered","St. Louis Cardinals / 2nd / 43rd pick / 1971"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Bob Pollard",30,"7",15,"","New Orleans Saints / 11th / 262nd pick / 1971"
"15","NT","Mike Dawson",25,"2",15,"0 interceptions, 2 fumbles recovered","St. Louis Cardinals / 1st / 22nd pick / 1976"
"16","RDE","John Zook",31,"9",16,"","Los Angeles Rams / 4th / 99th pick / 1969"
"17","LOLB","Steve Neils",27,"4",16,"1 interception, 3 fumbles recovered","St. Louis Cardinals / 5th / 111th pick / 1974"
"18","LILB","Tim Kearney",28,"6",8,"1 interception, 2 fumbles recovered","Dallas Cowboys / 4th / 83rd pick / 1972"
"19","RILB","Kurt Allerman",23,"1",9,"0 interceptions, 1 fumble recovered","St. Louis Cardinals / 3rd / 78th pick / 1977"
"20","ROLB","Mark Arneson",29,"6",16,"0 interceptions, 3 fumbles recovered","St. Louis Cardinals / 2nd / 32nd pick / 1972"
"21","LCB","Carl Allen",23,"1",14,"6 interceptions, 0 fumbles recovered","Cincinnati Bengals / 11th / 299th pick / 1977"
"22","RCB","Roger Wehrli",31,"9",15,"4 interceptions, 0 fumbles recovered","St. Louis Cardinals / 1st / 19th pick / 1969"
"23","SS","Ken Greene",22,"Rook",12,"","St. Louis Cardinals / 1st / 19th pick / 1978"
"24","FS","Ken Stone",28,"5",11,"9 interceptions, 1 fumble recovered","Washington Redskins / 10th / 245th pick / 1973"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Jim Bakken",38,"16",0,"11 of 22 field goals & 27 of 30 extra points","Los Angeles Rams / 7th / 88th pick / 1962"
"27","P","Mike Wood",24,"Rook",0,"51 punts for a 37.6 average, 0 blocked","Minnesota Vikings / 8th / 204th pick / 1978"
"28","PR","Willard Harrell",26,"3",2,"21 punt returns for a 9.3 average and 1 td","Green Bay Packers / 3rd / 58th pick / 1975"
"29","KR","Willard Harrell",26,"3",2,"19 kick returns for a 20.5 average and 0 td","Green Bay Packers / 3rd / 58th pick / 1975"
