"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Kevin Kolb",27,"4",9,"146 for 253, 1,955 yards, 9 td, 8 int, & 17 rushes for 65 yards and 0 td","Philadelphia Eagles / 2nd / 36th pick / 2007"
"3","RB","Beanie Wells",23,"2",14,"245 rushes for 1,047 yards, 10 td, & 10 catches for 52 yards and 0 td","Arizona Cardinals / 1st / 31st pick / 2009"
"4","WR","Larry Fitzgerald*",28,"7",16,"80 catches for 1,411 yards, 8 td","Arizona Cardinals / 1st / 3rd pick / 2004"
"5","WR","Andre Roberts",23,"1",16,"51 catches for 586 yards, 2 td, & 3 rushes for 27 yards and 0 td","Arizona Cardinals / 3rd / 88th pick / 2010"
"6","TE","Jeff King",28,"5",10,"27 catches for 271 yards, 3 td","Carolina Panthers / 5th / 155th pick / 2006"
"7","LT","Levi Brown",27,"4",16,"1 fumble recovered","Arizona Cardinals / 1st / 5th pick / 2007"
"8","LG","Daryn Colledge",29,"5",16,"1 fumble recovered","Green Bay Packers / 2nd / 47th pick / 2006"
"9","C","Lyle Sendlein",27,"4",16,"2 fumbles recovered",""
"10","RG","Rex Hadnot",29,"7",16,"","Miami Dolphins / 6th / 174th pick / 2004"
"11","RT","Brandon Keith",27,"3",11,"1 fumble recovered","Arizona Cardinals / 7th / 225th pick / 2008"
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","Calais Campbell",25,"3",16,"","Arizona Cardinals / 2nd / 50th pick / 2008"
"14","DT","Darnell Dockett",30,"7",16,"","Arizona Cardinals / 3rd / 64th pick / 2004"
"15","NT","Dan Williams",24,"1",10,"","Arizona Cardinals / 1st / 26th pick / 2010"
"16","LOLB","Clark Haggans",34,"11",16,"3.0 sacks, 0 interceptions, 1 fumble recovered","Pittsburgh Steelers / 5th / 137th pick / 2000"
"17","ROLB","Sam Acho",23,"Rook",10,"7.0 sacks, 0 interceptions, 1 fumble recovered","Arizona Cardinals / 4th / 103rd pick / 2011"
"18","LB","Paris Lenon",34,"9",16,"",""
"19","LB","Daryl Washington",25,"1",14,"","Arizona Cardinals / 2nd / 47th pick / 2010"
"20","LCB","Richard Marshall",27,"5",9,"2.0 sacks, 3 interceptions, 0 fumbles recovered","Carolina Panthers / 2nd / 58th pick / 2006"
"21","RCB","Patrick Peterson*+",21,"Rook",16,"1.0 sacks, 2 interceptions, 2 fumbles recovered","Arizona Cardinals / 1st / 5th pick / 2011"
"22","SS","Adrian Wilson*",32,"10",16,"0.0 sacks, 1 interception, 0 fumbles recovered","Arizona Cardinals / 3rd / 64th pick / 2001"
"23","FS","Rashad Johnson",25,"2",9,"0.0 sacks, 0 interceptions, 1 fumble recovered","Arizona Cardinals / 3rd / 95th pick / 2009"
