"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,NA,NA,"",""
"2","QB","Roger Staubach*",36,9,15,"231 for 413, 3,190 yards, 25 td, 16 int, & 42 rushes for 182 yards and 1 td","Kansas City Chiefs / 16th / 122nd pick / 1964, Dallas Cowboys / 10th / 129th pick / 1964"
"3","RB","Tony Dorsett*",24,1,15,"290 rushes for 1,325 yards, 7 td, & 37 catches for 378 yards and 2 td","Dallas Cowboys / 1st / 2nd pick / 1977"
"4","FB","Robert Newhouse",28,6,12,"140 rushes for 584 yards, 8 td, & 20 catches for 176 yards and 2 td","Dallas Cowboys / 2nd / 35th pick / 1972"
"5","WR","Tony Hill*",22,1,16,"46 catches for 823 yards, 6 td, & 3 rushes for 17 yards and 0 td","Dallas Cowboys / 3rd / 62nd pick / 1977"
"6","WR","Drew Pearson",27,5,16,"44 catches for 714 yards, 3 td, & 3 rushes for 29 yards and 0 td",""
"7","TE","Billy Joe DuPree*",28,5,16,"34 catches for 509 yards, 9 td, & 1 rush for 15 yards and 0 td","Dallas Cowboys / 1st / 20th pick / 1973"
"8","LT","Pat Donovan",25,3,16,"","Dallas Cowboys / 4th / 90th pick / 1975"
"9","LG","Herbert Scott",25,3,16,"","Dallas Cowboys / 13th / 330th pick / 1975"
"10","C","John Fitzgerald",30,7,14,"1 fumble recovered","Dallas Cowboys / 4th / 101st pick / 1970"
"11","RG","Tom Rafferty",24,2,16,"","Dallas Cowboys / 4th / 119th pick / 1976"
"12","RT","Rayfield Wright",33,11,11,"1 fumble recovered","Dallas Cowboys / 7th / 182nd pick / 1967"
"13","","Defensive Starters",NA,NA,NA,"",""
"14","LDE","Too Tall Jones",27,4,16,"","Dallas Cowboys / 1st / 1st pick / 1974"
"15","LDT","Jethro Pugh",34,13,13,"0 interceptions, 1 fumble recovered","Dallas Cowboys / 11th / 145th pick / 1965"
"16","RDT","Randy White*+",25,3,16,"","Dallas Cowboys / 1st / 2nd pick / 1975"
"17","RDE","Harvey Martin*",28,5,16,"1 interception, 0 fumbles recovered","Dallas Cowboys / 3rd / 53rd pick / 1973"
"18","LLB","Thomas Henderson*",25,3,13,"0 interceptions, 1 fumble recovered","Dallas Cowboys / 1st / 18th pick / 1975"
"19","MLB","Bob Breunig",25,3,16,"1 interception, 1 fumble recovered","Dallas Cowboys / 3rd / 70th pick / 1975"
"20","RLB","D.D. Lewis",33,10,16,"","Dallas Cowboys / 6th / 159th pick / 1968"
"21","LCB","Benny Barnes",27,6,13,"5 interceptions, 2 fumbles recovered",""
"22","RCB","Aaron Kyle",24,2,16,"3 interceptions, 2 fumbles recovered","Dallas Cowboys / 1st / 27th pick / 1976"
"23","SS","Charlie Waters*",30,8,16,"4 interceptions, 0 fumbles recovered","Dallas Cowboys / 3rd / 66th pick / 1970"
"24","FS","Cliff Harris*+",30,8,16,"4 interceptions, 2 fumbles recovered",""
"25","","Special Teams Starters",NA,NA,NA,"",""
"26","K","Rafael Septien",25,1,0,"16 of 26 field goals & 46 of 47 extra points","New Orleans Saints / 10th / 258th pick / 1977"
"27","P","Danny White",26,2,1,"76 punts for a 40.5 average, 1 blocked","Dallas Cowboys / 3rd / 53rd pick / 1974"
"28","PR","Butch Johnson",24,2,0,"51 punt returns for a 7.9 average and 0 td","Dallas Cowboys / 3rd / 87th pick / 1976"
"29","KR","Butch Johnson",24,2,0,"29 kick returns for a 20.8 average and 0 td","Dallas Cowboys / 3rd / 87th pick / 1976"
