"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Chad Hutchinson",25,"Rook",9,"127 for 250, 1,555 yards, 7 td, 8 int, & 18 rushes for 74 yards and 0 td",""
"3","RB","Emmitt Smith",33,"12",16,"254 rushes for 975 yards, 5 td, & 16 catches for 89 yards and 0 td","Dallas Cowboys / 1st / 17th pick / 1990"
"4","FB","Robert Thomas",28,"4",9,"10 rushes for 31 yards, 0 td, & 12 catches for 80 yards and 0 td",""
"5","WR","Antonio Bryant",21,"Rook",15,"44 catches for 733 yards, 6 td, & 6 rushes for 40 yards and 0 td","Dallas Cowboys / 2nd / 63rd pick / 2002"
"6","WR","Joey Galloway",31,"7",16,"61 catches for 908 yards, 6 td, & 4 rushes for 31 yards and 0 td","Seattle Seahawks / 1st / 8th pick / 1995"
"7","TE","Tony McGee",31,"9",16,"23 catches for 294 yards, 1 td","Cincinnati Bengals / 2nd / 37th pick / 1993"
"8","LT","Flozell Adams",27,"4",16,"","Dallas Cowboys / 2nd / 38th pick / 1998"
"9","C","Tyson Walter",24,"Rook",8,"","Dallas Cowboys / 6th / 179th pick / 2002"
"10","RG","Andre Gurode",24,"Rook",14,"","Dallas Cowboys / 2nd / 37th pick / 2002"
"11","RT","Solomon Page",26,"3",15,"","Dallas Cowboys / 2nd / 55th pick / 1999"
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","Ebenezer Ekuban",26,"3",15,"","Dallas Cowboys / 1st / 20th pick / 1999"
"14","DE","Greg Ellis",27,"4",15,"","Dallas Cowboys / 1st / 8th pick / 1998"
"15","DT","La'Roi Glover*",28,"6",16,"","Oakland Raiders / 5th / 166th pick / 1996"
"16","NT","Brandon Noble",28,"3",16,"0.0 sacks, 0 interceptions, 1 fumble recovered",""
"17","MLB","Dat Nguyen",27,"3",8,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Dallas Cowboys / 3rd / 85th pick / 1999"
"18","LB","Dexter Coakley",30,"5",16,"","Dallas Cowboys / 3rd / 65th pick / 1997"
"19","LB","Kevin Hardy",29,"6",15,"","Jacksonville Jaguars / 1st / 2nd pick / 1996"
"20","LCB","Derek Ross",22,"Rook",9,"0.0 sacks, 5 interceptions, 0 fumbles recovered","Dallas Cowboys / 3rd / 75th pick / 2002"
"21","RCB","Mario Edwards",27,"2",15,"0.0 sacks, 2 interceptions, 1 fumble recovered","Dallas Cowboys / 6th / 180th pick / 2000"
"22","SS","Darren Woodson",33,"10",10,"0.0 sacks, 1 interception, 1 fumble recovered","Dallas Cowboys / 2nd / 37th pick / 1992"
