"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","John Elway",28,"5",15,"274 for 496, 3,309 yards, 17 td, 19 int, & 54 rushes for 234 yards and 1 td","Baltimore Colts / 1st / 1st pick / 1983"
"3","RB","Tony Dorsett",34,"11",13,"181 rushes for 703 yards, 5 td, & 16 catches for 122 yards and 0 td","Dallas Cowboys / 1st / 2nd pick / 1977"
"4","FB","Sammy Winder",29,"6",12,"149 rushes for 543 yards, 4 td, & 17 catches for 103 yards and 1 td","Denver Broncos / 5th / 131st pick / 1982"
"5","WR","Vance Johnson",25,"3",13,"68 catches for 896 yards, 5 td, & 1 rush for 1 yards and 0 td","Denver Broncos / 2nd / 31st pick / 1985"
"6","WR","Ricky Nattiel",22,"1",11,"46 catches for 574 yards, 1 td, & 5 rushes for 51 yards and 0 td","Denver Broncos / 1st / 27th pick / 1987"
"7","TE","Clarence Kay",27,"4",14,"34 catches for 352 yards, 4 td","Denver Broncos / 7th / 186th pick / 1984"
"8","LT","Jim Juriga",24,"Rook",15,"","Denver Broncos / 4th / 104th pick / 1986"
"9","LG","Keith Bishop",31,"8",10,"","Denver Broncos / 6th / 157th pick / 1980"
"10","C","Bill Bryan",33,"11",16,"1 fumble recovered","Denver Broncos / 4th / 101st pick / 1977"
"11","RG","Keith Kartz",25,"1",12,"",""
"12","RT","Ken Lanier",29,"7",16,"","Denver Broncos / 5th / 125th pick / 1981"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Walt Bowyer",28,"5",11,"1.0 sacks, 1 interception, 0 fumbles recovered","Denver Broncos / 10th / 254th pick / 1983"
"15","NT","Greg Kragen",26,"3",16,"2.5 sacks, 0 interceptions, 1 fumble recovered",""
"16","RDE","Andre Townsend",26,"4",16,"5.5 sacks, 0 interceptions, 1 fumble recovered","Denver Broncos / 2nd / 46th pick / 1984"
"17","LOLB","Simon Fletcher",26,"3",16,"9.0 sacks, 1 interception, 1 fumble recovered","Denver Broncos / 2nd / 54th pick / 1985"
"18","LILB","Karl Mecklenburg",28,"5",9,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Denver Broncos / 12th / 310th pick / 1983"
"19","RILB","Rick Dennison",30,"6",16,"0.5 sacks, 1 interception, 3 fumbles recovered",""
"20","ROLB","Jim Ryan",31,"9",14,"3.5 sacks, 0 interceptions, 1 fumble recovered",""
"21","LCB","Mark Haynes",30,"8",15,"1.0 sacks, 1 interception, 0 fumbles recovered","New York Giants / 1st / 8th pick / 1980"
"22","RCB","Jeremiah Castille",27,"5",15,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Tampa Bay Buccaneers / 3rd / 72nd pick / 1983"
"23","SS","Dennis Smith",29,"7",11,"1.0 sacks, 0 interceptions, 2 fumbles recovered","Denver Broncos / 1st / 15th pick / 1981"
"24","FS","Mike Harden",29,"8",16,"0.0 sacks, 4 interceptions, 1 fumble recovered","Denver Broncos / 5th / 131st pick / 1980"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Rich Karlis",29,"6",0,"23 of 36 field goals & 36 of 37 extra points",""
"27","P","Mike Horan*+",29,"4",0,"65 punts for a 44.0 average, 0 blocked","Atlanta Falcons / 9th / 235th pick / 1982"
"28","PR","Ricky Nattiel",22,"1",11,"23 punt returns for a 9.7 average and 0 td","Denver Broncos / 1st / 27th pick / 1987"
"29","KR","Ken Bell",24,"2",0,"36 kick returns for a 21.2 average and 0 td",""
