"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Kyle Orton",27,"4",15,"336 for 541, 3,802 yards, 21 td, 12 int, & 24 rushes for 71 yards and 0 td","Chicago Bears / 4th / 106th pick / 2005"
"3","RB","Knowshon Moreno",22,"Rook",9,"247 rushes for 947 yards, 7 td, & 28 catches for 213 yards and 2 td","Denver Broncos / 1st / 12th pick / 2009"
"4","WR","Brandon Marshall*",25,"3",13,"101 catches for 1,120 yards, 10 td, & 7 rushes for 39 yards and 0 td","Denver Broncos / 4th / 119th pick / 2006"
"5","WR","Eddie Royal",23,"1",12,"37 catches for 345 yards, 0 td, & 1 rush for 1 yards and 0 td","Denver Broncos / 2nd / 42nd pick / 2008"
"6","TE","Daniel Graham",31,"7",14,"28 catches for 289 yards, 1 td","New England Patriots / 1st / 21st pick / 2002"
"7","TE","Tony Scheffler",26,"3",9,"31 catches for 416 yards, 2 td","Denver Broncos / 2nd / 61st pick / 2006"
"8","LT","Ryan Clady*+",23,"1",16,"","Denver Broncos / 1st / 12th pick / 2008"
"9","LG","Ben Hamilton",32,"7",8,"1 fumble recovered","Denver Broncos / 4th / 113th pick / 2001"
"10","LG","Russ Hochstein",32,"7",10,"","Tampa Bay Buccaneers / 5th / 151st pick / 2001"
"11","C","Casey Wiegmann",36,"12",16,"",""
"12","RG","Chris Kuper",27,"3",15,"","Denver Broncos / 5th / 161st pick / 2006"
"13","RT","Ryan Harris",24,"2",8,"","Denver Broncos / 3rd / 70th pick / 2007"
"14","RT","Tyler Polumbus",24,"1",8,"1 fumble recovered",""
"15","","Defensive Starters",NA,"",NA,"",""
"16","DE","Ryan McBean",25,"2",14,"","Pittsburgh Steelers / 4th / 132nd pick / 2007"
"17","DE","Kenny Peterson",31,"6",14,"","Green Bay Packers / 3rd / 79th pick / 2003"
"18","NT","Ronald Fields",28,"4",16,"","San Francisco 49ers / 5th / 137th pick / 2005"
"19","LB","Andra Davis",31,"7",13,"","Cleveland Browns / 5th / 141st pick / 2002"
"20","LB","Elvis Dumervil*+",25,"3",14,"","Denver Broncos / 4th / 126th pick / 2006"
"21","LB","Mario Haggan",29,"6",16,"","Buffalo Bills / 7th / 228th pick / 2003"
"22","LB","D.J. Williams",27,"5",16,"","Denver Broncos / 1st / 17th pick / 2004"
"23","LCB","Champ Bailey*",31,"10",16,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Washington Redskins / 1st / 7th pick / 1999"
"24","RCB","Andre' Goodman",31,"7",16,"1.0 sacks, 5 interceptions, 1 fumble recovered","Detroit Lions / 3rd / 68th pick / 2002"
"25","S","Brian Dawkins*",36,"13",16,"0.0 sacks, 2 interceptions, 3 fumbles recovered","Philadelphia Eagles / 2nd / 61st pick / 1996"
"26","S","Renaldo Hill",31,"8",15,"2.0 sacks, 2 interceptions, 0 fumbles recovered","Arizona Cardinals / 7th / 202nd pick / 2001"
