"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Joe Reed",27,"3",8,"86 for 191, 1,181 yards, 9 td, 10 int, & 34 rushes for 193 yards and 1 td","San Francisco 49ers / 11th / 283rd pick / 1971"
"3","RB","Altie Taylor",28,"6",14,"195 rushes for 638 yards, 4 td, & 21 catches for 111 yards and 0 td","Detroit Lions / 2nd / 34th pick / 1969"
"4","FB","Dexter Bussey",23,"1",13,"157 rushes for 696 yards, 2 td, & 14 catches for 175 yards and 2 td","Detroit Lions / 3rd / 65th pick / 1974"
"5","WR","Marlin Briscoe",30,"7",7,"22 catches for 347 yards, 4 td, & 2 rushes for -3 yards and 0 td","Denver Broncos / 14th / 357th pick / 1968"
"6","WR","Ray Jarvis",26,"4",12,"29 catches for 501 yards, 4 td, & 1 rush for 0 yards and 0 td","Atlanta Falcons / 5th / 111th pick / 1971"
"7","TE","Charlie Sanders*",29,"7",12,"37 catches for 486 yards, 3 td","Detroit Lions / 3rd / 74th pick / 1968"
"8","LT","Jim Yarbrough",29,"6",13,"","Detroit Lions / 2nd / 47th pick / 1969"
"9","LG","Lynn Boden",22,"Rook",12,"1 fumble recovered","Detroit Lions / 1st / 13th pick / 1975"
"10","C","Jon Morris",33,"11",14,"","Green Bay Packers / 2nd / 27th pick / 1964, Boston Patriots / 4th / 29th pick / 1964"
"11","RG","Bob Kowalkowski",32,"9",14,"","Detroit Lions / 7th / 95th pick / 1965"
"12","RT","Rocky Freitas",30,"7",14,"","Pittsburgh Steelers / 3rd / 73rd pick / 1967"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Ken Sanders",25,"3",14,"","Detroit Lions / 3rd / 65th pick / 1972"
"15","LDT","Herb Orvis",29,"3",14,"0 interceptions, 2 fumbles recovered","Detroit Lions / 1st / 16th pick / 1972"
"16","RDT","Larry Hand",35,"10",14,"1 interception, 0 fumbles recovered","Detroit Lions / 10th / 132nd pick / 1964, New York Jets / 21st / 163rd pick / 1964"
"17","RDE","Billy Howard",25,"1",12,"0 interceptions, 1 fumble recovered","Detroit Lions / 2nd / 39th pick / 1974"
"18","LLB","Paul Naumoff",30,"8",14,"2 interceptions, 1 fumble recovered","Detroit Lions / 3rd / 60th pick / 1967"
"19","MLB","Jim Laslavic",24,"2",13,"2 interceptions, 1 fumble recovered","Detroit Lions / 3rd / 71st pick / 1973"
"20","RLB","Charlie Weaver",26,"4",9,"1 interception, 1 fumble recovered","Detroit Lions / 2nd / 48th pick / 1971"
"21","LCB","Lem Barney*",30,"8",10,"5 interceptions, 1 fumble recovered","Detroit Lions / 2nd / 34th pick / 1967"
"22","RCB","Levi Johnson",25,"2",14,"3 interceptions, 1 fumble recovered","Detroit Lions / 3rd / 75th pick / 1973"
"23","SS","Charlie West",29,"7",14,"","Minnesota Vikings / 2nd / 33rd pick / 1968"
"24","FS","Dick Jauron",25,"2",10,"4 interceptions, 2 fumbles recovered","Detroit Lions / 4th / 91st pick / 1973"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Errol Mann",34,"7",0,"14 of 21 field goals & 25 of 29 extra points",""
"27","P","Herman Weaver",27,"5",0,"80 punts for a 42.0 average, 1 blocked","Detroit Lions / 9th / 227th pick / 1970"
"28","PR","Charlie West",29,"7",14,"22 punt returns for a 10.0 average and 0 td","Minnesota Vikings / 2nd / 33rd pick / 1968"
"29","KR","Bobby Thompson",28,"Rook",1,"22 kick returns for a 25.7 average and 0 td",""
