"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Joey Harrington",25,"1",16,"309 for 554, 2,880 yards, 17 td, 22 int, & 30 rushes for 86 yards and 0 td","Detroit Lions / 1st / 3rd pick / 2002"
"3","RB","Shawn Bryson",27,"3",13,"158 rushes for 606 yards, 3 td, & 54 catches for 340 yards and 0 td","Buffalo Bills / 3rd / 86th pick / 1999"
"4","FB","Cory Schlesinger",31,"8",10,"9 rushes for 16 yards, 0 td, & 34 catches for 247 yards and 2 td","Detroit Lions / 6th / 192nd pick / 1995"
"5","WR","Az-Zahir Hakim",26,"5",12,"49 catches for 449 yards, 4 td, & 3 rushes for 51 yards and 0 td","St. Louis Rams / 4th / 96th pick / 1998"
"6","WR","Bill Schroeder",32,"6",13,"36 catches for 397 yards, 2 td","Green Bay Packers / 6th / 181st pick / 1994"
"7","TE","Casey Fitzsimmons",23,"Rook",11,"23 catches for 160 yards, 2 td",""
"8","LT","Jeff Backus",26,"2",16,"1 fumble recovered","Detroit Lions / 1st / 18th pick / 2001"
"9","LG","Eric Beverly",29,"5",13,"1 fumble recovered",""
"10","C","Dominic Raiola",25,"2",16,"1 fumble recovered","Detroit Lions / 2nd / 50th pick / 2001"
"11","RG","Ray Brown",41,"17",16,"","St. Louis Cardinals / 8th / 201st pick / 1986"
"12","RT","Stockar McDougle",26,"3",16,"1 fumble recovered","Detroit Lions / 1st / 20th pick / 2000"
"13","","Defensive Starters",NA,"",NA,"",""
"14","DE","James Hall",26,"3",16,"",""
"15","DE","Robert Porcher",34,"11",14,"","Detroit Lions / 1st / 26th pick / 1992"
"16","LDT","Dan Wilkinson",30,"9",16,"2.0 sacks, 0 interceptions, 1 fumble recovered","Cincinnati Bengals / 1st / 1st pick / 1994"
"17","RDT","Shaun Rogers",24,"2",16,"4.0 sacks, 0 interceptions, 0 fumbles recovered","Detroit Lions / 2nd / 61st pick / 2001"
"18","MLB","Earl Holmes",30,"7",13,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Pittsburgh Steelers / 4th / 126th pick / 1996"
"19","LB","Boss Bailey",24,"Rook",16,"","Detroit Lions / 2nd / 34th pick / 2003"
"20","LB","Barrett Green",26,"3",16,"","Detroit Lions / 2nd / 50th pick / 2000"
"21","LCB","Otis Smith",38,"12",13,"1.5 sacks, 1 interception, 1 fumble recovered",""
"22","RCB","Dre' Bly*",26,"4",14,"1.0 sacks, 6 interceptions, 3 fumbles recovered","St. Louis Rams / 2nd / 41st pick / 1999"
"23","SS","Corey Harris",34,"11",13,"1.0 sacks, 1 interception, 0 fumbles recovered","Houston Oilers / 3rd / 77th pick / 1992"
"24","FS","Brian Walker",31,"7",16,"0.0 sacks, 2 interceptions, 0 fumbles recovered",""
