"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Lynn Dickey",35,"13",15,"237 for 401, 3,195 yards, 25 td, 19 int, & 18 rushes for 6 yards and 3 td","Houston Oilers / 3rd / 56th pick / 1971"
"3","RB","Gerry Ellis",27,"4",16,"123 rushes for 581 yards, 4 td, & 36 catches for 312 yards and 2 td","Los Angeles Rams / 7th / 192nd pick / 1980"
"4","FB","Jessie Clark",24,"1",10,"87 rushes for 375 yards, 4 td, & 29 catches for 234 yards and 2 td","Green Bay Packers / 7th / 188th pick / 1983"
"5","WR","John Jefferson",28,"6",12,"26 catches for 339 yards, 0 td","San Diego Chargers / 1st / 14th pick / 1978"
"6","WR","James Lofton*",28,"6",16,"62 catches for 1,361 yards, 7 td, & 10 rushes for 82 yards and 0 td","Green Bay Packers / 1st / 6th pick / 1978"
"7","TE","Paul Coffman*",28,"6",13,"43 catches for 562 yards, 9 td",""
"8","LT","Karl Swanke",27,"4",14,"","Green Bay Packers / 6th / 143rd pick / 1980"
"9","LG","Tim Huffman",25,"3",15,"","Green Bay Packers / 9th / 227th pick / 1981"
"10","C","Larry McCarren",33,"11",12,"","Green Bay Packers / 12th / 308th pick / 1973"
"11","RG","Ron Hallstrom",25,"2",13,"2 fumbles recovered","Green Bay Packers / 1st / 22nd pick / 1982"
"12","RT","Greg Koch",29,"7",14,"","Green Bay Packers / 2nd / 39th pick / 1977"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Alphonso Carreker",22,"Rook",14,"3.0 sacks, 0 interceptions, 0 fumbles recovered","Green Bay Packers / 1st / 12th pick / 1984"
"15","NT","Terry Jones",28,"6",16,"4.0 sacks, 0 interceptions, 1 fumble recovered","Green Bay Packers / 11th / 284th pick / 1978"
"16","RDE","Donnie Humphrey",23,"Rook",16,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Green Bay Packers / 3rd / 72nd pick / 1984"
"17","LOLB","John Anderson",28,"6",16,"3.5 sacks, 3 interceptions, 1 fumble recovered","Green Bay Packers / 1st / 26th pick / 1978"
"18","LILB","Randy Scott",25,"3",16,"3.0 sacks, 0 interceptions, 0 fumbles recovered",""
"19","RILB","George Cumby",28,"4",16,"2.5 sacks, 1 interception, 2 fumbles recovered","Green Bay Packers / 1st / 26th pick / 1980"
"20","ROLB","Mike Douglass",29,"6",16,"9.0 sacks, 0 interceptions, 2 fumbles recovered","Green Bay Packers / 5th / 116th pick / 1978"
"21","LCB","Mark Lee",26,"4",16,"0.0 sacks, 3 interceptions, 2 fumbles recovered","Green Bay Packers / 2nd / 34th pick / 1980"
"22","RCB","Tim Lewis",23,"1",16,"0.0 sacks, 7 interceptions, 0 fumbles recovered","Green Bay Packers / 1st / 11th pick / 1983"
"23","SS","Mark Murphy",26,"4",16,"2.0 sacks, 1 interception, 1 fumble recovered",""
"24","FS","Tom Flynn",22,"Rook",15,"0.0 sacks, 9 interceptions, 3 fumbles recovered","Green Bay Packers / 5th / 126th pick / 1984"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Al Del Greco",22,"Rook",0,"9 of 12 field goals & 34 of 34 extra points",""
"27","P","Bucky Scribner",24,"1",0,"85 punts for a 42.3 average, 0 blocked","Green Bay Packers / 11th / 299th pick / 1983"
"28","PR","Phil Epps",26,"2",4,"29 punt returns for a 6.9 average and 0 td","Green Bay Packers / 12th / 321st pick / 1982"
"29","KR","Del Rodgers",24,"2",0,"39 kick returns for a 21.6 average and 1 td","Green Bay Packers / 3rd / 71st pick / 1982"
