"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,NA,NA,"",""
"2","QB","Brett Favre*",32,10,16,"314 for 510, 3,921 yards, 32 td, 15 int, & 38 rushes for 56 yards and 1 td","Atlanta Falcons / 2nd / 33rd pick / 1991"
"3","RB","Ahman Green*",24,3,16,"304 rushes for 1,387 yards, 9 td, & 62 catches for 594 yards and 2 td","Seattle Seahawks / 3rd / 76th pick / 1998"
"4","FB","William Henderson",30,6,8,"6 rushes for 11 yards, 0 td, & 21 catches for 193 yards and 0 td","Green Bay Packers / 3rd / 66th pick / 1995"
"5","WR","Antonio Freeman",29,6,16,"52 catches for 818 yards, 6 td, & 1 rush for -5 yards and 0 td","Green Bay Packers / 3rd / 90th pick / 1995"
"6","WR","Bill Schroeder",30,4,14,"53 catches for 918 yards, 9 td, & 1 rush for 6 yards and 0 td","Green Bay Packers / 6th / 181st pick / 1994"
"7","TE","Bubba Franks*",23,1,14,"36 catches for 322 yards, 9 td","Green Bay Packers / 1st / 14th pick / 2000"
"8","LT","Chad Clifton",25,1,13,"","Green Bay Packers / 2nd / 44th pick / 2000"
"9","LG","Mike Wahle",24,3,16,"","Green Bay Packers / 2nd / 1st pick / 1998 Supp"
"10","C","Mike Flanagan",28,3,16,"","Green Bay Packers / 3rd / 90th pick / 1996"
"11","RG","Marco Rivera",29,4,16,"1 fumble recovered","Green Bay Packers / 6th / 208th pick / 1996"
"12","RT","Mark Tauscher",24,1,16,"1 fumble recovered","Green Bay Packers / 7th / 224th pick / 2000"
"13","","Defensive Starters",NA,NA,NA,"",""
"14","DE","Vonnie Holliday",26,3,16,"","Green Bay Packers / 1st / 19th pick / 1998"
"15","DE","John Thierry",30,7,12,"","Chicago Bears / 1st / 11th pick / 1994"
"16","DT","Santana Dotson",32,9,13,"","Tampa Bay Buccaneers / 5th / 132nd pick / 1992"
"17","NT","Gilbert Brown",30,8,11,"","Minnesota Vikings / 3rd / 79th pick / 1993"
"18","MLB","Bernardo Harris",30,6,16,"2.5 sacks, 2 interceptions, 3 fumbles recovered",""
"19","LB","Na'il Diggs",23,1,16,"","Green Bay Packers / 4th / 98th pick / 2000"
"20","LB","Nate Wayne",26,3,12,"","Denver Broncos / 7th / 219th pick / 1998"
"21","LCB","Mike McKenzie",25,2,16,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Green Bay Packers / 3rd / 87th pick / 1999"
"22","RCB","Tyrone Williams",28,5,16,"0.0 sacks, 4 interceptions, 1 fumble recovered","Green Bay Packers / 3rd / 93rd pick / 1996"
"23","SS","LeRoy Butler",33,11,9,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Green Bay Packers / 2nd / 48th pick / 1990"
"24","FS","Darren Sharper",26,4,16,"2.0 sacks, 6 interceptions, 1 fumble recovered","Green Bay Packers / 2nd / 60th pick / 1997"
