"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","David Carr",23,"Rook",16,"233 for 444, 2,592 yards, 9 td, 15 int, & 59 rushes for 282 yards and 3 td","Houston Texans / 1st / 1st pick / 2002"
"3","RB","Jonathan Wells",23,"Rook",11,"197 rushes for 529 yards, 3 td, & 9 catches for 48 yards and 0 td","Houston Texans / 4th / 99th pick / 2002"
"4","FB","Jarrod Baxter",23,"Rook",10,"7 rushes for 14 yards, 0 td, & 5 catches for 33 yards and 1 td","Houston Texans / 5th / 136th pick / 2002"
"5","WR","Corey Bradford",27,"4",16,"45 catches for 697 yards, 6 td, & 2 rushes for -11 yards and 0 td","Green Bay Packers / 5th / 150th pick / 1998"
"6","WR","Jabar Gaffney",22,"Rook",14,"41 catches for 483 yards, 1 td","Houston Texans / 2nd / 33rd pick / 2002"
"7","LT","Chester Pitts",23,"Rook",16,"","Houston Texans / 2nd / 50th pick / 2002"
"8","LG","DeMingo Graham",29,"3",11,"",""
"9","C","Steve McKinney",27,"4",16,"","Indianapolis Colts / 4th / 93rd pick / 1998"
"10","RG","Fred Weary",25,"Rook",12,"1 fumble recovered","Houston Texans / 3rd / 66th pick / 2002"
"11","RT","Ryan Young",26,"3",8,"","New York Jets / 7th / 223rd pick / 1999"
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","Jerry DeLoach",25,"1",16,"",""
"14","DE","Gary Walker*",29,"7",16,"","Houston Oilers / 5th / 159th pick / 1995"
"15","NT","Seth Payne",27,"5",16,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Jacksonville Jaguars / 4th / 114th pick / 1997"
"16","LOLB","Kailee Wong",26,"4",16,"5.5 sacks, 0 interceptions, 0 fumbles recovered","Minnesota Vikings / 2nd / 51st pick / 1998"
"17","MLB","Jamie Sharper",28,"5",16,"5.5 sacks, 0 interceptions, 3 fumbles recovered","Baltimore Ravens / 2nd / 34th pick / 1997"
"18","ROLB","Jeff Posey",27,"4",9,"8.0 sacks, 1 interception, 0 fumbles recovered",""
"19","LB","Jay Foreman",26,"3",16,"","Buffalo Bills / 5th / 156th pick / 1999"
"20","LCB","Aaron Glenn*",30,"8",16,"1.0 sacks, 5 interceptions, 0 fumbles recovered","New York Jets / 1st / 12th pick / 1994"
"21","RCB","Marcus Coleman",28,"6",16,"0.0 sacks, 1 interception, 2 fumbles recovered","New York Jets / 5th / 133rd pick / 1996"
"22","SS","Eric Brown",27,"4",15,"0.5 sacks, 2 interceptions, 0 fumbles recovered","Denver Broncos / 2nd / 61st pick / 1998"
"23","FS","Matt Stevens",29,"6",16,"0.0 sacks, 1 interception, 0 fumbles recovered","Buffalo Bills / 3rd / 87th pick / 1996"
