"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Mark Brunell",25,"1",10,"201 for 346, 2,168 yards, 15 td, 7 int, & 67 rushes for 480 yards and 4 td","Green Bay Packers / 5th / 118th pick / 1993"
"3","RB","James Stewart",24,"Rook",8,"137 rushes for 525 yards, 2 td, & 21 catches for 190 yards and 1 td","Jacksonville Jaguars / 1st / 19th pick / 1995"
"4","FB","Le'Shai Maston",25,"2",10,"41 rushes for 186 yards, 0 td, & 18 catches for 131 yards and 0 td",""
"5","WR","Ernest Givins",31,"9",9,"29 catches for 280 yards, 3 td","Houston Oilers / 2nd / 34th pick / 1986"
"6","WR","Willie Jackson",24,"Rook",10,"53 catches for 589 yards, 5 td","Dallas Cowboys / 4th / 109th pick / 1994"
"7","TE","Rich Griffith",26,"2",15,"16 catches for 243 yards, 0 td","New England Patriots / 5th / 138th pick / 1993"
"8","LT","Tony Boselli",23,"Rook",12,"","Jacksonville Jaguars / 1st / 2nd pick / 1995"
"9","LG","Shawn Bouwens",27,"4",9,"","New England Patriots / 9th / 226th pick / 1990"
"10","C","Dave Widell",30,"7",16,"","Dallas Cowboys / 4th / 94th pick / 1988"
"11","RG","Tom Myslinski",27,"3",9,"","Dallas Cowboys / 4th / 109th pick / 1992"
"12","RT","Brian DeMarco",23,"Rook",16,"","Jacksonville Jaguars / 2nd / 40th pick / 1995"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Joel Smeenge",27,"5",15,"4.0 sacks, 1 interception, 0 fumbles recovered","New Orleans Saints / 3rd / 71st pick / 1990"
"15","LDT","Kelvin Pritchett",26,"4",16,"1.5 sacks, 0 interceptions, 0 fumbles recovered","Dallas Cowboys / 1st / 20th pick / 1991"
"16","RDT","Don Davey",27,"4",16,"3.0 sacks, 0 interceptions, 0 fumbles recovered","Green Bay Packers / 3rd / 67th pick / 1991"
"17","RDE","Jeff Lageman",28,"6",11,"3.0 sacks, 0 interceptions, 1 fumble recovered","New York Jets / 1st / 14th pick / 1989"
"18","LLB","Keith Goganious",27,"3",15,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Buffalo Bills / 3rd / 83rd pick / 1992"
"19","MLB","Bryan Schwartz",24,"Rook",9,"0.0 sacks, 0 interceptions, 1 fumble recovered","Jacksonville Jaguars / 2nd / 64th pick / 1995"
"20","RLB","Mark Williams",24,"1",10,"",""
"21","LCB","Vinnie Clark",26,"4",16,"0.0 sacks, 1 interception, 0 fumbles recovered","Green Bay Packers / 1st / 19th pick / 1991"
"22","RCB","Mickey Washington",27,"5",16,"0.0 sacks, 1 interception, 2 fumbles recovered","Phoenix Cardinals / 8th / 199th pick / 1990"
"23","SS","Harry Colon",26,"4",16,"0.0 sacks, 3 interceptions, 0 fumbles recovered","New England Patriots / 8th / 196th pick / 1991"
"24","FS","Mike Dumas",26,"4",8,"0.0 sacks, 1 interception, 2 fumbles recovered","Houston Oilers / 2nd / 28th pick / 1991"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Mike Hollis",23,"Rook",0,"20 of 27 field goals & 27 of 28 extra points",""
"27","P","Bryan Barker",31,"5",0,"82 punts for a 43.8 average, 0 blocked",""
"28","PR","Desmond Howard",25,"3",6,"24 punt returns for a 10.2 average and 0 td","Washington Redskins / 1st / 4th pick / 1992"
"29","KR","Jimmy Smith",26,"3",4,"24 kick returns for a 22.5 average and 1 td","Dallas Cowboys / 2nd / 36th pick / 1992"
