"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","David Garrard",30,"6",16,"335 for 535, 3,620 yards, 15 td, 13 int, & 73 rushes for 322 yards and 2 td","Jacksonville Jaguars / 4th / 108th pick / 2002"
"3","RB","Fred Taylor",32,"10",13,"143 rushes for 556 yards, 1 td, & 16 catches for 98 yards and 0 td","Jacksonville Jaguars / 1st / 9th pick / 1998"
"4","WR","Matt Jones",25,"3",10,"65 catches for 761 yards, 2 td","Jacksonville Jaguars / 1st / 21st pick / 2005"
"5","WR","Reggie Williams",25,"4",11,"37 catches for 364 yards, 3 td, & 1 rush for 0 yards and 0 td","Jacksonville Jaguars / 1st / 9th pick / 2004"
"6","TE","Marcedes Lewis",24,"2",16,"41 catches for 489 yards, 2 td","Jacksonville Jaguars / 1st / 28th pick / 2006"
"7","LT","Khalif Barnes",26,"3",16,"1 fumble recovered","Jacksonville Jaguars / 2nd / 52nd pick / 2005"
"8","LG","Uche Nwaneri",24,"1",15,"","Jacksonville Jaguars / 5th / 149th pick / 2007"
"9","C","Brad Meester",31,"8",10,"1 fumble recovered","Jacksonville Jaguars / 2nd / 60th pick / 2000"
"10","RG","Dennis Norman",28,"5",14,"","Seattle Seahawks / 7th / 222nd pick / 2001"
"11","RT","Tony Pashos",28,"4",16,"1 fumble recovered","Baltimore Ravens / 5th / 173rd pick / 2003"
"12","","Defensive Starters",NA,"",NA,"",""
"13","DE","Derrick Harvey",22,"Rook",9,"","Jacksonville Jaguars / 1st / 8th pick / 2008"
"14","DE","Reggie Hayward",29,"7",13,"","Denver Broncos / 3rd / 87th pick / 2001"
"15","DE","Paul Spicer",33,"9",10,"",""
"16","DT","John Henderson",29,"6",14,"","Jacksonville Jaguars / 1st / 9th pick / 2002"
"17","DT","Rob Meier",31,"8",15,"","Jacksonville Jaguars / 7th / 241st pick / 2000"
"18","MLB","Mike Peterson",32,"9",10,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Indianapolis Colts / 2nd / 36th pick / 1999"
"19","LB","Justin Durant",23,"1",12,"","Jacksonville Jaguars / 2nd / 48th pick / 2007"
"20","LB","Clint Ingram",25,"2",12,"","Jacksonville Jaguars / 3rd / 80th pick / 2006"
"21","LB","Daryl Smith",26,"4",14,"","Jacksonville Jaguars / 2nd / 39th pick / 2004"
"22","CB","Brian Williams",29,"6",16,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Minnesota Vikings / 4th / 105th pick / 2002"
"23","SS","Gerald Sensabaugh",25,"3",13,"0.0 sacks, 4 interceptions, 0 fumbles recovered","Jacksonville Jaguars / 5th / 157th pick / 2005"
"24","FS","Reggie Nelson",25,"1",13,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Jacksonville Jaguars / 1st / 21st pick / 2007"
