"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Steve Bono*",33,"10",16,"293 for 520, 3,121 yards, 21 td, 10 int, & 28 rushes for 113 yards and 5 td","Minnesota Vikings / 6th / 142nd pick / 1985"
"3","RB","Marcus Allen",35,"13",15,"207 rushes for 890 yards, 5 td, & 27 catches for 210 yards and 0 td","Los Angeles Raiders / 1st / 10th pick / 1982"
"4","FB","Kimble Anders*",29,"4",13,"58 rushes for 398 yards, 2 td, & 55 catches for 349 yards and 1 td",""
"5","WR","Willie Davis",28,"4",16,"33 catches for 527 yards, 5 td",""
"6","WR","Lake Dawson",23,"1",9,"40 catches for 513 yards, 5 td, & 1 rush for -9 yards and 0 td","Kansas City Chiefs / 3rd / 92nd pick / 1994"
"7","TE","Keith Cash",26,"4",14,"42 catches for 419 yards, 1 td","Washington Redskins / 7th / 188th pick / 1991"
"8","LT","John Alt",33,"11",16,"","Kansas City Chiefs / 1st / 21st pick / 1984"
"9","LG","Dave Szott",28,"5",16,"","Kansas City Chiefs / 7th / 180th pick / 1990"
"10","C","Tim Grunhard",27,"5",16,"1 fumble recovered","Kansas City Chiefs / 2nd / 40th pick / 1990"
"11","RG","Will Shields*",24,"2",16,"1 fumble recovered","Kansas City Chiefs / 3rd / 74th pick / 1993"
"12","RT","Ricky Siglar",29,"5",12,"",""
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Vaughn Booker",27,"1",10,"1.5 sacks, 0 interceptions, 1 fumble recovered",""
"15","LDT","Joe Phillips",32,"9",16,"4.5 sacks, 1 interception, 1 fumble recovered","Minnesota Vikings / 4th / 93rd pick / 1986"
"16","RDT","Dan Saleaumua*",31,"8",16,"7.0 sacks, 1 interception, 1 fumble recovered","Detroit Lions / 7th / 175th pick / 1987"
"17","RDE","Neil Smith*",29,"7",14,"12.0 sacks, 0 interceptions, 1 fumble recovered","Kansas City Chiefs / 1st / 2nd pick / 1988"
"18","LOLB","George Jamison",33,"8",13,"0.0 sacks, 0 interceptions, 2 fumbles recovered","Detroit Lions / 2nd / 47th pick / 1984 Supp"
"19","MLB","Tracy Simien",28,"6",15,"1.0 sacks, 0 interceptions, 3 fumbles recovered",""
"20","ROLB","Derrick Thomas*",28,"6",15,"8.0 sacks, 0 interceptions, 1 fumble recovered","Kansas City Chiefs / 1st / 4th pick / 1989"
"21","LCB","Dale Carter*",26,"3",14,"0.0 sacks, 4 interceptions, 2 fumbles recovered","Kansas City Chiefs / 1st / 20th pick / 1992"
"22","RCB","James Hasty",30,"7",16,"0.0 sacks, 3 interceptions, 1 fumble recovered","New York Jets / 3rd / 74th pick / 1988"
"23","SS","Brian Washington",30,"7",14,"0.0 sacks, 3 interceptions, 1 fumble recovered","Cleveland Browns / 10th / 272nd pick / 1988"
"24","FS","Mark Collins",31,"9",15,"0.0 sacks, 1 interception, 1 fumble recovered","New York Giants / 2nd / 44th pick / 1986"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Lin Elliott",27,"3",0,"24 of 30 field goals & 34 of 37 extra points",""
"27","P","Louie Aguiar",29,"4",0,"91 punts for a 43.8 average, 0 blocked",""
"28","PR","Tamarick Vanover",21,"Rook",0,"51 punt returns for a 10.6 average and 1 td","Kansas City Chiefs / 3rd / 81st pick / 1995"
"29","KR","Tamarick Vanover",21,"Rook",0,"43 kick returns for a 25.5 average and 2 td","Kansas City Chiefs / 3rd / 81st pick / 1995"
