"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Tyler Thigpen",24,"1",11,"230 for 420, 2,608 yards, 18 td, 12 int, & 62 rushes for 386 yards and 3 td","Minnesota Vikings / 7th / 217th pick / 2007"
"3","RB","Larry Johnson",29,"5",12,"193 rushes for 874 yards, 5 td, & 12 catches for 74 yards and 0 td","Kansas City Chiefs / 1st / 27th pick / 2003"
"4","WR","Dwayne Bowe",24,"1",16,"86 catches for 1,022 yards, 7 td","Kansas City Chiefs / 1st / 23rd pick / 2007"
"5","WR","Mark Bradley",26,"3",8,"30 catches for 380 yards, 3 td","Chicago Bears / 2nd / 39th pick / 2005"
"6","WR","Devard Darling",26,"4",9,"17 catches for 247 yards, 1 td","Baltimore Ravens / 3rd / 82nd pick / 2004"
"7","TE","Tony Gonzalez*+",32,"11",16,"96 catches for 1,058 yards, 10 td","Kansas City Chiefs / 1st / 13th pick / 1997"
"8","LT","Branden Albert",24,"Rook",15,"","Kansas City Chiefs / 1st / 15th pick / 2008"
"9","LG","Brian Waters*",31,"8",16,"",""
"10","C","Rudy Niswanger",26,"2",15,"",""
"11","RG","Adrian Jones",27,"4",10,"","New York Jets / 4th / 132nd pick / 2004"
"12","RT","Damion McIntosh",31,"8",16,"1 fumble recovered","San Diego Chargers / 3rd / 83rd pick / 2000"
"13","","Defensive Starters",NA,"",NA,"",""
"14","DE","Tamba Hali",25,"2",15,"","Kansas City Chiefs / 1st / 20th pick / 2006"
"15","DE","Turk McBride",23,"1",9,"","Kansas City Chiefs / 2nd / 54th pick / 2007"
"16","LDT","Tank Tyler",23,"1",16,"0.0 sacks, 0 interceptions, 1 fumble recovered","Kansas City Chiefs / 3rd / 82nd pick / 2007"
"17","RDT","Glenn Dorsey",23,"Rook",16,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Kansas City Chiefs / 1st / 5th pick / 2008"
"18","LOLB","Demorrio Williams",28,"4",9,"0.0 sacks, 0 interceptions, 2 fumbles recovered","Atlanta Falcons / 4th / 101st pick / 2004"
"19","MLB","Pat Thomas",25,"3",9,"0.5 sacks, 0 interceptions, 0 fumbles recovered","Jacksonville Jaguars / 6th / 194th pick / 2005"
"20","ROLB","Derrick Johnson",26,"3",14,"1.5 sacks, 1 interception, 0 fumbles recovered","Kansas City Chiefs / 1st / 15th pick / 2005"
"21","LCB","Brandon Carr",22,"Rook",16,"0.0 sacks, 2 interceptions, 2 fumbles recovered","Kansas City Chiefs / 5th / 140th pick / 2008"
"22","RCB","Brandon Flowers",22,"Rook",13,"0.0 sacks, 2 interceptions, 2 fumbles recovered","Kansas City Chiefs / 2nd / 35th pick / 2008"
"23","SS","Bernard Pollard",24,"2",16,"0.0 sacks, 1 interception, 3 fumbles recovered","Kansas City Chiefs / 2nd / 54th pick / 2006"
"24","FS","Jarrad Page",24,"2",16,"0.0 sacks, 4 interceptions, 1 fumble recovered","Kansas City Chiefs / 7th / 228th pick / 2006"
