"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,NA,NA,"",""
"2","QB","David Woodley",24,2,9,"98 for 179, 1,080 yards, 5 td, 8 int, & 36 rushes for 207 yards and 2 td","Miami Dolphins / 8th / 214th pick / 1980"
"3","RB","Tony Nathan",26,3,7,"66 rushes for 233 yards, 1 td, & 16 catches for 114 yards and 0 td","Miami Dolphins / 3rd / 61st pick / 1979"
"4","FB","Andra Franklin*",23,1,9,"177 rushes for 701 yards, 7 td, & 3 catches for 9 yards and 0 td","Miami Dolphins / 2nd / 56th pick / 1981"
"5","WR","Jimmy Cefalo",26,4,9,"17 catches for 356 yards, 1 td","Miami Dolphins / 3rd / 81st pick / 1978"
"6","WR","Duriel Harris",28,6,8,"22 catches for 331 yards, 1 td, & 1 rush for 13 yards and 0 td","Miami Dolphins / 3rd / 80th pick / 1976"
"7","TE","Bruce Hardy",26,4,6,"12 catches for 66 yards, 2 td","Miami Dolphins / 9th / 247th pick / 1978"
"8","LT","Jon Giesler",26,3,9,"","Miami Dolphins / 1st / 24th pick / 1979"
"9","LG","Bob Kuechenberg*",35,12,9,"","Philadelphia Eagles / 4th / 80th pick / 1969"
"10","C","Dwight Stephenson",25,2,9,"","Miami Dolphins / 2nd / 48th pick / 1980"
"11","RG","Ed Newman*",31,9,8,"","Miami Dolphins / 6th / 156th pick / 1973"
"12","RT","Eric Laakso",26,4,9,"","Miami Dolphins / 4th / 106th pick / 1978"
"13","","Defensive Starters",NA,NA,NA,"",""
"14","LDE","Doug Betters",26,4,7,"4.0 sacks, 0 interceptions, 0 fumbles recovered","Miami Dolphins / 6th / 163rd pick / 1978"
"15","NT","Bob Baumhower*",27,5,8,"3.5 sacks, 0 interceptions, 0 fumbles recovered","Miami Dolphins / 2nd / 40th pick / 1977"
"16","RDE","Kim Bokamper",28,5,6,"3.5 sacks, 1 interception, 0 fumbles recovered","Miami Dolphins / 1st / 19th pick / 1976"
"17","LOLB","Bob Brudzinski",27,5,9,"4.5 sacks, 1 interception, 1 fumble recovered","Los Angeles Rams / 1st / 23rd pick / 1977"
"18","LILB","A.J. Duhe",27,5,9,"2.0 sacks, 1 interception, 0 fumbles recovered","Miami Dolphins / 1st / 13th pick / 1977"
"19","RILB","Earnest Rhone",29,7,9,"1.0 sacks, 1 interception, 0 fumbles recovered",""
"20","ROLB","Larry Gordon",28,6,9,"3.0 sacks, 1 interception, 0 fumbles recovered","Miami Dolphins / 1st / 17th pick / 1976"
"21","LCB","Don McNeal",24,2,9,"0.0 sacks, 4 interceptions, 0 fumbles recovered","Miami Dolphins / 1st / 21st pick / 1980"
"22","RCB","Gerald Small",26,4,9,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Miami Dolphins / 4th / 93rd pick / 1978"
"23","SS","Glenn Blackwood",25,3,9,"2.0 sacks, 2 interceptions, 1 fumble recovered","Miami Dolphins / 8th / 215th pick / 1979"
"24","FS","Lyle Blackwood",31,9,9,"1.0 sacks, 2 interceptions, 1 fumble recovered","Denver Broncos / 9th / 217th pick / 1973"
"25","","Special Teams Starters",NA,NA,NA,"",""
"26","K","Uwe von Schamann",26,3,0,"15 of 20 field goals & 21 of 22 extra points","Miami Dolphins / 7th / 189th pick / 1979"
"27","P","Tom Orosz",23,1,0,"35 punts for a 38.7 average, 0 blocked",""
"28","PR","Tommy Vigorito",23,1,1,"20 punt returns for a 9.6 average and 1 td","Miami Dolphins / 5th / 138th pick / 1981"
"29","KR","Fulton Walker",24,1,0,"20 kick returns for a 21.6 average and 0 td","Miami Dolphins / 6th / 154th pick / 1981"
