"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,NA,NA,"",""
"2","QB","Ryan Tannehill",27,3,16,"363 for 586, 4,208 yards, 24 td, 12 int, & 32 rushes for 141 yards and 1 td","Miami Dolphins / 1st / 8th pick / 2012"
"3","RB","Lamar Miller",24,3,16,"194 rushes for 872 yards, 8 td, & 47 catches for 397 yards and 2 td","Miami Dolphins / 4th / 97th pick / 2012"
"4","WR","Jarvis Landry*",23,1,14,"110 catches for 1,157 yards, 4 td, & 18 rushes for 113 yards and 1 td","Miami Dolphins / 2nd / 63rd pick / 2014"
"5","WR","Rishard Matthews",26,3,11,"43 catches for 662 yards, 4 td, & 1 rush for 4 yards and 0 td","Miami Dolphins / 7th / 227th pick / 2012"
"6","WR","Kenny Stills",23,2,8,"27 catches for 440 yards, 3 td","New Orleans Saints / 5th / 144th pick / 2013"
"7","TE","Jordan Cameron",27,4,16,"35 catches for 386 yards, 3 td","Cleveland Browns / 4th / 102nd pick / 2011"
"8","LT","Branden Albert*",31,7,14,"","Kansas City Chiefs / 1st / 15th pick / 2008"
"9","LG","Dallas Thomas",26,2,16,"","Miami Dolphins / 3rd / 77th pick / 2013"
"10","C","Mike Pouncey*",26,4,14,"1 fumble recovered","Miami Dolphins / 1st / 15th pick / 2011"
"11","RG","Billy Turner",24,1,12,"","Miami Dolphins / 3rd / 67th pick / 2014"
"12","RT","Jason Fox",27,5,11,"1 fumble recovered","Detroit Lions / 4th / 128th pick / 2010"
"13","","Defensive Starters",NA,NA,NA,"",""
"14","DE","Derrick Shelby",26,3,8,"",""
"15","DE","Olivier Vernon",25,3,16,"","Miami Dolphins / 3rd / 72nd pick / 2012"
"16","DT","Earl Mitchell",28,5,12,"","Houston Texans / 3rd / 81st pick / 2010"
"17","DT","Ndamukong Suh",28,5,16,"","Detroit Lions / 1st / 2nd pick / 2010"
"18","LB","Jelani Jenkins",23,2,13,"","Miami Dolphins / 4th / 104th pick / 2013"
"19","LB","Koa Misi",28,5,13,"","Miami Dolphins / 2nd / 40th pick / 2010"
"20","LB","Kelvin Sheppard",27,4,14,"","Buffalo Bills / 3rd / 68th pick / 2011"
"21","CB","Brent Grimes*",32,8,15,"0.0 sacks, 4 interceptions, 0 fumbles recovered",""
"22","CB","Brice McCain",29,6,10,"0.0 sacks, 1 interception, 0 fumbles recovered","Houston Texans / 6th / 188th pick / 2009"
"23","S","Reshad Jones*",27,5,16,"2.0 sacks, 5 interceptions, 1 fumble recovered","Miami Dolphins / 5th / 163rd pick / 2010"
"24","S","Michael Thomas",26,2,12,"",""
