"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Randall Cunningham*+",35,"13",14,"259 for 425, 3,704 yards, 34 td, 10 int, & 32 rushes for 132 yards and 1 td","Philadelphia Eagles / 2nd / 37th pick / 1985"
"3","RB","Robert Smith*",26,"5",14,"249 rushes for 1,187 yards, 6 td, & 28 catches for 291 yards and 2 td","Minnesota Vikings / 1st / 21st pick / 1993"
"4","WR","Cris Carter*",33,"11",16,"78 catches for 1,011 yards, 12 td, & 1 rush for -1 yards and 0 td","Philadelphia Eagles / 4th / 3rd pick / 1987 Supp"
"5","WR","Randy Moss*+",21,"Rook",11,"69 catches for 1,313 yards, 17 td, & 1 rush for 4 yards and 0 td","Minnesota Vikings / 1st / 21st pick / 1998"
"6","WR","Jake Reed",31,"7",11,"34 catches for 474 yards, 4 td","Minnesota Vikings / 3rd / 68th pick / 1991"
"7","TE","Andrew Glover",31,"7",12,"35 catches for 522 yards, 5 td","Los Angeles Raiders / 10th / 274th pick / 1991"
"8","LT","Todd Steussie*",28,"4",15,"","Minnesota Vikings / 1st / 19th pick / 1994"
"9","LG","Randall McDaniel*+",34,"10",16,"","Minnesota Vikings / 1st / 19th pick / 1988"
"10","C","Jeff Christy*",29,"5",16,"","Phoenix Cardinals / 4th / 91st pick / 1992"
"11","RG","David Dixon",29,"4",16,"1 fumble recovered","New England Patriots / 9th / 232nd pick / 1992"
"12","RT","Korey Stringer",24,"3",14,"","Minnesota Vikings / 1st / 24th pick / 1995"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Derrick Alexander",25,"3",16,"7.5 sacks, 0 interceptions, 0 fumbles recovered","Minnesota Vikings / 1st / 11th pick / 1995"
"15","LDT","Jerry Ball",34,"11",16,"0.0 sacks, 0 interceptions, 1 fumble recovered","Detroit Lions / 3rd / 63rd pick / 1987"
"16","RDT","Tony Williams",23,"1",9,"1.0 sacks, 0 interceptions, 1 fumble recovered","Minnesota Vikings / 5th / 151st pick / 1997"
"17","RDE","John Randle*+",31,"8",16,"10.5 sacks, 0 interceptions, 1 fumble recovered",""
"18","LLB","Dixon Edwards",30,"7",14,"0.0 sacks, 0 interceptions, 1 fumble recovered","Dallas Cowboys / 2nd / 37th pick / 1991"
"19","MLB","Ed McDaniel*",29,"6",16,"7.0 sacks, 0 interceptions, 2 fumbles recovered","Minnesota Vikings / 5th / 125th pick / 1992"
"20","RLB","Dwayne Rudd",22,"1",15,"2.0 sacks, 0 interceptions, 3 fumbles recovered","Minnesota Vikings / 1st / 20th pick / 1997"
"21","LCB","Corey Fuller",27,"3",16,"1.0 sacks, 4 interceptions, 0 fumbles recovered","Minnesota Vikings / 2nd / 55th pick / 1995"
"22","RCB","Jimmy Hitchcock",28,"3",16,"0.0 sacks, 7 interceptions, 1 fumble recovered","New England Patriots / 3rd / 88th pick / 1995"
"23","SS","Robert Griffith",28,"4",16,"0.0 sacks, 5 interceptions, 0 fumbles recovered",""
"24","FS","Orlando Thomas",26,"3",16,"0.5 sacks, 2 interceptions, 0 fumbles recovered","Minnesota Vikings / 2nd / 42nd pick / 1995"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Gary Anderson*+",39,"16",0,"35 of 35 field goals & 59 of 59 extra points","Buffalo Bills / 7th / 171st pick / 1982"
"27","P","Mitch Berger",26,"4",0,"55 punts for a 44.7 average, 0 blocked","Philadelphia Eagles / 6th / 193rd pick / 1994"
"28","PR","David Palmer",26,"4",0,"28 punt returns for a 10.3 average and 0 td","Minnesota Vikings / 2nd / 40th pick / 1994"
"29","KR","David Palmer",26,"4",0,"50 kick returns for a 23.5 average and 1 td","Minnesota Vikings / 2nd / 40th pick / 1994"
