"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Daunte Culpepper*",27,"5",16,"379 for 548, 4,717 yards, 39 td, 11 int, & 88 rushes for 406 yards and 2 td","Minnesota Vikings / 1st / 11th pick / 1999"
"3","WR","Nate Burleson",23,"1",15,"68 catches for 1,006 yards, 9 td, & 6 rushes for 49 yards and 0 td","Minnesota Vikings / 3rd / 71st pick / 2003"
"4","WR","Randy Moss",27,"6",13,"49 catches for 767 yards, 13 td","Minnesota Vikings / 1st / 21st pick / 1998"
"5","LT","Bryant McKinnie",25,"2",16,"1 fumble recovered","Minnesota Vikings / 1st / 7th pick / 2002"
"6","LG","Chris Liwienski",29,"6",16,"1 fumble recovered","Detroit Lions / 7th / 207th pick / 1998"
"7","C","Matt Birk*",28,"6",11,"","Minnesota Vikings / 6th / 173rd pick / 1998"
"8","RG","David Dixon",35,"10",16,"","New England Patriots / 9th / 232nd pick / 1992"
"9","","Defensive Starters",NA,"",NA,"",""
"10","DE","Kenny Mixon",29,"6",14,"","Miami Dolphins / 2nd / 49th pick / 1998"
"11","DE","Kenechi Udeze",21,"Rook",15,"","Minnesota Vikings / 1st / 20th pick / 2004"
"12","DT","Kevin Williams*+",24,"1",16,"","Minnesota Vikings / 1st / 9th pick / 2003"
"13","NT","Chris Hovan",26,"4",9,"1.5 sacks, 0 interceptions, 1 fumble recovered","Minnesota Vikings / 1st / 25th pick / 2000"
"14","MLB","E.J. Henderson",24,"1",14,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Minnesota Vikings / 2nd / 40th pick / 2003"
"15","LB","Chris Claiborne",26,"5",12,"","Detroit Lions / 1st / 9th pick / 1999"
"16","LB","Keith Newman",27,"5",14,"","Buffalo Bills / 4th / 119th pick / 1999"
"17","LCB","Antoine Winfield",27,"5",12,"0.0 sacks, 3 interceptions, 1 fumble recovered","Buffalo Bills / 1st / 23rd pick / 1999"
"18","RCB","Brian Williams",25,"2",16,"0.0 sacks, 2 interceptions, 0 fumbles recovered","Minnesota Vikings / 4th / 105th pick / 2002"
"19","SS","Corey Chavous",28,"6",16,"0.0 sacks, 1 interception, 0 fumbles recovered","Arizona Cardinals / 2nd / 33rd pick / 1998"
"20","FS","Brian Russell",26,"2",16,"0.0 sacks, 1 interception, 1 fumble recovered",""
