"","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Bobby Hebert",32,"7",16,"249 for 422, 3,287 yards, 19 td, 16 int, & 32 rushes for 95 yards and 0 td",""
"3","RB","Vaughn Dunbar",24,"Rook",8,"154 rushes for 565 yards, 3 td, & 9 catches for 62 yards and 0 td","New Orleans Saints / 1st / 21st pick / 1992"
"4","FB","Craig Heyward",26,"4",13,"104 rushes for 416 yards, 3 td, & 19 catches for 159 yards and 0 td","New Orleans Saints / 1st / 24th pick / 1988"
"5","WR","Quinn Early",27,"4",16,"30 catches for 566 yards, 5 td, & 3 rushes for -1 yards and 0 td","San Diego Chargers / 3rd / 60th pick / 1988"
"6","WR","Eric Martin",31,"7",11,"68 catches for 1,041 yards, 5 td","New Orleans Saints / 7th / 179th pick / 1985"
"7","TE","Hoby Brenner",33,"11",13,"12 catches for 161 yards, 0 td","New Orleans Saints / 3rd / 71st pick / 1981"
"8","LT","Richard Cooper",28,"2",16,"1 fumble recovered",""
"9","LG","Jim Dombrowski",29,"6",16,"1 fumble recovered","New Orleans Saints / 1st / 6th pick / 1986"
"10","C","Joel Hilgenberg*",30,"8",16,"","New Orleans Saints / 4th / 97th pick / 1984"
"11","RG","Derek Kennard",30,"6",16,"1 fumble recovered","St. Louis Cardinals / 2nd / 45th pick / 1984 Supp"
"12","RT","Stan Brock",34,"12",16,"","New Orleans Saints / 1st / 12th pick / 1980"
"13","","Defensive Starters",NA,"",NA,"",""
"14","LDE","Wayne Martin",27,"3",16,"15.5 sacks, 0 interceptions, 2 fumbles recovered","New Orleans Saints / 1st / 19th pick / 1989"
"15","NT","Jim Wilks",34,"11",9,"4.0 sacks, 0 interceptions, 1 fumble recovered","New Orleans Saints / 12th / 305th pick / 1981"
"16","RDE","Frank Warren",33,"11",16,"4.0 sacks, 0 interceptions, 1 fumble recovered","New Orleans Saints / 3rd / 57th pick / 1981"
"17","LOLB","Rickey Jackson*",34,"11",16,"13.5 sacks, 0 interceptions, 3 fumbles recovered","New Orleans Saints / 2nd / 51st pick / 1981"
"18","LILB","Sam Mills*",33,"6",16,"3.0 sacks, 1 interception, 3 fumbles recovered",""
"19","RILB","Vaughan Johnson*",30,"6",14,"1.0 sacks, 0 interceptions, 0 fumbles recovered","New Orleans Saints / 1st / 15th pick / 1984 Supp"
"20","ROLB","Pat Swilling*+",28,"6",16,"10.5 sacks, 0 interceptions, 1 fumble recovered","New Orleans Saints / 3rd / 60th pick / 1986"
"21","LCB","Toi Cook",28,"5",15,"1.0 sacks, 6 interceptions, 0 fumbles recovered","New Orleans Saints / 8th / 207th pick / 1987"
"22","RCB","Reggie Jones",23,"1",15,"0.0 sacks, 2 interceptions, 0 fumbles recovered","New Orleans Saints / 5th / 126th pick / 1991"
"23","SS","Brett Maxie",30,"7",10,"1.0 sacks, 2 interceptions, 1 fumble recovered",""
"24","FS","Gene Atkins",28,"5",16,"0.0 sacks, 3 interceptions, 1 fumble recovered","New Orleans Saints / 7th / 179th pick / 1987"
"25","","Special Teams Starters",NA,"",NA,"",""
"26","K","Morten Andersen*",32,"10",0,"29 of 34 field goals & 33 of 34 extra points","New Orleans Saints / 4th / 86th pick / 1982"
"27","P","Tommy Barnhardt",29,"5",0,"67 punts for a 44.0 average, 0 blocked","Tampa Bay Buccaneers / 9th / 223rd pick / 1986"
"28","PR","Pat Newman",24,"1",0,"23 punt returns for a 6.9 average and 0 td","Minnesota Vikings / 10th / 249th pick / 1990"
"29","KR","Fred McAfee",24,"1",1,"19 kick returns for a 20.7 average and 0 td","New Orleans Saints / 6th / 154th pick / 1991"
