"","Pos","Player.","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr."
"1","","Offensive Starters",NA,"",NA,"",""
"2","QB","Aaron Brooks",27,"3",16,"306 for 518, 3,546 yards, 24 td, 8 int, & 54 rushes for 175 yards and 2 td","Green Bay Packers / 4th / 131st pick / 1999"
"3","RB","Deuce McAllister*",25,"2",16,"351 rushes for 1,641 yards, 8 td, & 69 catches for 516 yards and 0 td","New Orleans Saints / 1st / 23rd pick / 2001"
"4","FB","Terrelle Smith",25,"3",10,"0 rushes for 0 yards, 0 td, & 6 catches for 28 yards and 0 td","New Orleans Saints / 4th / 96th pick / 2000"
"5","WR","Joe Horn",31,"7",14,"78 catches for 973 yards, 10 td, & 2 rushes for 15 yards and 0 td","Kansas City Chiefs / 5th / 135th pick / 1996"
"6","WR","Jerome Pathon",28,"5",12,"44 catches for 578 yards, 4 td","Indianapolis Colts / 2nd / 32nd pick / 1998"
"7","TE","Ernie Conwell",31,"7",10,"26 catches for 290 yards, 2 td","St. Louis Rams / 2nd / 59th pick / 1996"
"8","LT","Wayne Gandy",32,"9",16,"","Los Angeles Rams / 1st / 15th pick / 1994"
"9","LG","Kendyl Jacox",28,"5",11,"",""
"10","C","Jerry Fontenot",37,"14",16,"2 fumbles recovered","Chicago Bears / 3rd / 65th pick / 1989"
"11","RG","LeCharles Bentley*",24,"1",13,"","New Orleans Saints / 2nd / 44th pick / 2002"
"12","RT","Victor Riley",29,"5",16,"","Kansas City Chiefs / 1st / 27th pick / 1998"
"13","","Defensive Starters",NA,"",NA,"",""
"14","DE","Charles Grant",25,"1",16,"","New Orleans Saints / 1st / 25th pick / 2002"
"15","DE","Darren Howard",27,"3",8,"","New Orleans Saints / 2nd / 33rd pick / 2000"
"16","LDT","Johnathan Sullivan",22,"Rook",12,"1.0 sacks, 0 interceptions, 0 fumbles recovered","New Orleans Saints / 1st / 6th pick / 2003"
"17","MLB","Orlando Ruff",27,"4",9,"0.0 sacks, 1 interception, 1 fumble recovered",""
"18","LB","Sedrick Hodge",25,"2",9,"","New Orleans Saints / 3rd / 70th pick / 2001"
"19","LB","Derrick Rodgers",32,"6",15,"","Miami Dolphins / 3rd / 92nd pick / 1997"
"20","RCB","Fred Thomas",30,"7",14,"1.0 sacks, 4 interceptions, 1 fumble recovered","Seattle Seahawks / 2nd / 47th pick / 1996"
"21","SS","Jay Bellamy",31,"9",16,"1.0 sacks, 3 interceptions, 0 fumbles recovered",""
"22","FS","Tebucky Jones",29,"5",15,"0.0 sacks, 1 interception, 0 fumbles recovered","New England Patriots / 1st / 22nd pick / 1998"
